CopyNumber	CumulativeDistributionFunction
   5.3501450e+01   1.1579460e-02
   1.6050435e+02   2.7758238e-02
   2.6750725e+02   4.3612359e-02
   3.7451015e+02   5.8438396e-02
   4.8151305e+02   7.1478816e-02
   5.8851595e+02   8.3382934e-02
   6.9551885e+02   9.4583626e-02
   8.0252175e+02   1.0513500e-01
   9.0952465e+02   1.1406309e-01
   1.0165276e+03   1.2082680e-01
   1.1235304e+03   1.2959255e-01
   1.2305334e+03   1.3641037e-01
   1.3375363e+03   1.4360695e-01
   1.4445392e+03   1.4961312e-01
   1.5515421e+03   1.5529463e-01
   1.6585450e+03   1.6146312e-01
   1.7655479e+03   1.6757751e-01
   1.8725508e+03   1.7315080e-01
   1.9795537e+03   1.7904875e-01
   2.0865566e+03   1.8391862e-01
   2.1935595e+03   1.8905903e-01
   2.3005624e+03   1.9376657e-01
   2.4075653e+03   1.9847411e-01
   2.5145682e+03   2.0404740e-01
   2.6215711e+03   2.0843028e-01
   2.7285740e+03   2.1259672e-01
   2.8355769e+03   2.1714193e-01
   2.9425798e+03   2.2125426e-01
   3.0495827e+03   2.2509604e-01
   3.1565856e+03   2.2877550e-01
   3.2635885e+03   2.3245495e-01
   3.3705914e+03   2.3689194e-01
   3.4775943e+03   2.4078784e-01
   3.5845972e+03   2.4484606e-01
   3.6916001e+03   2.4825496e-01
   3.7986030e+03   2.5160976e-01
   3.9056059e+03   2.5523511e-01
   4.0126088e+03   2.5826525e-01
   4.1196117e+03   2.6080840e-01
   4.2266146e+03   2.6421730e-01
   4.3336174e+03   2.6719333e-01
   4.4406204e+03   2.7027758e-01
   4.5476233e+03   2.7341594e-01
   4.6546262e+03   2.7568854e-01
   4.7616291e+03   2.7833992e-01
   4.8686319e+03   2.8082896e-01
   4.9756349e+03   2.8364266e-01
   5.0826377e+03   2.8623992e-01
   5.1896407e+03   2.8878307e-01
   5.2966436e+03   2.9110979e-01
   5.4036465e+03   2.9359883e-01
   5.5106494e+03   2.9592555e-01
   5.6176523e+03   2.9873925e-01
   5.7246552e+03   3.0133651e-01
   5.8316581e+03   3.0350089e-01
   5.9386610e+03   3.0588172e-01
   6.0456639e+03   3.0728857e-01
   6.1526668e+03   3.0939884e-01
   6.2596697e+03   3.1150912e-01
   6.3666726e+03   3.1388994e-01
   6.4736755e+03   3.1621665e-01
   6.5806784e+03   3.1827282e-01
   6.6876813e+03   3.2005844e-01
   6.7946842e+03   3.2233104e-01
   6.9016871e+03   3.2444132e-01
   7.0086900e+03   3.2595639e-01
   7.1156929e+03   3.2725502e-01
   7.2226958e+03   3.2887831e-01
   7.3296987e+03   3.3033927e-01
   7.4367016e+03   3.3212489e-01
   7.5437045e+03   3.3369406e-01
   7.6507074e+03   3.3547968e-01
   7.7577103e+03   3.3780640e-01
   7.8647132e+03   3.3975434e-01
   7.9717161e+03   3.4181051e-01
   8.0787190e+03   3.4365024e-01
   8.1857219e+03   3.4565229e-01
   8.2927248e+03   3.4754613e-01
   8.3997277e+03   3.4927764e-01
   8.5067306e+03   3.5090093e-01
   8.6137334e+03   3.5263243e-01
   8.7207364e+03   3.5376874e-01
   8.8277393e+03   3.5533791e-01
   8.9347422e+03   3.5696120e-01
   9.0417451e+03   3.5874682e-01
   9.1487480e+03   3.6015367e-01
   9.2557509e+03   3.6226395e-01
   9.3627537e+03   3.6404956e-01
   9.4697567e+03   3.6588929e-01
   9.5767596e+03   3.6762080e-01
   9.6837625e+03   3.6902765e-01
   9.7907654e+03   3.7038039e-01
   9.8977683e+03   3.7178724e-01
   1.0004771e+04   3.7324820e-01
   1.0111774e+04   3.7465505e-01
   1.0218777e+04   3.7622423e-01
   1.0325780e+04   3.7752286e-01
   1.0432783e+04   3.7860505e-01
   1.0539786e+04   3.7963314e-01
   1.0646789e+04   3.8103999e-01
   1.0753791e+04   3.8255506e-01
   1.0860794e+04   3.8363725e-01
   1.0967797e+04   3.8515232e-01
   1.1074800e+04   3.8650506e-01
   1.1181803e+04   3.8785780e-01
   1.1288806e+04   3.8948109e-01
   1.1395809e+04   3.9110438e-01
   1.1502812e+04   3.9245712e-01
   1.1609815e+04   3.9332287e-01
   1.1716818e+04   3.9429685e-01
   1.1823820e+04   3.9581191e-01
   1.1930823e+04   3.9716466e-01
   1.2037826e+04   3.9840918e-01
   1.2144829e+04   3.9992425e-01
   1.2251832e+04   4.0111466e-01
   1.2358835e+04   4.0198041e-01
   1.2465838e+04   4.0349548e-01
   1.2572841e+04   4.0452356e-01
   1.2679844e+04   4.0560576e-01
   1.2786847e+04   4.0657973e-01
   1.2893849e+04   4.0831124e-01
   1.3000852e+04   4.0933932e-01
   1.3107855e+04   4.1036740e-01
   1.3214858e+04   4.1161193e-01
   1.3321861e+04   4.1291056e-01
   1.3428864e+04   4.1404686e-01
   1.3535867e+04   4.1502083e-01
   1.3642870e+04   4.1626535e-01
   1.3749873e+04   4.1745577e-01
   1.3856876e+04   4.1794275e-01
   1.3963878e+04   4.1907905e-01
   1.4070881e+04   4.1999892e-01
   1.4177884e+04   4.2135166e-01
   1.4284887e+04   4.2259618e-01
   1.4391890e+04   4.2367837e-01
   1.4498893e+04   4.2449002e-01
   1.4605896e+04   4.2595098e-01
   1.4712899e+04   4.2660029e-01
   1.4819902e+04   4.2724961e-01
   1.4926905e+04   4.2795303e-01
   1.5033907e+04   4.2903523e-01
   1.5140910e+04   4.2990098e-01
   1.5247913e+04   4.3065851e-01
   1.5354916e+04   4.3184893e-01
   1.5461919e+04   4.3233591e-01
   1.5568922e+04   4.3320167e-01
