CopyNumber	CumulativeDistributionFunction
   7.1335250e+01   9.5411177e-03
   2.1400575e+02   2.2149023e-02
   3.5667625e+02   3.4189005e-02
   4.9934675e+02   4.6456156e-02
   6.4201725e+02   5.7587460e-02
   7.8468775e+02   6.8150841e-02
   9.2735825e+02   7.6442526e-02
   1.0700288e+03   8.7005906e-02
   1.2126993e+03   9.6206270e-02
   1.3553698e+03   1.0415720e-01
   1.4980403e+03   1.1108587e-01
   1.6407108e+03   1.1835529e-01
   1.7833813e+03   1.2573830e-01
   1.9260518e+03   1.3289414e-01
   2.0687223e+03   1.3970922e-01
   2.2113927e+03   1.4709223e-01
   2.3540633e+03   1.5356656e-01
   2.4967338e+03   1.6038164e-01
   2.6394043e+03   1.6753748e-01
   2.7820748e+03   1.7196729e-01
   2.9247452e+03   1.7764652e-01
   3.0674158e+03   1.8355293e-01
   3.2100863e+03   1.8798274e-01
   3.3527568e+03   1.9445706e-01
   3.4954273e+03   1.9990913e-01
   3.6380978e+03   2.0502045e-01
   3.7807683e+03   2.1047251e-01
   3.9234388e+03   2.1535666e-01
   4.0661093e+03   2.1865061e-01
   4.2087798e+03   2.2342117e-01
   4.3514502e+03   2.2728305e-01
   4.4941208e+03   2.3148569e-01
   4.6367913e+03   2.3500682e-01
   4.7794618e+03   2.3818719e-01
   4.9221323e+03   2.4307133e-01
   5.0648027e+03   2.4602453e-01
   5.2074733e+03   2.4852340e-01
   5.3501438e+03   2.5204453e-01
   5.4928143e+03   2.5579282e-01
   5.6354848e+03   2.5954112e-01
   5.7781552e+03   2.6328941e-01
   5.9208257e+03   2.6669696e-01
   6.0634963e+03   2.6908224e-01
   6.2061668e+03   2.7214902e-01
   6.3488373e+03   2.7612449e-01
   6.4915078e+03   2.7987279e-01
   6.6341782e+03   2.8328033e-01
   6.7768488e+03   2.8646070e-01
   6.9195193e+03   2.8884598e-01
   7.0621898e+03   2.9145843e-01
   7.2048603e+03   2.9373012e-01
   7.3475307e+03   2.9611540e-01
   7.4902013e+03   2.9827351e-01
   7.6328718e+03   2.9997728e-01
   7.7755423e+03   3.0236256e-01
   7.9182128e+03   3.0508860e-01
   8.0608833e+03   3.0781463e-01
   8.2035537e+03   3.1110859e-01
   8.3462243e+03   3.1383462e-01
   8.4888947e+03   3.1576556e-01
   8.6315652e+03   3.1781009e-01
   8.7742357e+03   3.1883235e-01
   8.9169062e+03   3.2076329e-01
   9.0595768e+03   3.2383008e-01
   9.2022473e+03   3.2701045e-01
   9.3449178e+03   3.2939573e-01
   9.4875883e+03   3.3223535e-01
   9.6302588e+03   3.3484780e-01
   9.7729293e+03   3.3689232e-01
   9.9155998e+03   3.3950477e-01
   1.0058270e+04   3.4154930e-01
   1.0200941e+04   3.4370741e-01
   1.0343611e+04   3.4552476e-01
   1.0486282e+04   3.4711495e-01
   1.0628952e+04   3.4893230e-01
   1.0771623e+04   3.5154475e-01
   1.0914293e+04   3.5313494e-01
   1.1056964e+04   3.5495229e-01
   1.1199634e+04   3.5699682e-01
   1.1342305e+04   3.5881418e-01
   1.1484975e+04   3.6063153e-01
   1.1627646e+04   3.6199455e-01
   1.1770316e+04   3.6369832e-01
   1.1912987e+04   3.6472058e-01
   1.2055657e+04   3.6665152e-01
   1.2198328e+04   3.6824171e-01
   1.2340998e+04   3.6949114e-01
   1.2483669e+04   3.7199000e-01
   1.2626339e+04   3.7346661e-01
   1.2769010e+04   3.7494321e-01
   1.2911680e+04   3.7732849e-01
   1.3054351e+04   3.7914584e-01
   1.3197021e+04   3.8073603e-01
   1.3339692e+04   3.8300772e-01
