CopyNumber	CumulativeDistributionFunction
   6.6875000e+01   2.1080914e-02
   2.0062500e+02   5.0428852e-02
   3.3437500e+02   7.4299886e-02
   4.6812500e+02   9.6930867e-02
   6.0187500e+02   1.1573835e-01
   7.3562500e+02   1.3134236e-01
   8.6937500e+02   1.4684303e-01
   1.0031250e+03   1.5604010e-01
   1.1368750e+03   1.6730392e-01
   1.2706250e+03   1.7712101e-01
   1.4043750e+03   1.8673143e-01
   1.5381250e+03   1.9406841e-01
   1.6718750e+03   2.0233543e-01
   1.8056250e+03   2.1049912e-01
   1.9393750e+03   2.1907616e-01
   2.0731250e+03   2.2413971e-01
   2.2068750e+03   2.3013331e-01
   2.3406250e+03   2.3540353e-01
   2.4743750e+03   2.4284386e-01
   2.6081250e+03   2.4749406e-01
   2.7418750e+03   2.5286762e-01
   2.8756250e+03   2.5875788e-01
   3.0093750e+03   2.6361476e-01
   3.1431250e+03   2.6764493e-01
   3.2768750e+03   2.7219179e-01
   3.4106250e+03   2.7787537e-01
   3.5443750e+03   2.8252558e-01
   3.6781250e+03   2.8603906e-01
   3.8118750e+03   2.9037925e-01
   3.9456250e+03   2.9461610e-01
   4.0793750e+03   2.9792291e-01
   4.2131250e+03   3.0133306e-01
   4.3468750e+03   3.0587992e-01
   4.4806250e+03   3.0898006e-01
   4.6143750e+03   3.1218353e-01
   4.7481250e+03   3.1528366e-01
   4.8818750e+03   3.1828046e-01
   5.0156250e+03   3.2148393e-01
   5.1493750e+03   3.2530743e-01
   5.2831250e+03   3.2768420e-01
   5.4168750e+03   3.3099101e-01
   5.5506250e+03   3.3378113e-01
   5.6843750e+03   3.3719128e-01
   5.8181250e+03   3.3925803e-01
   5.9518750e+03   3.4184148e-01
   6.0856250e+03   3.4339155e-01
   6.2193750e+03   3.4566498e-01
   6.3531250e+03   3.4824842e-01
   6.4868750e+03   3.5031518e-01
   6.6206250e+03   3.5238194e-01
   6.7543750e+03   3.5475871e-01
   6.8881250e+03   3.5682546e-01
   7.0218750e+03   3.5858221e-01
   7.1556250e+03   3.6023561e-01
   7.2893750e+03   3.6188902e-01
   7.4231250e+03   3.6395577e-01
   7.5568750e+03   3.6633254e-01
   7.6906250e+03   3.6870931e-01
