Protein	CopyNumber	IsConstrained?
AAK1 7661.860815 Y
ACTB 2070695.94 Y
ACTG1 11241682 Y
ACTR2 670302.301 Y
ACTR3 761171.0715 Y
AGFG1 238483.211 Y
AP2A1 281770.85 Y
AP2A2 57275.3849 Y
AP2B1 407590.0095 Y
AP2M1 249307.722 Y
AP2S1 193931.747 Y
ARPC1A 95829.5976 Y
ARPC2 617419.633 Y
ARPC3 756056.0055 Y
ARPC4 622025.6115 Y
ARPC5L 605294.976 Y
ARRB1 57100.82865 Y
ARRB2 69260.6633 Y
BIN1 87056.1234 Y
BMP2K 5456.99324 Y
CAPZA2 965680.925 Y
CAPZB 1288194.74 Y
CFL1 12981148.85 Y
CLTA 1528192.435 Y
CLTB 778407.5325 Y
CLTC 1696973.925 Y
CLTCL1 20291.9517 Y
CORO1A 4831.387 Y
CORO7 111744.8868 Y
CTTN 1206471.372 Y
DAB2 880533.16 Y
DBNL 250160.335 Y
DNAJC6 811.7546 Y
DNM1 113.0437 Y
DNM2 343226.4665 Y
DYRK1A 22916.7721 Y
EPN1 323639.9264 Y
EPN2 83147.146 Y
EPN3 -1 N
EPS15 81853.85025 Y
EPS15L1 182903.079 Y
EPS8 8801.92785 Y
FCHO1 3705.97184 Y
FCHO2 32874.2161 Y
FNBP1 35892.75095 Y
FNBP1L 78012.756 Y
GAK 42743.22 Y
HIP1 14297.94865 Y
HIP1R 37796.42155 Y
HSPA8 8570840.515 Y
INPPL1 77115.68575 Y
ITSN1 19297.2726 Y
ITSN2 25243.08505 Y
LDLRAP1 9213.968455 Y
MYO1E 214955.642 Y
MYO6 94106.646 Y
NECAP1 63106.5497 Y
NECAP2 67726.1379 Y
NUMB 39228.268 Y
OCRL 20354.72625 Y
PACSIN2 266467.4605 Y
PI4KA 9740.211115 Y
PICALM 249425.138 Y
PIP5K1C 3115.933755 Y
SH3BP4 1410.015995 Y
SH3GL1 316561.152 Y
SH3GL2 29976.73825 Y
SH3KBP1 147078.892 Y
SNX9 84547.4135 Y
STON2 1571.625949 Y
SYNJ1 9358.22626 Y
SYNJ2 2913.57131 Y
TNK2 1913.16676 Y
TRIP10 145600.1085 Y
WASL 130113.412 Y
