Protein1	Interface1	Protein2	Interface2
FNBP1	FBAR_top	FNBP1	FBAR_bottom
SH3GL1	BAR_top	SH3GL1	BAR_bottom
SH3GL2	BAR_top	SH3GL2	BAR_bottom
SH3GL3	BAR_top	SH3GL3	BAR_bottom
AMPH	BAR_top	AMPH	BAR_bottom
FCHO1	FBAR_top	FCHO2	FBAR_bottom
FCHO1	FBAR_top	FCHO1	FBAR_bottom
FCHO2	FBAR_top	FCHO2	FBAR_bottom
SNX9	BAR_top	SNX9	BAR_bottom
SH3GL2	BAR_top	SH3GL1	BAR_bottom
SH3GL3	BAR_top	SH3GL2	BAR_bottom
SH3GL3	BAR_top	SH3GL1	BAR_bottom
EPS8	Helix_Bundle	ACTB	Subunit4_outsideFilament
EPS8	Helix_Bundle	ACTG1	Subunit4_outsideFilament
EPS8	Helix_Bundle	ACTB	Subunit1_2_outsideFilament
EPS8	Helix_Bundle	ACTG1	Subunit1_2_outsideFilament
EPS8	AMPHI_HELIX	ACTB	BarbedEnd_back
EPS8	AMPHI_HELIX	ACTG1	BarbedEnd_back
DBNL	SH3	DNM1	PRD_1_4-8_10-15
DBNL	SH3	DNM1	PRD2
DBNL	SH3	DNM1	PRD3
DBNL	SH3	DNM1	PRD9
DBNL	ADFH	ACTB	Subunit1_2_outsideFilament
DBNL	ADFH	ACTG1	Subunit1_2_outsideFilament
CORO6	CC_actinbind	ACTB	Subunit1_2_outsideFilament
CORO6	CC_actinbind	ACTG1	Subunit1_2_outsideFilament
CORO6	beta_propeller	ACTB	Subunit4_outsideFilament
CORO6	beta_propeller	ACTG1	Subunit4_outsideFilament
ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_1
ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_2
CAPZB	interface_to_actin	ACTB	BarbedEnd_back
CAPZB	interface_to_actin	ACTG1	BarbedEnd_back
CAPZA2	interface_to_actin	ACTB	BarbedEnd_back
HIP1R	TALIN	ACTG1	Subunit1_2_outsideFilament
HIP1	TALIN	ACTG1	Subunit1_2_outsideFilament
HIP1R	TALIN	ACTB	Subunit1_2_outsideFilament
HIP1	TALIN	ACTB	Subunit1_2_outsideFilament
ACTG1	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament
ACTB	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament
EPN1	NPF	ITSN1	EH1
FCHO1	FBAR_DIMER	FCHO1	FBAR_DIMER
FCHO1	FBAR_DIMER	FCHO2	FBAR_DIMER
FCHO1	MUH	PICALM	DPF
AMPH	BAR_DIMER	AMPH	BAR_DIMER
HIP1R	PRD_span	CTTN	SH3
ITSN2	WVxF	AP2A2	A2BS
SYNJ1	FxDxF	AP2A2	A2BS
SYNJ1	WVxF	AP2A2	A2BS
HIP1	CC	CLTB	interface_hip1_hip1r
HIP1	FXDIF	AP2A2	A2BS
CLTC	TRIMER	CLTC	TRIMER
BIN1	SH3	SYNJ1	PRD_span
BIN1	SH3	DNM1	PRD2
BIN1	SH3	DNM2	PRD2
ITSN1	SH3B	SH3GL1	SH3
DAB2	DPF	FCHO2	MUH
AAK1	KD	AAK1	KD
NECAP1	PHear	AP2B1	CLAT_linker
NECAP1	WXXF_2	AP2A2	A2BS
NECAP1	WXXF_2	AP2A1	A2BS
CTTN	ACIDICMOT	ARPC1A	interface_to_actin_filament_acidic
CTTN	SRC_BIND	CFL1	ADFH
ACTB	Subunit1_2_outsideFilament	CORO1A	CC_actinbind
ACTG1	Subunit1_2_outsideFilament	CORO1A	CC_actinbind
ACTB	Subunit4_outsideFilament	CORO1A	beta_propeller
ACTG1	Subunit4_outsideFilament	CORO1A	beta_propeller
CORO1A	CC_dimer	CORO1A	CC_dimer
ITSN2	SH3A	DNM1	PRD_1_4-8_10-15
ITSN2	SH3D	NUMB	PRD
ITSN1	SH3D	NUMB	PRD
STON2	WVxF	AP2A2	A2BS
EPN1	NPF	ITSN1	EH2
SGIP1	LINKER	AP2A2	core_to_linker
SGIP1	LINKER	AP2A1	core_to_linker
BIN1	SH3	SYNJ1	PRD_1285to1290
ITSN2	SH3A	DNM1	PRD2
ITSN2	SH3A	DNM1	PRD3
ITSN2	SH3A	DNM1	PRD9
ACTB	Subunit1_2_outsideFilament	DNM1	Actin_bind
ARPC1A	interface_to_actin_filament_acidic	WASL	VCA_acidic
ARPC1A	interface_to_actin_filament_acidic	WAS	VCA_acidic
CLTCL1	TRIMER	CLTCL1	TRIMER
AAK1	KD	NUMB	PhosphoSite_T102
FNBP1L	FBAR_DIMER	FNBP1L	FBAR_DIMER
FNBP1L	FBAR_TOP	FNBP1L	FBAR_BOTTOM
AGFG1	CLAT	CLTC	TD_CBOX
AGFG1	FXXFXXF	AP2A1	A2PLAT
AGFG1	FXXFXXF	AP2A2	A2PLAT
DNM3	STALK_DIMER	DNM1	STALK_DIMER
DNM3	STALK_DIMER	DNM2	STALK_DIMER
AP2B1	CLAT_linker	CLTC	TD_CBOX
TNK2	CLAT	CLTC	TD_CBOX
EPS15L1	EH2	STON2	NPF2
EPS15	EH3	DAB2	NPF3_4_5
FCHO2	MUH	EPS15	DPF_1-6
EPN1	DPW	AP2B1	B2PLAT
OCRL	CLAT_NS	CLTC	TD_CBOX
DNM3	MD	DNM1	GED
DNM3	MD	DNM2	GED
ACTR3	barbed_end_groove_to_Chelix	WASL	VCA_central
ACTR2	barbed_end_groove_to_Chelix	WASL	VCA_central
AP2B1	B2BS	PIP5K1C	CTD
ITSN1	RhoGEF_autoinhibit	ITSN1	SH3E_LINK_toDH
SGIP1	PRD	ITSN1	SH3E
CTTN	PhosphoSites	TNK2	PKD
ITSN1	SH3C	DNM2	PRD_1_4-8_10-15
ITSN2	SH3C	DNM2	PRD_1_4-8_10-15
ITSN1	SH3E	DNM2	PRD_1_4-8_10-15
ITSN2	SH3E	DNM2	PRD_1_4-8_10-15
ITSN1	SH3B	INPPL1	PRD_span
ITSN1	SH3C	INPPL1	PRD_span
ITSN1	SH3D	INPPL1	PRD_span
ITSN1	SH3E	INPPL1	PRD_span
ITSN1	SH3B	WAS	PRD
ITSN1	SH3C	WAS	PRD
ITSN1	SH3D	WAS	PRD
ITSN1	SH3E	WAS	PRD
ITSN2	SH3B	WASL	PRD_span
ITSN2	SH3C	WASL	PRD_span
ITSN2	SH3D	WASL	PRD_span
ITSN2	SH3E	WASL	PRD_span
SH3GL1	SH3	DNM2	PRD3
SH3GL1	SH3	DNM1	PRD3
ITSN1	SH3B	WASL	PRD_span
ITSN1	SH3C	WASL	PRD_span
ITSN1	SH3D	WASL	PRD_span
ITSN1	SH3E	WASL	PRD_span
ITSN2	SH3B	WAS	PRD
ITSN2	SH3C	WAS	PRD
ITSN2	SH3D	WAS	PRD
ITSN2	SH3E	WAS	PRD
STON2	NPF1	ITSN1	EH2
SH3BP4	NPF	EPS15	EH2
SH3BP4	NPF	EPS15	EH3
EPN1	NPF	EPS15	EH2
EPN3	NPF	EPS15	EH2
AGFG1	NPF	EPS15	EH2
AGFG1	NPF	EPS15	EH3
EPS15	EH2	EPN2	NPF
EPS15	EH2	DAB2	NPF3_4_5
EPS15L1	EH2	EPN2	NPF
EPS15L1	EH3	EPN2	NPF
NUMB	NPF	EPS15	EH2
NUMB	NPF	EPS15	EH3
ITSN1	SH3C	INPPL1	PRD_944to949
ITSN1	SH3D	INPPL1	PRD_944to949
ITSN1	SH3E	INPPL1	PRD_944to949
ITSN1	SH3A	INPPL1	PRD_944to949
ITSN1	SH3A	SYNJ2	PRD_1285to1290
TNK2	SH3	SYNJ1	PRD_1285to1290
SNX9	SH3	SYNJ1	PRD_1285to1290
SH3GL1	SH3	SYNJ1	PRD_1285to1290
SH3GL2	SH3	SYNJ1	PRD_1285to1290
PACSIN2	SH3	SYNJ1	PRD_1285to1290
MYO1E	SH3	SYNJ1	PRD_1285to1290
ITSN1	SH3A	SYNJ1	PRD_1285to1290
AMPH	SH3	SYNJ1	PRD_1285to1290
SNX9	SH3	DNM2	PRD2
SNX9	SH3	DNM2	PRD3
SNX9	SH3	DNM2	PRD9
SNX9	SH3	DNM1	PRD2
SNX9	SH3	DNM1	PRD3
SNX9	SH3	DNM1	PRD9
SH3BP4	SH3	DNM2	PRD2
SH3BP4	SH3	DNM2	PRD3
SH3BP4	SH3	DNM2	PRD9
SH3BP4	SH3	DNM1	PRD2
SH3BP4	SH3	DNM1	PRD3
SH3BP4	SH3	DNM1	PRD9
TRIP10	SH3_1	DNM2	PRD2
TRIP10	SH3_1	DNM2	PRD3
TRIP10	SH3_1	DNM2	PRD9
MYO1E	SH3	DNM2	PRD2
MYO1E	SH3	DNM2	PRD3
MYO1E	SH3	DNM2	PRD9
MYO1E	SH3	DNM1	PRD2
MYO1E	SH3	DNM1	PRD3
MYO1E	SH3	DNM1	PRD9
ITSN2	SH3A	DNM2	PRD2
ITSN2	SH3A	DNM2	PRD3
ITSN2	SH3A	DNM2	PRD9
ITSN1	SH3A	DNM2	PRD2
ITSN1	SH3A	DNM2	PRD3
ITSN1	SH3A	DNM2	PRD9
ITSN1	SH3A	DNM1	PRD2
ITSN1	SH3A	DNM1	PRD3
ITSN1	SH3A	DNM1	PRD9
FNBP1L	SH3	DNM2	PRD2
FNBP1L	SH3	DNM2	PRD3
FNBP1L	SH3	DNM2	PRD9
FNBP1	SH3	DNM2	PRD2
FNBP1	SH3	DNM2	PRD3
FNBP1	SH3	DNM2	PRD9
FNBP1	SH3	DNM1	PRD2
FNBP1	SH3	DNM1	PRD3
FNBP1	SH3	DNM1	PRD9
ITSN2	SH3E	DNM2	PRD2
ITSN2	SH3E	DNM2	PRD3
ITSN2	SH3E	DNM2	PRD9
ITSN1	SH3E	DNM2	PRD2
ITSN1	SH3E	DNM2	PRD3
ITSN1	SH3E	DNM2	PRD9
ITSN2	SH3C	DNM2	PRD2
ITSN2	SH3C	DNM2	PRD3
ITSN2	SH3C	DNM2	PRD9
ITSN1	SH3C	DNM2	PRD3
ITSN1	SH3C	DNM2	PRD9
ITSN1	SH3C	DNM2	PRD2
CTTN	SH3	DNM2	PRD2
CTTN	SH3	DNM2	PRD3
CTTN	SH3	DNM2	PRD9
SH3KBP1	SH3C	DNM1	PRD2
SH3KBP1	SH3C	DNM1	PRD3
SH3KBP1	SH3C	DNM1	PRD9
SH3KBP1	SH3A	DNM1	PRD2
SH3KBP1	SH3A	DNM1	PRD3
SH3KBP1	SH3A	DNM1	PRD9
SH3GL3	SH3	DNM2	PRD9
SH3GL3	SH3	DNM2	PRD3
SH3GL3	SH3	DNM2	PRD2
ACTG1	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_2
ACTR2	barbed_end_groove_to_Chelix	WAS	VCA_central
ACTR3	side_front_to_acidic_domain	WAS	VCA_acidic
STON2	NPF2	EPS15	EH1
STON2	NPF2	EPS15	EH2
EPN1	NPF	EPS15	EH3
EPN3	NPF	EPS15	EH3
SH3KBP1	SH3C	DNM2	PRD2
SH3KBP1	SH3B	SYNJ2	PRD_1285to1290
SH3KBP1	SH3C	SYNJ2	PRD_1285to1290
SH3KBP1	SH3B	SYNJ1	PRD_1285to1290
SH3KBP1	SH3C	SYNJ1	PRD_1285to1290
SH3KBP1	SH3C	DNM1	PRD_1_4-8_10-15
SH3KBP1	SH3C	WASL	PRD_277to392
SH3KBP1	SH3B	INPPL1	PRD_944to949
SH3KBP1	SH3C	INPPL1	PRD_944to949
SH3KBP1	SH3B	HIP1R	PRD_1025to1030
SH3KBP1	SH3C	HIP1R	PRD_1025to1030
SH3KBP1	SH3B	WAS	PRD_351to356
SH3KBP1	SH3C	WAS	PRD_351to356
SH3KBP1	PRD	ITSN2	SH3D
SH3KBP1	PRD	ITSN2	SH3E
ACTB	Subunit1_2_outsideFilament	DNM2	Actin_bind
ACTB	BarbedEnd_back	ACTB	PointedEnd_Back
ACTB	Subunit1_2_outsideFilament	CFL1	ADFH
ACTG1	BarbedEnd_back	CAPZA2	interface_to_actin
ACTG1	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_1
ACTG1	BarbedEnd_back	ACTB	PointedEnd_Back
ACTG1	BarbedEnd_back	ACTG1	PointedEnd_Back
ACTG1	Subunit1_2_outsideFilament	CFL1	ADFH
ACTR2	back_barbed_end_to_actin	ACTB	PointedEnd_Back
ACTR2	side_front_to_acidic_domain	WAS	VCA_acidic
ACTR2	interface_to_actr3	ACTR3	interface_to_actr2
ACTR2	interface_to_arpc4	ARPC4	interface_to_actr2
ACTR2	side_front_to_acidic_domain	WASL	VCA_acidic
ACTR3	interface_to_arpc3	ARPC3	interface_to_actr3
ACTR3	interface_to_arpc4	ARPC4	interface_to_actr3
ACTR3	back_barbed_end_to_actin	ACTB	PointedEnd_Back
ACTR3	barbed_end_groove_to_Chelix	WAS	VCA_central
ACTR3	interface_to_arpc2	ARPC2	interface_to_actr3
ACTR3	side_front_to_acidic_domain	WASL	VCA_acidic
AGFG1	NPF	EPS15	EH1
AMPH	FxDxF	AP2A2	A2PLAT
AMPH	FxDxF	AP2A1	A2PLAT
AMPH	SH3	SYNJ1	PRD_span
AMPH	BAR_DIMER	BIN1	BAR_DIMER
AP2A1	A2BS	SYNJ1	WVxF
AP2A1	A2BS	HIP1	FXDIF
AP2A1	core_to_linker	FCHO1	LINKER
AP2A1	core_to_linker	FCHO2	LINKER
AP2A2	core_to_linker	FCHO1	LINKER
AP2A2	core_to_linker	FCHO2	LINKER
AP2B1	B2PLAT	ARRB2	CTD
AP2B1	beta_to_sigma_interface	AP2S1	sigma_to_beta_interface
AP2B1	B2PLAT	EPS15	DPF_linker_11-12
AP2B1	B2PLAT	ARRB1	CTD
AP2M1	M2MUH	CORO7	Tyr_motif
AP2M1	M2MUH	STON2	WVxF
AP2M1	mu_to_beta_interface	AP2B1	beta_to_mu_interface
AP2M1	mu_to_sigma_interface	AP2S1	sigma_to_mu_interface
AP2M1	PHOSPHO_SITE	AAK1	KD
AP2M1	mu_to_alpha_interface	AP2A1	alpha_to_mu_interface
AP2M1	mu_to_alpha_interface	AP2A2	alpha_to_mu_interface
ARPC1A	interface_to_arpc4	ARPC4	interface_to_arpc1a
ARPC4	interface_to_arpc2	ARPC2	interface_to_arpc4
ARPC5L	interface_to_arpc4	ARPC4	interface_to_arpc5l
ARPC5L	interface_to_actr2	ACTR2	interface_to_arpc5l
BIN1	BAR_DIMER	BIN1	BAR_DIMER
BIN1	BAR_TOP	BIN1	BAR_BOTTOM
BIN1	SH3	WASL	PRD_span
BMP2K	PKD	NUMB	PhosphoSites
CAPZB	interface_to_hspa8	HSPA8	SBD
CAPZB	interface_to_capza2	CAPZA2	interface_to_capzb
CLTB	interface_hip1_hip1r	HIP1R	CC
CLTC	TD_CBOX	DAB2	CLAT
CLTC	TD_CBOX	SNAP91	CLAT_NS
CLTC	TD_CBOX	SNAP91	CLAT
CLTC	TD_CBOX	DNAJC6	CLAT
CLTC	TD_CBOX	EPN2	CLAT
CLTC	AD	AP2A1	A2BS
CLTC	PROX	CLTA	BIND
CLTC	PROX	CLTB	BIND
CLTC	TD_CBOX	ARRB2	CLAT
CLTC	TD_CBOX	AMPH	CLAT
CLTC	TD_CBOX	ARRB1	CLAT
CLTC	TRIMER	CLTCL1	TRIMER
CLTC	TD_CBOX	HIP1	CLAT
CLTC	AD	AP2A2	A2BS
CLTCL1	PROX	CLTA	BIND
CLTCL1	TD_CBOX	HIP1	CLAT
CTTN	ACIDICMOT	ACTR3	side_front_to_acidic_domain
CTTN	SH3	TNK2	PRD
CTTN	HSrepeats	ACTG1	Subunit1_2_outsideFilament
CTTN	SH3	WASL	PRD_span
CTTN	ACIDICMOT	ACTR2	side_front_to_acidic_domain
CTTN	SH3	DNM2	PRD_1_4-8_10-15
DAB2	DPF	AP2A2	A2PLAT
DAB2	DPF	AP2A1	A2PLAT
DNM1	PRD3	BIN1	SH3
DNM1	MD	DNM2	GED
DNM1	PRD2	AMPH	SH3
DNM1	GED	DNM1	MD
DNM1	STALK_DIMER	DNM1	STALK_DIMER
DNM1	STALK_DIMER	DNM2	STALK_DIMER
DNM2	STALK_DIMER	DNM2	STALK_DIMER
DNM2	PRD2	AMPH	SH3
DNM2	GED	DNM2	MD
DNM2	PRD3	BIN1	SH3
DNM3	PRD_fullregion	SH3GL2	SH3
DNM3	PRD_fullregion	SH3GL3	SH3
DNM3	GED	DNM1	MD
DNM3	GED	DNM2	MD
DNM3	PRD_fullregion	AMPH	SH3
DNM3	PRD_fullregion	SH3GL1	SH3
DYRK1A	Kinase_ST	DNM1	PHOSPHO_SITES_PRD
