Protein1	Interface1	Protein2	Interface2	Stoichiometry
FNBP1	FBAR_top	FNBP1	FBAR_bottom	1:1
SH3GL1	BAR_top	SH3GL1	BAR_bottom	1:1
SH3GL2	BAR_top	SH3GL2	BAR_bottom	1:1
SH3GL3	BAR_top	SH3GL3	BAR_bottom	1:1
AMPH	BAR_top	AMPH	BAR_bottom	1:1
FCHO1	FBAR_top	FCHO2	FBAR_bottom	1:1
FCHO1	FBAR_top	FCHO1	FBAR_bottom	1:1
FCHO2	FBAR_top	FCHO2	FBAR_bottom	1:1
SNX9	BAR_top	SNX9	BAR_bottom	1:1
SH3GL2	BAR_top	SH3GL1	BAR_bottom	1:1
SH3GL3	BAR_top	SH3GL2	BAR_bottom	1:1
SH3GL3	BAR_top	SH3GL1	BAR_bottom	1:1
EPS8	Helix_Bundle	ACTB	Subunit4_outsideFilament	1:1
EPS8	Helix_Bundle	ACTG1	Subunit4_outsideFilament	1:1
EPS8	Helix_Bundle	ACTB	Subunit1_2_outsideFilament	1:1
EPS8	Helix_Bundle	ACTG1	Subunit1_2_outsideFilament	1:1
EPS8	AMPHI_HELIX	ACTB	BarbedEnd_back	1:1
EPS8	AMPHI_HELIX	ACTG1	BarbedEnd_back	1:1
DBNL	SH3	DNM1	PRD_1_4-8_10-15	1:1
DBNL	SH3	DNM1	PRD2	1:1
DBNL	SH3	DNM1	PRD3	1:1
DBNL	SH3	DNM1	PRD9	1:1
DBNL	ADFH	ACTB	Subunit1_2_outsideFilament	1:1
DBNL	ADFH	ACTG1	Subunit1_2_outsideFilament	1:1
CORO6	CC_actinbind	ACTB	Subunit1_2_outsideFilament	1:1
CORO6	CC_actinbind	ACTG1	Subunit1_2_outsideFilament	1:1
CORO6	beta_propeller	ACTB	Subunit4_outsideFilament	1:1
CORO6	beta_propeller	ACTG1	Subunit4_outsideFilament	1:1
ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_1	1:1
ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_2	1:1
CAPZB	interface_to_actin	ACTB	BarbedEnd_back	1:1
CAPZB	interface_to_actin	ACTG1	BarbedEnd_back	1:1
CAPZA2	interface_to_actin	ACTB	BarbedEnd_back	1:1
HIP1R	TALIN	ACTG1	Subunit1_2_outsideFilament	1:1
HIP1	TALIN	ACTG1	Subunit1_2_outsideFilament	1:1
HIP1R	TALIN	ACTB	Subunit1_2_outsideFilament	1:1
HIP1	TALIN	ACTB	Subunit1_2_outsideFilament	1:1
ACTG1	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament	1:1
ACTB	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament	1:1
EPN1	NPF	ITSN1	EH1	1:1
FCHO1	FBAR_DIMER	FCHO1	FBAR_DIMER	1:1
FCHO1	FBAR_DIMER	FCHO2	FBAR_DIMER	1:1
FCHO1	MUH	PICALM	DPF	1:1
AMPH	BAR_DIMER	AMPH	BAR_DIMER	1:1
HIP1R	PRD_span	CTTN	SH3	1:1
ITSN2	WVxF	AP2A2	A2BS	1:1
SYNJ1	FxDxF	AP2A2	A2BS	1:1
SYNJ1	WVxF	AP2A2	A2BS	1:1
HIP1	CC	CLTB	interface_hip1_hip1r	1:1
HIP1	FXDIF	AP2A2	A2BS	1:1
CLTC	TRIMER	CLTC	TRIMER	1:1
BIN1	SH3	SYNJ1	PRD_span	1:1
BIN1	SH3	DNM1	PRD2	1:1
BIN1	SH3	DNM2	PRD2	1:1
ITSN1	SH3B	SH3GL1	SH3	1:1
DAB2	DPF	FCHO2	MUH	1:1
AAK1	KD	AAK1	KD	1:1
NECAP1	PHear	AP2B1	CLAT_linker	1:1
NECAP1	WXXF_2	AP2A2	A2BS	1:1
NECAP1	WXXF_2	AP2A1	A2BS	1:1
CTTN	ACIDICMOT	ARPC1A	interface_to_actin_filament_acidic	1:1
CTTN	SRC_BIND	CFL1	ADFH	1:1
ACTB	Subunit1_2_outsideFilament	CORO1A	CC_actinbind	1:1
ACTG1	Subunit1_2_outsideFilament	CORO1A	CC_actinbind	1:1
ACTB	Subunit4_outsideFilament	CORO1A	beta_propeller	1:1
ACTG1	Subunit4_outsideFilament	CORO1A	beta_propeller	1:1
CORO1A	CC_dimer	CORO1A	CC_dimer	1:1
ITSN2	SH3A	DNM1	PRD_1_4-8_10-15	1:1
ITSN2	SH3D	NUMB	PRD	1:1
ITSN1	SH3D	NUMB	PRD	1:1
STON2	WVxF	AP2A2	A2BS	1:1
EPN1	NPF	ITSN1	EH2	1:1
SGIP1	LINKER	AP2A2	core_to_linker	1:1
