Protein1	Interface1	Protein2	Interface2	Stoichiometry
	AAK1	WxxF	AP2A1	A2BS	1:01
	AAK1	WxxF	AP2A2	A2BS	1:01
	AAK1	KD	AAK1	KD	1:01
	AAK1	KD	AP2M1	PHOSPHO_SITE	1:01
	AAK1	KD	NUMB	PhosphoSite_T102	1:01
	ACTB	BarbedEnd_back	ACTB	PointedEnd_Back	1:01
	ACTB	PointedEnd_Back	ACTG1	BarbedEnd_back	1:01
	ACTB	PointedEnd_Back	ACTR2	back_barbed_end_to_actin	1:01
	ACTB	PointedEnd_Back	ACTR3	back_barbed_end_to_actin	1:01
	ACTB	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament	1:01
	ACTB	BarbedEnd_back	CAPZA2	interface_to_actin	1:01
	ACTB	BarbedEnd_back	CAPZB	interface_to_actin	1:01
	ACTB	Subunit1_2_outsideFilament	CFL1	ADFH	1:01
	ACTB	Subunit1_2_outsideFilament	CORO1A	CC_actinbind	1:01
	ACTB	Subunit4_outsideFilament	CORO1A	beta_propeller	1:01
	ACTB	Subunit1_2_outsideFilament	CORO6	CC_actinbind	1:01
	ACTB	Subunit4_outsideFilament	CORO6	beta_propeller	1:01
	ACTB	Subunit1_2_outsideFilament	DBNL	ADFH	1:01
	ACTB	Subunit1_2_outsideFilament	DNM1	Actin_bind	1:01
	ACTB	Subunit1_2_outsideFilament	DNM2	Actin_bind	1:01
	ACTB	BarbedEnd_back	EPS8	AMPHI_HELIX	1:01
	ACTB	Subunit1_2_outsideFilament	EPS8	Helix_Bundle	1:01
	ACTB	Subunit4_outsideFilament	EPS8	Helix_Bundle	1:01
	ACTB	Subunit1_2_outsideFilament	HIP1	TALIN	1:01
	ACTB	Subunit1_2_outsideFilament	HIP1R	TALIN	1:01
	ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_1	1:01
	ACTB	Subunit1_2_outsideFilament	WASL	VCA_V_WH2_2	1:01
	ACTG1	BarbedEnd_back	ACTG1	PointedEnd_Back	1:01
	ACTG1	Subunit1_2_outsideFilament	ARPC3	interface_to_actin_filament	1:01
	ACTG1	BarbedEnd_back	CAPZA2	interface_to_actin	1:01
	ACTG1	BarbedEnd_back	CAPZB	interface_to_actin	1:01
	ACTG1	Subunit1_2_outsideFilament	CFL1	ADFH	1:01
	ACTG1	Subunit1_2_outsideFilament	CORO1A	CC_actinbind	1:01
	ACTG1	Subunit4_outsideFilament	CORO1A	beta_propeller	1:01
	ACTG1	Subunit1_2_outsideFilament	CORO6	CC_actinbind	1:01
	ACTG1	Subunit4_outsideFilament	CORO6	beta_propeller	1:01
	ACTG1	Subunit1_2_outsideFilament	CTTN	HSrepeats	1:01
	ACTG1	Subunit1_2_outsideFilament	DBNL	ADFH	1:01
	ACTG1	BarbedEnd_back	EPS8	AMPHI_HELIX	1:01
	ACTG1	Subunit1_2_outsideFilament	EPS8	Helix_Bundle	1:01
