Protein	CopyNumber	IsConstrained?
AAK1 4452.25163 Y
ACTB 2070695.94 Y
ACTG1 22373469.7 Y
ACTR2 743412.602 Y
ACTR3 694182.243 Y
AGFG1 319820.022 Y
AP2A1 244537 Y
AP2A2 43774.2798 Y
AP2B1 466400.819 Y
AP2M1 129542.244 Y
AP2S1 237414.894 Y
ARPC1A 51217.3952 Y
ARPC2 663822.266 Y
ARPC3 495476.011 Y
ARPC4 278654.323 Y
ARPC5L 853273.952 Y
ARRB1 63284.9773 Y
ARRB2 45283.1966 Y
BIN1 89536.1668 Y
BMP2K 6345.38648 Y
CAPZA2 1139116.85 Y
CAPZB 1097412.48 Y
CFL1 12753987.7 Y
CLTA 2201123.47 Y
CLTB 909653.465 Y
CLTC 1495814.85 Y
CLTCL1 26135.3934 Y
CORO1A -1 N
CORO7 129224.955 Y
CTTN 953514.744 Y
DAB2 1078162.32 Y
DBNL 200180.97 Y
DNAJC6 -1 N
DNM1 -1 N
DNM2 326371.033 Y
DYRK1A 21233.5542 Y
EPN1 577668.86 Y
EPN2 136073.412 Y
EPN3 -1 N
EPS15 91353.5905 Y
EPS15L1 178667.658 Y
EPS8 16131.4687 Y
FCHO1 3705.97184 Y
FCHO2 36301.5122 Y
FNBP1 47579.7119 Y
FNBP1L 75171.782 Y
GAK 46689.83 Y
HIP1 13770.9073 Y
HIP1R 24161.1631 Y
HSPA8 7618152.03 Y
INPPL1 68654.8915 Y
ITSN1 20184.0052 Y
ITSN2 22707.5101 Y
LDLRAP1 1047.97691 Y
MYO1E 200697.684 Y
MYO6 128139.362 Y
NECAP1 58540.2794 Y
NECAP2 93647.7758 Y
NUMB 54115.596 Y
OCRL 15410.0325 Y
PACSIN2 276339.521 Y
PI4KA 9430.38223 Y
PICALM 358673.476 Y
PIP5K1C 3522.27951 Y
SH3BP4 831.343989 Y
SH3GL1 204620.904 Y
SH3GL2 55620.6505 Y
SH3KBP1 204529.614 Y
SNX9 124631.827 Y
STON2 164.174898 Y
SYNJ1 9059.55652 Y
SYNJ2 2714.12062 Y
TNK2 3180.33372 Y
TRIP10 208020.627 Y
WASL 166599.184 Y
