ProteinName	CopyNumbers	IsConstrained?
AP2A1	244536.9997	Y
AP2A2	43774.27978	Y
AP2B1	466400.819	Y
AP2M1	129542.2435	Y
AP2S1	237414.8937	Y
CLTC	1495814.849	Y
CLTCL1	26135.39344	Y
CLTA	2201123.467	Y
CLTB	909653.465	Y
HIP1	13770.90733	Y
EPS15	91353.5905	Y
FCHO1	3705.971837	Y
FCHO2	36301.51221	Y
PICALM	358673.4761	Y
ITSN1	20184.00517	Y
DNM2	326371.033	Y
SYNJ1	9059.556523	Y
SYNJ2	2714.120622	Y
OCRL	15410.03254	Y
DNM1	-1	N
PIP5K1C	3522.279514	Y
HIP1R	24161.1631	Y
DNAJC6	-1	N
HSPA8	7618152.029	Y
EPS15L1	178667.6577	Y
DAB2	1078162.319	Y
STON2	164.1748976	Y
LDLRAP1	1047.976909	Y
ARRB1	63284.97728	Y
ARRB2	45283.19656	Y
NUMB	54115.59603	Y
EPN1	577668.8597	Y
EPN2	136073.4122	Y
EPN3	-1	N
TRIP10	208020.6271	Y
ACTG1	22373469.66	Y
ACTB	2070695.936	Y
ARPC5L	853273.9518	Y
ARPC3	495476.0109	Y
ARPC4	278654.3232	Y
ARPC2	663822.2657	Y
ARPC1A	51217.39523	Y
ACTR2	743412.6018	Y
ACTR3	694182.2429	Y
BMP2K	6345.386476	Y
AAK1	4452.251629	Y
FNBP1L	75171.78197	Y
CAPZA2	1139116.849	Y
CAPZB	1097412.481	Y
CFL1	12753987.74	Y
CORO1A	-1	N
CORO7	129224.9548	Y
WASL	166599.1835	Y
MYO1E	200697.6837	Y
BIN1	89536.16684	Y
SH3GL2	55620.65051	Y
SH3GL1	204620.9043	Y
DBNL	200180.9701	Y
FNBP1	47579.71192	Y
PACSIN2	276339.5213	Y
EPS8	16131.46866	Y
NECAP1	58540.27942	Y
MYO6	128139.3623	Y
CTTN	953514.7438	Y
TNK2	3180.333724	Y
SNX9	124631.8265	Y
ITSN2	22707.51008	Y
AGFG1	319820.022	Y
INPPL1	68654.89149	Y
DYRK1A	21233.55421	Y
SH3BP4	831.3439888	Y
SH3KBP1	204529.6135	Y
