CopyNumber	CumulativeDistributionFunction
   7.5077750e+01   2.5855211e-03
   2.2523325e+02   9.1487669e-03
   3.7538875e+02   1.6109785e-02
   5.2554425e+02   2.4065235e-02
   6.7569975e+02   3.0031822e-02
   8.2585525e+02   3.8981702e-02
   9.7601075e+02   4.4948290e-02
   1.1261662e+03   5.0914877e-02
   1.2763218e+03   5.8472554e-02
   1.4264773e+03   6.4041368e-02
   1.5766328e+03   7.1201273e-02
   1.7267883e+03   7.8162291e-02
   1.8769438e+03   8.3532220e-02
   2.0270993e+03   9.1885442e-02
   2.1772548e+03   9.8050915e-02
   2.3274103e+03   1.0103421e-01
   2.4775658e+03   1.0739857e-01
   2.6277213e+03   1.1137629e-01
   2.7778768e+03   1.1694511e-01
   2.9280323e+03   1.2012729e-01
   3.0781878e+03   1.2569610e-01
   3.2283433e+03   1.2867940e-01
   3.3784988e+03   1.3305489e-01
   3.5286543e+03   1.3703262e-01
   3.6788098e+03   1.4240255e-01
   3.8289653e+03   1.4797136e-01
   3.9791208e+03   1.5194909e-01
   4.1292763e+03   1.5712013e-01
   4.2794318e+03   1.6129674e-01
   4.4295873e+03   1.6626889e-01
   4.5797428e+03   1.6984885e-01
   4.7298983e+03   1.7283214e-01
   4.8800538e+03   1.7700875e-01
   5.0302093e+03   1.8257757e-01
   5.1803648e+03   1.8536197e-01
   5.3305203e+03   1.8933970e-01
   5.4806758e+03   1.9272076e-01
   5.6308313e+03   1.9610183e-01
   5.7809868e+03   2.0167064e-01
   5.9311423e+03   2.0564837e-01
   6.0812978e+03   2.0982498e-01
   6.2314533e+03   2.1201273e-01
   6.3816088e+03   2.1459825e-01
   6.5317643e+03   2.1678600e-01
   6.6819198e+03   2.1996818e-01
   6.8320753e+03   2.2275259e-01
   6.9822308e+03   2.2573588e-01
   7.1323863e+03   2.2871917e-01
   7.2825418e+03   2.3110581e-01
   7.4326973e+03   2.3468576e-01
   7.5828528e+03   2.3846460e-01
   7.7330083e+03   2.4204455e-01
   7.8831638e+03   2.4502784e-01
   8.0333193e+03   2.4701671e-01
   8.1834748e+03   2.5079554e-01
   8.3336303e+03   2.5258552e-01
   8.4837858e+03   2.5417661e-01
   8.6339413e+03   2.5616547e-01
   8.7840968e+03   2.5815434e-01
   8.9342523e+03   2.6093874e-01
   9.0844078e+03   2.6193317e-01
   9.2345633e+03   2.6471758e-01
   9.3847188e+03   2.6789976e-01
   9.5348743e+03   2.6968974e-01
   9.6850298e+03   2.7227526e-01
   9.8351853e+03   2.7366746e-01
   9.9853408e+03   2.7625298e-01
   1.0135496e+04   2.7784407e-01
   1.0285652e+04   2.8003182e-01
   1.0435807e+04   2.8162291e-01
   1.0585963e+04   2.8420843e-01
   1.0736118e+04   2.8659507e-01
   1.0886274e+04   2.8798727e-01
   1.1036429e+04   2.8997613e-01
   1.1186585e+04   2.9196500e-01
   1.1336740e+04   2.9395386e-01
   1.1486896e+04   2.9594272e-01
   1.1637051e+04   2.9733492e-01
   1.1787207e+04   2.9952267e-01
   1.1937362e+04   3.0051710e-01
   1.2087518e+04   3.0151154e-01
   1.2237673e+04   3.0409706e-01
   1.2387829e+04   3.0628481e-01
   1.2537984e+04   3.0827367e-01
   1.2688140e+04   3.0986476e-01
   1.2838295e+04   3.1245028e-01
   1.2988451e+04   3.1503580e-01
   1.3138606e+04   3.1662689e-01
   1.3288762e+04   3.1702466e-01
   1.3438917e+04   3.1801909e-01
   1.3589073e+04   3.1941130e-01
   1.3739228e+04   3.2040573e-01
   1.3889384e+04   3.2120127e-01
   1.4039539e+04   3.2219570e-01
   1.4189695e+04   3.2398568e-01
   1.4339850e+04   3.2557677e-01
   1.4490006e+04   3.2756563e-01
   1.4640161e+04   3.2915672e-01
   1.4790317e+04   3.2995227e-01
   1.4940472e+04   3.3174224e-01
   1.5090628e+04   3.3293556e-01
   1.5240783e+04   3.3492442e-01
   1.5390939e+04   3.3631663e-01
   1.5541094e+04   3.3770883e-01
   1.5691250e+04   3.3890215e-01
   1.5841405e+04   3.3949881e-01
   1.5991561e+04   3.4029435e-01
   1.6141716e+04   3.4208433e-01
   1.6291872e+04   3.4367542e-01
   1.6442027e+04   3.4506762e-01
   1.6592183e+04   3.4526651e-01
   1.6742338e+04   3.4685760e-01
   1.6892494e+04   3.4785203e-01
   1.7042649e+04   3.4864757e-01
   1.7192805e+04   3.5043755e-01
   1.7342960e+04   3.5143198e-01
   1.7493116e+04   3.5282418e-01
   1.7643271e+04   3.5401750e-01
   1.7793427e+04   3.5481305e-01
   1.7943582e+04   3.5600636e-01
   1.8093738e+04   3.5719968e-01
   1.8243893e+04   3.5879077e-01
   1.8394049e+04   3.6018298e-01
   1.8544204e+04   3.6058075e-01
   1.8694360e+04   3.6256961e-01
   1.8844515e+04   3.6396181e-01
   1.8994671e+04   3.6535402e-01
   1.9144826e+04   3.6614956e-01
   1.9294982e+04   3.6714399e-01
   1.9445137e+04   3.6833731e-01
   1.9595293e+04   3.7032617e-01
   1.9745448e+04   3.7191726e-01
   1.9895604e+04   3.7350835e-01
   2.0045759e+04   3.7549722e-01
   2.0195915e+04   3.7629276e-01
   2.0346070e+04   3.7768496e-01
   2.0496226e+04   3.7867940e-01
   2.0646381e+04   3.8007160e-01
   2.0796537e+04   3.8106603e-01
   2.0946692e+04   3.8206046e-01
   2.1096848e+04   3.8444710e-01
   2.1247003e+04   3.8544153e-01
   2.1397159e+04   3.8703262e-01
   2.1547314e+04   3.8802705e-01
   2.1697470e+04   3.8882259e-01
   2.1847625e+04   3.9101034e-01
   2.1997781e+04   3.9240255e-01
   2.2147936e+04   3.9339698e-01
   2.2298092e+04   3.9439141e-01
   2.2448247e+04   3.9518695e-01
   2.2598403e+04   3.9638027e-01
   2.2748558e+04   3.9657916e-01
   2.2898714e+04   3.9797136e-01
   2.3048869e+04   3.9936356e-01
   2.3199025e+04   4.0055688e-01
   2.3349180e+04   4.0214797e-01
   2.3499336e+04   4.0234686e-01
   2.3649491e+04   4.0314240e-01
   2.3799647e+04   4.0334129e-01
   2.3949802e+04   4.0493238e-01
   2.4099958e+04   4.0592681e-01
   2.4250113e+04   4.0632458e-01
   2.4400269e+04   4.0692124e-01
   2.4550424e+04   4.0771679e-01
   2.4700580e+04   4.0831344e-01
   2.4850735e+04   4.0950676e-01
   2.5000891e+04   4.1050119e-01
   2.5151046e+04   4.1169451e-01
   2.5301202e+04   4.1328560e-01
   2.5451357e+04   4.1368337e-01
