Gene	Copy Numbers - Mouse Fibroblast (Schwanhausser 2011)		Copy Numbers - Rat Synaptosome (Wilhelm 2014)		Copy Numbers - HeLa (Kulak 2014)		Copy Numbers - HeLa (Hein 2015)		CONSENSUS COPY NUMBERS FOR HELA	
AAK1	23931.96	Y	314.7469125	Y	10871.47	Y	4452.25163	Y	7661.860815	Y
ACTB	120124358	Y	-1	N	-1	N	2070695.94	Y	2070695.94	Y
ACTG1	10693627.6	Y	22074.6	Y	109894.3	Y	22373469.7	Y	11241682	Y
ACTR2	868094.03	Y	413.9096904	Y	597192	Y	743412.602	Y	670302.301	Y
ACTR3	1645685.28	Y	367.871887	Y	828159.9	Y	694182.243	Y	761171.0715	Y
AGFG1	32185.84	Y	-1	N	157146.4	Y	319820.022	Y	238483.211	Y
AMPH	-1	N	1194.2	Y	0	DEL	0	DEL	0	DEL
AP2A1	63566.06	Y	-1	N	319004.7	Y	244537	Y	281770.85	Y
AP2A2	412755.07	Y	914.57	Y	70776.49	Y	43774.2798	Y	57275.3849	Y
AP2B1	499746.77	Y	1071.4	Y	348779.2	Y	466400.819	Y	407590.0095	Y
AP2M1	326856.7	Y	2324.7	Y	369073.2	Y	129542.244	Y	249307.722	Y
AP2S1	818450.03	Y	1380.9	Y	150448.6	Y	237414.894	Y	193931.747	Y
ARPC1A	3888.82	Y	850.2632445	Y	140441.8	Y	51217.3952	Y	95829.5976	Y
ARPC2	1191413.27	Y	352.3081126	Y	571017	Y	663822.266	Y	617419.633	Y
ARPC3	1038083.93	Y	-1	N	1016636	Y	495476.011	Y	756056.0055	Y
ARPC4	2318013.78	Y	-1	N	965396.9	Y	278654.323	Y	622025.6115	Y
ARPC5L	185008.79	Y	476.2432341	Y	357316	Y	853273.952	Y	605294.976	Y
ARRB1	-1	N	-1	N	50916.68	Y	63284.9773	Y	57100.82865	Y
ARRB2	0	DEL	-1	N	93238.13	Y	45283.1966	Y	69260.6633	Y
BIN1	89265.27	Y	947.3474275	Y	84576.08	Y	89536.1668	Y	87056.1234	Y
BMP2K	1598.42	Y	-1	N	4568.6	Y	6345.38648	Y	5456.99324	Y
CAPZA2	1945579.69	Y	1035.163263	Y	792245	Y	1139116.85	Y	965680.925	Y
CAPZB	1840903.73	Y	432.2592052	Y	1478977	Y	1097412.48	Y	1288194.74	Y
CFL1	20728411	Y	4498.57043	Y	13208310	Y	12753987.7	Y	12981148.85	Y
CLTA	1104736.45	Y	4554.06	Y	855261.4	Y	2201123.47	Y	1528192.435	Y
CLTB	48716.48	Y	-1	N	647161.6	Y	909653.465	Y	778407.5325	Y
CLTC	2173190.68	Y	3472.47	Y	1898133	Y	1495814.85	Y	1696973.925	Y
CLTCL1	0	DEL	-1	N	14448.51	Y	26135.3934	Y	20291.9517	Y
CORO1A	-1	N	640.1806453	Y	4831.387	Y	-1	N	4831.387	Y
CORO6	0	DEL	0	DEL	0	DEL	0	DEL	0	DEL
CORO7	-1	N	-1	N	94264.8185	Y	129224.955	Y	111744.8868	Y
CTTN	368619.04	Y	-1	N	1459428	Y	953514.744	Y	1206471.372	Y
DAB2	52008.85	Y	-1	N	682904	Y	1078162.32	Y	880533.16	Y
DBNL	178236.52	Y	115.6497276	Y	300139.7	Y	200180.97	Y	250160.335	Y
DNAJC6	0	DEL	-1	N	811.7546	Y	-1	N	811.7546	Y
DNM1	26635.6	Y	2326.4	Y	113.0437	Y	-1	N	113.0437	Y
DNM2	134011.12	Y	-1	N	360081.9	Y	326371.033	Y	343226.4665	Y
DNM3	0	DEL	-1	N	0	DEL	0	DEL	0	DEL
DYRK1A	-1	N	-1	N	24599.99	Y	21233.5542	Y	22916.7721	Y
EPN1	8566.08	Y	92.88	Y	69610.9928	Y	577668.86	Y	323639.9264	Y
EPN2	9234.35	Y	-1	N	30220.88	Y	136073.412	Y	83147.146	Y
EPN3	0	DEL	-1	N	-1	N	-1	N	-1	N
EPS15	23622.74	Y	-1	N	72354.11	Y	91353.5905	Y	81853.85025	Y
EPS15L1	4219.73	Y	-1	N	187138.5	Y	178667.658	Y	182903.079	Y
EPS8	11505.23	Y	-1	N	1472.387	Y	16131.4687	Y	8801.92785	Y
FCHO1	-1	N	-1	N	-1	N	3705.97184	Y	3705.97184	Y
FCHO2	11120.39	Y	-1	N	29446.92	Y	36301.5122	Y	32874.2161	Y
FNBP1	-1	N	-1	N	24205.79	Y	47579.7119	Y	35892.75095	Y
FNBP1L	25135.19	Y	-1	N	80853.73	Y	75171.782	Y	78012.756	Y
GAK	-1	N	-1	N	38796.61	Y	46689.83	Y	42743.22	Y
HIP1	10672.88	Y	-1	N	14824.99	Y	13770.9073	Y	14297.94865	Y
HIP1R	8599.67	Y	-1	N	51431.68	Y	24161.1631	Y	37796.42155	Y
HSPA8	22087695.9	Y	8210.1	Y	9523529	Y	7618152.03	Y	8570840.515	Y
INPPL1	46181.36	Y	-1	N	85576.48	Y	68654.8915	Y	77115.68575	Y
ITSN1	1119.28	Y	3096.5	Y	18410.54	Y	20184.0052	Y	19297.2726	Y
ITSN2	-1	N	-1	N	27778.66	Y	22707.5101	Y	25243.08505	Y
LDLRAP1	10341.12	Y	-1	N	17379.96	Y	1047.97691	Y	9213.968455	Y
MYO1E	-1	N	-1	N	229213.6	Y	200697.684	Y	214955.642	Y
MYO6	640.06	Y	-1	N	60073.93	Y	128139.362	Y	94106.646	Y
NECAP1	21160.03	Y	609.882662	Y	67672.82	Y	58540.2794	Y	63106.5497	Y
NECAP2	22465.97	Y	-1	N	41804.5	Y	93647.7758	Y	67726.1379	Y
NUMB	-1	N	-1	N	24340.94	Y	54115.596	Y	39228.268	Y
OCRL	-1	N	-1	N	25299.42	Y	15410.0325	Y	20354.72625	Y
PACSIN2	361670.02	Y	-1	N	256595.4	Y	276339.521	Y	266467.4605	Y
PI4KA	-1	N	-1	N	10050.04	Y	9430.38223	Y	9740.211115	Y
PICALM	287846.12	Y	180.1626787	Y	140176.8	Y	358673.476	Y	249425.138	Y
PIP5K1C	-1	N	465.72	Y	2709.588	Y	3522.27951	Y	3115.933755	Y
SGIP1	-1	N	3037.04	Y	0	DEL	0	DEL	0	DEL
SH3BP4	306.28	Y	-1	N	1988.688	Y	831.343989	Y	1410.015995	Y
SH3GL1	181352.46	Y	-1	N	428501.4	Y	204620.904	Y	316561.152	Y
SH3GL2	0	DEL	2524.4	Y	4332.826	Y	55620.6505	Y	29976.73825	Y
SH3GL3	0	DEL	-1	N	0	DEL	0	DEL	0	DEL
SH3KBP1	207347.17	Y	-1	N	89628.17	Y	204529.614	Y	147078.892	Y
SNAP91	0	DEL	3736.4	Y	0	DEL	0	DEL	0	DEL
SNX9	243644.3	Y	-1	N	44463	Y	124631.827	Y	84547.4135	Y
STON2	-1	N	-1	N	2979.077	Y	164.174898	Y	1571.625949	Y
SYNJ1	56.66	Y	-1	N	9656.896	Y	9059.55652	Y	9358.22626	Y
SYNJ2	1143.89	Y	366	Y	3113.022	Y	2714.12062	Y	2913.57131	Y
TNK2	-1	N	-1	N	645.9998	Y	3180.33372	Y	1913.16676	Y
TRIP10	16145.4	Y	0	DEL	83179.59	Y	208020.627	Y	145600.1085	Y
WAS	-1	N	-1	N	0	DEL	0	DEL	0	DEL
WASL	31918.06	Y	-1	N	93627.64	Y	166599.184	Y	130113.412	Y
PI45P2	19200000	Y	57750	Y	25975000	Y	25975000	Y	25975000	Y
PI_PS	192000000	Y	577500	Y	259750000	Y	259750000	Y	259750000	Y
PI345P3	21504	Y	64.68	Y	29092	Y	29092	Y	29092	Y
PI4P	13056000	Y	39270	Y	17663000	Y	17663000	Y	17663000	Y
PI34P2	32256	Y	97.02	Y	43638	Y	43638	Y	43638	Y
CARGO_YXXO	1393440.4	Y	130.9262829	Y	3200735.358	Y	2030786.446	Y	2615760.902	Y
CARGO_DILEU	3687.8	Y	-1	N	122304.153	Y	303694.2919	Y	212999.2225	Y
CARGO_PTB	280873.42	Y	-1	N	502138.318	Y	672954.9521	Y	587546.6351	Y
CARGO_GPCR	29285.16	Y	-1	N	5806.234	Y	99138.65193	Y	52472.44297	Y
