Protein	CopyNumber	IsConstrained?
AP2A1	281770.8499	Y
AP2A2	57275.38489	Y
AP2B1	407590.0095	Y
AP2M1	249307.7218	Y
AP2S1	193931.7469	Y
CLTC	1696973.925	Y
CLTCL1	20291.95172	Y
CLTA	1528192.434	Y
CLTB	778407.5325	Y
HIP1	14297.94867	Y
EPS15	81853.85025	Y
FCHO1	3705.971837	Y
FCHO2	32874.21611	Y
PICALM	249425.1381	Y
ITSN1	19297.27259	Y
DNM2	343226.4665	Y
SYNJ1	9358.226262	Y
SYNJ2	2913.571311	Y
OCRL	20354.72627	Y
DNM1	113.0437	Y
PIP5K1C	3115.933757	Y
HIP1R	37796.42155	Y
DNAJC6	811.7546	Y
HSPA8	8570840.515	Y
EPS15L1	182903.0789	Y
DAB2	880533.1595	Y
STON2	1571.625949	Y
LDLRAP1	9213.968455	Y
ARRB1	57100.82864	Y
ARRB2	69260.66328	Y
NUMB	39228.26802	Y
EPN1	323639.9263	Y
EPN2	83147.1461	Y
EPN3	-1	N
TRIP10	145600.1086	Y
ACTG1	11241681.98	Y
ACTB	2070695.936	Y
ARPC5L	605294.9759	Y
ARPC3	756056.0055	Y
ARPC4	622025.6116	Y
ARPC2	617419.6329	Y
ARPC1A	95829.59762	Y
ACTR2	670302.3009	Y
ACTR3	761171.0715	Y
BMP2K	5456.993238	Y
AAK1	7661.860815	Y
FNBP1L	78012.75599	Y
CAPZA2	965680.9245	Y
CAPZB	1288194.741	Y
CFL1	12981148.87	Y
CORO1A	4831.387	Y
CORO7	111744.8867	Y
WASL	130113.4118	Y
MYO1E	214955.6419	Y
BIN1	87056.12342	Y
SH3GL2	29976.73826	Y
SH3GL1	316561.1522	Y
DBNL	250160.3351	Y
FNBP1	35892.75096	Y
PACSIN2	266467.4607	Y
EPS8	8801.92783	Y
NECAP1	63106.54971	Y
MYO6	94106.64615	Y
CTTN	1206471.372	Y
TNK2	1913.166762	Y
SNX9	84547.41325	Y
ITSN2	25243.08504	Y
AGFG1	238483.211	Y
INPPL1	77115.68575	Y
DYRK1A	22916.77211	Y
SH3BP4	1410.015994	Y
SH3KBP1	147078.8918	Y
PI4KA	9740.211114	Y
PI45P2	26000000	Y
PI_PS	260000000	Y
PI345P3	29092	Y
PI4P	17700000	Y
PI34P2	43638	Y
CARGO_YXXO	2615760.902	Y
CARGO_DILEU	212999.2225	Y
CARGO_PTB	587546.6351	Y
CARGO_GPCR	52472.44297	Y
CARGO_ubiq	115223.8174	Y
CARGO_VAMP7	152764.9753	Y
CARGO_SNARE	1341141.033	Y
CARGO_VAMP2	6333.36275	Y
