Protein	CopyNumber	IsConstrained?
AAK1 10871.47 Y
ACTB -1 N
ACTG1 109894.3 Y
ACTR2 597192 Y
ACTR3 828159.9 Y
AGFG1 157146.4 Y
AP2A1 319004.7 Y
AP2A2 70776.49 Y
AP2B1 348779.2 Y
AP2M1 369073.2 Y
AP2S1 150448.6 Y
ARPC1A 140441.8 Y
ARPC2 571017 Y
ARPC3 1016636 Y
ARPC4 965396.9 Y
ARPC5L 357316 Y
ARRB1 50916.68 Y
ARRB2 93238.13 Y
BIN1 84576.08 Y
BMP2K 4568.6 Y
CAPZA2 792245 Y
CAPZB 1478977 Y
CFL1 13208310 Y
CLTA 855261.4 Y
CLTB 647161.6 Y
CLTC 1898133 Y
CLTCL1 14448.51 Y
CORO1A 4831.387 Y
CORO7 94264.8185 Y
CTTN 1459428 Y
DAB2 682904 Y
DBNL 300139.7 Y
DNAJC6 811.7546 Y
DNM1 113.0437 Y
DNM2 360081.9 Y
DYRK1A 24599.99 Y
EPN1 69610.9928 Y
EPN2 30220.88 Y
EPN3 -1 N
EPS15 72354.11 Y
EPS15L1 187138.5 Y
EPS8 1472.387 Y
FCHO1 -1 N
FCHO2 29446.92 Y
FNBP1 24205.79 Y
FNBP1L 80853.73 Y
GAK 38796.61 Y
HIP1 14824.99 Y
HIP1R 51431.68 Y
HSPA8 9523529 Y
INPPL1 85576.48 Y
ITSN1 18410.54 Y
ITSN2 27778.66 Y
LDLRAP1 17379.96 Y
MYO1E 229213.6 Y
MYO6 60073.93 Y
NECAP1 67672.82 Y
NECAP2 41804.5 Y
NUMB 24340.94 Y
OCRL 25299.42 Y
PACSIN2 256595.4 Y
PI4KA 10050.04 Y
PICALM 140176.8 Y
PIP5K1C 2709.588 Y
SH3BP4 1988.688 Y
SH3GL1 428501.4 Y
SH3GL2 4332.826 Y
SH3KBP1 89628.17 Y
SNX9 44463 Y
STON2 2979.077 Y
SYNJ1 9656.896 Y
SYNJ2 3113.022 Y
TNK2 645.9998 Y
TRIP10 83179.59 Y
WASL 93627.64 Y
PI45P2 25975000 Y
PI_PS 259750000 Y
PI345P3 29092 Y
PI4P 17663000 Y
PI34P2 43638 Y
CARGO_YXXO 3200735.358 Y
CARGO_DILEU 122304.153 Y
CARGO_PTB 502138.318 Y
CARGO_GPCR 5806.234 Y
CARGO_ubiq 92674.54 Y
CARGO_VAMP7 176329.1 Y
CARGO_SNARE 1085468.42 Y
CARGO_VAMP2 10649.92 Y
