Protein	CopyNumber	IsConstrained?
AAK1 23931.96 Y
ACTB 120124358 Y
ACTG1 10693627.6 Y
ACTR2 868094.03 Y
ACTR3 1645685.28 Y
AGFG1 32185.84 Y
AMPH -1 N
AP2A1 63566.06 Y
AP2A2 412755.07 Y
AP2B1 499746.77 Y
AP2M1 326856.7 Y
AP2S1 818450.03 Y
ARPC1A 3888.82 Y
ARPC2 1191413.27 Y
ARPC3 1038083.93 Y
ARPC4 2318013.78 Y
ARPC5L 185008.79 Y
ARRB1 -1 N
BIN1 89265.27 Y
BMP2K 1598.42 Y
CAPZA2 1945579.69 Y
CAPZB 1840903.73 Y
CFL1 20728411 Y
CLTA 1104736.45 Y
CLTB 48716.48 Y
CLTC 2173190.68 Y
CORO1A -1 N
CORO7 -1 N
CTTN 368619.04 Y
DAB2 52008.85 Y
DBNL 178236.52 Y
DNM1 26635.6 Y
DNM2 134011.12 Y
DYRK1A -1 N
EPN1 8566.08 Y
EPN2 9234.35 Y
EPS15 23622.74 Y
EPS15L1 4219.73 Y
EPS8 11505.23 Y
FCHO1 -1 N
FCHO2 11120.39 Y
FNBP1 -1 N
FNBP1L 25135.19 Y
GAK -1 N
HIP1 10672.88 Y
HIP1R 8599.67 Y
HSPA8 22087695.9 Y
INPPL1 46181.36 Y
ITSN1 1119.28 Y
ITSN2 -1 N
LDLRAP1 10341.12 Y
MYO1E -1 N
MYO6 640.06 Y
NECAP1 21160.03 Y
NECAP2 22465.97 Y
NUMB -1 N
OCRL -1 N
PACSIN2 361670.02 Y
PI4KA -1 N
PICALM 287846.12 Y
PIP5K1C -1 N
SGIP1 -1 N
SH3BP4 306.28 Y
SH3GL1 181352.46 Y
SH3KBP1 207347.17 Y
SNX9 243644.3 Y
STON2 -1 N
SYNJ1 56.66 Y
SYNJ2 1143.89 Y
TNK2 -1 N
TRIP10 16145.4 Y
WAS -1 N
WASL 31918.06 Y
PI45P2 19200000 Y
PI_PS 192000000 Y
PI345P3 21504 Y
PI4P 13056000 Y
PI34P2 32256 Y
CARGO_YXXO 1393440.4 Y
CARGO_DILEU 3687.8 Y
CARGO_PTB 280873.42 Y
CARGO_GPCR 29285.16 Y
CARGO_ubiq 8465.56 Y
CARGO_VAMP7 30933.73 Y
CARGO_SNARE 1195594.79 Y
CARGO_VAMP2 6278.51 Y


