Protein	Interface	R	R'	R''	var for R'
AP2A1	A2BS	281770.8499	2259551.26445	1542777.25644	420672793381
AP2A1	A2PLAT	281770.8499	1597805.51413	1542777.25644	420672793381
AP2A1	core_to_linker	281770.8499	2829080.74957	1542777.25644	420672793381
AP2A1	alpha_to_mu_interface	281770.8499	950413.032117	1542777.25644	420672793381
AP2A1	alpha_to_beta_interface	281770.8499	965428.897786	1542777.25644	420672793381
AP2A1	alpha_to_sigma_interface	281770.8499	954518.583385	1542777.25644	420672793381
AP2A1	PIP2_BIND	281770.8499	1636325.94777	1542777.25644	420672793381
AP2A1	CARGO_BIND	281770.8499	1149094.06232	1542777.25644	420672793381
AP2A2	A2BS	57275.38489	2035055.79944	1318281.79143	420672793381
AP2A2	A2PLAT	57275.38489	1373310.04912	1318281.79143	420672793381
AP2A2	core_to_linker	57275.38489	2604585.28456	1318281.79143	420672793381
AP2A2	alpha_to_mu_interface	57275.38489	725917.567107	1318281.79143	420672793381
AP2A2	alpha_to_beta_interface	57275.38489	740933.432776	1318281.79143	420672793381
AP2A2	alpha_to_sigma_interface	57275.38489	730023.118375	1318281.79143	420672793381
AP2A2	PIP2_BIND	57275.38489	1411830.48276	1318281.79143	420672793381
AP2A2	CARGO_BIND	57275.38489	924598.597307	1318281.79143	420672793381
AP2B1	CLAT_linker	407590.0095	977897.637285	1329739.97338	58117784340.3
AP2B1	B2PLAT	407590.0095	1434003.81861	1329739.97338	58117784340.3
AP2B1	B2BS	407590.0095	1468910.50798	1329739.97338	58117784340.3
AP2B1	beta_to_sigma_interface	407590.0095	1085012.05238	1329739.97338	58117784340.3
AP2B1	beta_to_mu_interface	407590.0095	1158654.16035	1329739.97338	58117784340.3
AP2B1	beta_to_alpha_interface	407590.0095	1706362.33056	1329739.97338	58117784340.3
AP2B1	PIP2_BIND	407590.0095	1477339.30646	1329739.97338	58117784340.3
AP2M1	M2MUH	249307.7218	1222189.85588	1235789.1434	59405238688.9
AP2M1	mu_to_beta_interface	249307.7218	1158654.16035	1235789.1434	59405238688.9
AP2M1	mu_to_sigma_interface	249307.7218	1004452.45333	1235789.1434	59405238688.9
AP2M1	PHOSPHO_SITE	249307.7218	957823.904352	1235789.1434	59405238688.9
AP2M1	mu_to_alpha_interface	249307.7218	1676330.59922	1235789.1434	59405238688.9
AP2M1	PIP2_BIND	249307.7218	1395283.88724	1235789.1434	59405238688.9
AP2S1	sigma_to_beta_interface	193931.7469	1085012.05238	1048863.77773	200253727765
AP2S1	sigma_to_mu_interface	193931.7469	1004452.45333	1048863.77773	200253727765
AP2S1	sigma_to_alpha_interface	193931.7469	1684541.70176	1048863.77773	200253727765
AP2S1	CARGO_BIND	193931.7469	421448.90345	1048863.77773	200253727765
CLTC	TRIMER	1696973.925	1921339.03781	1966212.06037	652557951929
CLTC	TD_CBOX	1696973.925	3160141.85777	1966212.06037	652557951929
CLTC	AD	1696973.925	636010.291368	1966212.06037	652557951929
CLTC	PROX	1696973.925	1899519.95614	1966212.06037	652557951929
CLTC	TD_WBOX	1696973.925	2214049.15877	1966212.06037	652557951929
CLTCL1	TRIMER	20291.95172	1845767.55916	2454259.4283	781069019487
CLTCL1	PROX	20291.95172	1813038.93665	2454259.4283	781069019487
CLTCL1	TD_CBOX	20291.95172	3703971.7891	2454259.4283	781069019487
CLTA	BIND	1528192.434	2331597.53474	2667842.8401	113060905376
CLTA	interface_hspa8	1528192.434	3004088.14546	2667842.8401	113060905376
CLTB	interface_hip1_hip1r	778407.5325	1348232.73555	1538174.4699	60436770739.9
CLTB	BIND	778407.5325	1380961.35805	1538174.4699	60436770739.9
CLTB	interface_hspa8	778407.5325	1885329.31609	1538174.4699	60436770739.9
HIP1	TALIN	14297.94867	3900543.20031	5929431.03303	1.43209161525e+13
HIP1	CC	14297.94867	4943575.51897	5929431.03303	1.43209161525e+13
HIP1	FXDIF	14297.94867	3658246.77253	5929431.03303	1.43209161525e+13
HIP1	CLAT	14297.94867	3704772.69901	5929431.03303	1.43209161525e+13
HIP1	ENTH	14297.94867	13440016.9743	5929431.03303	1.43209161525e+13
EPS15	EH3	81853.85025	1088001.63323	1241660.81444	117277209869
EPS15	DPF_1-6	81853.85025	1825390.32745	1241660.81444	117277209869
EPS15	EH2	81853.85025	1088001.63323	1241660.81444	117277209869
EPS15	EH1	81853.85025	1088001.63323	1241660.81444	117277209869
EPS15	DPF_linker_11-12	81853.85025	917653.293338	1241660.81444	117277209869
EPS15	DPF_7-15	81853.85025	1825390.32745	1241660.81444	117277209869
EPS15	CC	81853.85025	1112793.37398	1241660.81444	117277209869
EPS15	UIM2	81853.85025	988054.293658	1241660.81444	117277209869
FCHO1	FBAR_top	3705.971837	4536236.44417	5291629.02289	8.96934934114e+12
FCHO1	FBAR_bottom	3705.971837	4536186.44417	5291629.02289	8.96934934114e+12
FCHO1	FBAR_DIMER	3705.971837	4536211.44417	5291629.02289	8.96934934114e+12
FCHO1	MUH	3705.971837	3620015.36114	5291629.02289	8.96934934114e+12
FCHO1	LINKER	3705.971837	2702248.89493	5291629.02289	8.96934934114e+12
FCHO1	FBAR_MEM	3705.971837	11818875.5488	5291629.02289	8.96934934114e+12
FCHO2	FBAR_bottom	32874.21611	4565404.68844	5320797.26716	8.96934934114e+12
FCHO2	FBAR_top	32874.21611	4565354.68844	5320797.26716	8.96934934114e+12
FCHO2	FBAR_DIMER	32874.21611	4565379.68844	5320797.26716	8.96934934114e+12
FCHO2	MUH	32874.21611	3649183.60541	5320797.26716	8.96934934114e+12
FCHO2	LINKER	32874.21611	2731417.1392	5320797.26716	8.96934934114e+12
FCHO2	FBAR_MEM	32874.21611	11848043.793	5320797.26716	8.96934934114e+12
PICALM	DPF	249425.1381	1945810.56687	1002413.13638	392036403601
PICALM	NPF1_2	249425.1381	895508.942229	1002413.13638	392036403601
PICALM	CLAT	249425.1381	100	1002413.13638	392036403601
PICALM	ANTH_MEM	249425.1381	1227405.90809	1002413.13638	392036403601
PICALM	ANTH_VAMP	249425.1381	943240.264714	1002413.13638	392036403601
ITSN1	EH1	19297.27259	563368.108968	618004.248114	55617401211.1
ITSN1	SH3B	19297.27259	1363408.28877	618004.248114	55617401211.1
