 CopyNumbers	  CumulativeDistributionFunction
   2.6690000e+00   1.8038331e-02
   8.0070000e+00   5.4114994e-02
   1.3345000e+01   9.3573844e-02
   1.8683000e+01   1.1612176e-01
   2.4021000e+01   1.3641488e-01
   2.9359000e+01   1.6009019e-01
   3.4697000e+01   1.8376550e-01
   4.0035000e+01   2.0180383e-01
   4.5373000e+01   2.2209696e-01
   5.0711000e+01   2.4464487e-01
   5.6049000e+01   2.6606539e-01
   6.1387000e+01   2.8072153e-01
   6.6725000e+01   3.0214205e-01
   7.2063000e+01   3.1228861e-01
   7.7401000e+01   3.2807215e-01
   8.2739000e+01   3.3596392e-01
   8.8077000e+01   3.4611048e-01
   9.3415000e+01   3.6189402e-01
   9.8753000e+01   3.7204059e-01
   1.0409100e+02   3.7993236e-01
   1.0942900e+02   3.8895152e-01
   1.1476700e+02   4.0360767e-01
   1.2010500e+02   4.1713641e-01
   1.2544300e+02   4.2277339e-01
   1.3078100e+02   4.3291995e-01
   1.3611900e+02   4.3630214e-01
   1.4145700e+02   4.4532131e-01
   1.4679500e+02   4.5208568e-01
   1.5213300e+02   4.5546787e-01
   1.5747100e+02   4.7350620e-01
   1.6280900e+02   4.7914318e-01
   1.6814700e+02   4.8478016e-01
   1.7348500e+02   4.8928974e-01
   1.7882300e+02   5.0732807e-01
   1.8416100e+02   5.1071026e-01
   1.8949900e+02   5.1747463e-01
   1.9483700e+02   5.2423901e-01
   2.0017500e+02   5.2649380e-01
   2.0551300e+02   5.3325817e-01
   2.1085100e+02   5.3889515e-01
   2.1618900e+02   5.4453213e-01
   2.2152700e+02   5.5129651e-01
   2.2686500e+02   5.5355130e-01
   2.3220300e+02   5.6144307e-01
   2.3754100e+02   5.6820744e-01
   2.4287900e+02   5.7384442e-01
   2.4821700e+02   5.7722661e-01
   2.5355500e+02   5.7948140e-01
   2.5889300e+02   5.8511838e-01
   2.6423100e+02   5.8850056e-01
   2.6956900e+02   5.9301015e-01
   2.7490700e+02   5.9977452e-01
   2.8558300e+02   6.0315671e-01
   2.9092100e+02   6.0653890e-01
   2.9625900e+02   6.1330327e-01
   3.0159700e+02   6.1668546e-01
   3.0693500e+02   6.1781285e-01
   3.1227300e+02   6.2457723e-01
   3.1761100e+02   6.2908681e-01
   3.2294900e+02   6.3472379e-01
   3.2828700e+02   6.4036077e-01
   3.3362500e+02   6.4599775e-01
   3.3896300e+02   6.4937993e-01
   3.4430100e+02   6.5388952e-01
   3.4963900e+02   6.5839910e-01
   3.5497700e+02   6.6178129e-01
   3.6031500e+02   6.6290868e-01
   3.6565300e+02   6.6516347e-01
   3.7099100e+02   6.7080045e-01
   3.7632900e+02   6.7305524e-01
   3.8166700e+02   6.7418264e-01
   3.8700500e+02   6.7643743e-01
   3.9234300e+02   6.7756483e-01
   3.9768100e+02   6.7869222e-01
   4.0301900e+02   6.8207441e-01
   4.0835700e+02   6.8320180e-01
   4.1369500e+02   6.8545660e-01
   4.2437100e+02   6.8883878e-01
   4.2970900e+02   6.9222097e-01
   4.3504700e+02   6.9334837e-01
   4.4572300e+02   6.9673055e-01
   4.5106100e+02   6.9898534e-01
   4.5639900e+02   7.0462232e-01
   4.6173700e+02   7.0687711e-01
   4.6707500e+02   7.1025930e-01
   4.7775100e+02   7.1589628e-01
   4.8308900e+02   7.1815107e-01
   4.8842700e+02   7.2040586e-01
   4.9376500e+02   7.2604284e-01
   4.9910300e+02   7.2942503e-01
   5.1511700e+02   7.3167982e-01
   5.2045500e+02   7.3506201e-01
   5.3113100e+02   7.3618940e-01
   5.4180700e+02   7.4069899e-01
   5.4714500e+02   7.4182638e-01
   5.5248300e+02   7.4408117e-01
   5.5782100e+02   7.4520857e-01
   5.6315900e+02   7.4746336e-01
   5.6849700e+02   7.4859076e-01
   5.7383500e+02   7.4971815e-01
   5.7917300e+02   7.5084555e-01
   6.0052500e+02   7.5310034e-01
   6.0586300e+02   7.5535513e-01
   6.1120100e+02   7.5873732e-01
   6.1653900e+02   7.5986471e-01
   6.2187700e+02   7.6099211e-01
   6.3255300e+02   7.6437430e-01
   6.3789100e+02   7.6550169e-01
   6.4322900e+02   7.6662909e-01
   6.4856700e+02   7.6775648e-01
   6.6458100e+02   7.7001127e-01
   6.6991900e+02   7.7226607e-01
   6.7525700e+02   7.7564825e-01
   6.8059500e+02   7.7677565e-01
   6.8593300e+02   7.8128523e-01
   6.9127100e+02   7.8241263e-01
   7.0728500e+02   7.8354002e-01
   7.1262300e+02   7.8804961e-01
   7.1796100e+02   7.9030440e-01
   7.2329900e+02   7.9143179e-01
   7.3397500e+02   7.9255919e-01
   7.3931300e+02   7.9368658e-01
   7.4465100e+02   7.9706877e-01
   7.4998900e+02   7.9932356e-01
   7.6066500e+02   8.0045096e-01
   7.7134100e+02   8.0157835e-01
   7.8201700e+02   8.0270575e-01
   7.8735500e+02   8.0383315e-01
   7.9269300e+02   8.0608794e-01
   7.9803100e+02   8.0721533e-01
   8.0870700e+02   8.0834273e-01
   8.1404500e+02   8.1397971e-01
   8.2472100e+02   8.1510710e-01
   8.5141100e+02   8.1623450e-01
   8.6208700e+02   8.1736189e-01
   8.6742500e+02   8.1848929e-01
   8.8877700e+02   8.1961669e-01
   8.9945300e+02   8.2074408e-01
   9.1012900e+02   8.2187148e-01
   9.1546700e+02   8.2299887e-01
   9.2080500e+02   8.2412627e-01
   9.2614300e+02   8.2525366e-01
   9.3148100e+02   8.2638106e-01
   9.4215700e+02   8.2750846e-01
   9.4749500e+02   8.2976325e-01
   9.5817100e+02   8.3089064e-01
   9.6350900e+02   8.3201804e-01
   9.6884700e+02   8.3427283e-01
   9.7418500e+02   8.3652762e-01
   9.7952300e+02   8.3765502e-01
   9.9553700e+02   8.3878241e-01
   1.0008750e+03   8.3990981e-01
   1.0168890e+03   8.4103720e-01
   1.0329030e+03   8.4329200e-01
   1.0489170e+03   8.4441939e-01
   1.0542550e+03   8.4667418e-01
   1.0649310e+03   8.4892897e-01
   1.0702690e+03   8.5231116e-01
   1.0862830e+03   8.5456595e-01
   1.0916210e+03   8.5682074e-01
   1.1076350e+03   8.5794814e-01
   1.1129730e+03   8.5907554e-01
   1.1183110e+03   8.6020293e-01
   1.1396630e+03   8.6133033e-01
   1.1450010e+03   8.6245772e-01
   1.1503390e+03   8.6471251e-01
   1.1556770e+03   8.6583991e-01
   1.1610150e+03   8.6696731e-01
   1.1716910e+03   8.6809470e-01
   1.1930430e+03   8.6922210e-01
   1.2037190e+03   8.7034949e-01
   1.2143950e+03   8.7147689e-01
   1.2250710e+03   8.7260428e-01
   1.2517610e+03   8.7485908e-01
   1.2624370e+03   8.7598647e-01
   1.3158170e+03   8.7711387e-01
   1.3264930e+03   8.7936866e-01
   1.3425070e+03   8.8049605e-01
   1.3478450e+03   8.8162345e-01
   1.3638590e+03   8.8275085e-01
   1.3691970e+03   8.8387824e-01
   1.3798730e+03   8.8500564e-01
   1.3958870e+03   8.8613303e-01
   1.4119010e+03   8.8726043e-01
   1.4599430e+03   8.8838782e-01
   1.4652810e+03   8.8951522e-01
   1.4919710e+03   8.9177001e-01
   1.5026470e+03   8.9289741e-01
   1.5506890e+03   8.9402480e-01
   1.5613650e+03   8.9515220e-01
   1.5720410e+03   8.9627959e-01
   1.5773790e+03   8.9740699e-01
   1.6094070e+03   8.9853439e-01
   1.7108290e+03   8.9966178e-01
   1.7268430e+03   9.0078918e-01
   1.7588710e+03   9.0191657e-01
   1.7802230e+03   9.0417136e-01
   1.8549550e+03   9.0529876e-01
   1.8709690e+03   9.0642616e-01
   1.8816450e+03   9.0755355e-01
   1.9670530e+03   9.0868095e-01
   2.0524610e+03   9.0980834e-01
   2.1325310e+03   9.1093574e-01
   2.3193610e+03   9.1206313e-01
   2.3246990e+03   9.1431793e-01
   2.3353750e+03   9.1544532e-01
   2.3513890e+03   9.1657272e-01
   2.3780790e+03   9.1770011e-01
   2.4207830e+03   9.1882751e-01
   2.5222050e+03   9.1995490e-01
   2.5702470e+03   9.2108230e-01
   2.5755850e+03   9.2220970e-01
   2.6076130e+03   9.2446449e-01
   2.6876830e+03   9.2559188e-01
   2.8584990e+03   9.2671928e-01
   2.8745130e+03   9.2784667e-01
   2.9866110e+03   9.2897407e-01
   3.0346530e+03   9.3010147e-01
   3.0987090e+03   9.3122886e-01
   3.1147230e+03   9.3348365e-01
   3.2001310e+03   9.3461105e-01
   3.2481730e+03   9.3573844e-01
   3.3015530e+03   9.3686584e-01
   3.3282430e+03   9.3799324e-01
   3.4723690e+03   9.3912063e-01
   3.5204110e+03   9.4024803e-01
   3.6965650e+03   9.4137542e-01
   3.7339310e+03   9.4250282e-01
   3.7873110e+03   9.4363021e-01
   3.8833950e+03   9.4475761e-01
   4.0061690e+03   9.4588501e-01
   4.0488730e+03   9.4701240e-01
   4.0648870e+03   9.4813980e-01
   4.2517170e+03   9.4926719e-01
   4.4545610e+03   9.5039459e-01
   4.4652370e+03   9.5152198e-01
   4.4865890e+03   9.5264938e-01
   4.4972650e+03   9.5377678e-01
   4.5559830e+03   9.5490417e-01
   4.5613210e+03   9.5603157e-01
   4.6680810e+03   9.5715896e-01
   4.9403190e+03   9.5828636e-01
   5.1538390e+03   9.5941375e-01
   5.1645150e+03   9.6054115e-01
   5.4367530e+03   9.6166855e-01
   5.7730470e+03   9.6279594e-01
   5.9118350e+03   9.6392334e-01
   6.0506230e+03   9.6505073e-01
   6.2534670e+03   9.6617813e-01
   6.2854950e+03   9.6730552e-01
   6.5257050e+03   9.6843292e-01
   6.6057750e+03   9.6956032e-01
   7.1288990e+03   9.7068771e-01
   7.7054030e+03   9.7181511e-01
   8.0790630e+03   9.7294250e-01
   8.2125130e+03   9.7406990e-01
   8.2552170e+03   9.7519729e-01
   8.6609050e+03   9.7632469e-01
   8.9758470e+03   9.7745209e-01
   9.4135630e+03   9.7857948e-01
   9.6430970e+03   9.7970688e-01
   1.0331699e+04   9.8083427e-01
   1.0545219e+04   9.8196167e-01
   1.0774753e+04   9.8308906e-01
   1.1063005e+04   9.8421646e-01
   1.1372609e+04   9.8534386e-01
   1.2055873e+04   9.8647125e-01
   1.4420607e+04   9.8759865e-01
   1.4570071e+04   9.8872604e-01
   1.4660817e+04   9.8985344e-01
   1.4842309e+04   9.9098083e-01
   1.6705271e+04   9.9210823e-01
   1.8408093e+04   9.9323563e-01
   1.8845809e+04   9.9436302e-01
   1.9689213e+04   9.9549042e-01
   2.0094901e+04   9.9661781e-01
   2.2075299e+04   9.9774521e-01
   2.6447121e+04   9.9887260e-01
   2.6687331e+04   1.0000000e+00
