Protein	CopyNumber	IsConstrained?
ABP1	30791	Y
ACT1	117202	Y
AIM21	1978	Y
AIM3	220	Y
AIP1	9739	Y
AKL1	1307	Y
APL1	319	Y
APL3	426	Y
APM4	298	Y
APP1	70	Y
APS2	78	Y
ARC15	8217	Y
ARC18	15195	Y
ARC19	1583	Y
ARC35	8495	Y
ARC40	5066	Y
ARK1	346	Y
ARP2	11254	Y
ARP3	8098	Y
BBC1	6204	Y
BSP1	458	Y
BZZ1	2631	Y
CAP1	10000	Y
CAP2	5445	Y
CHC1	19278	Y
CLC1	14538	Y
COF1	201066	Y
CRN1	6509	Y
EDE1	5964	Y
END3	4196	Y
ENT1	1750	Y
ENT2	1325	Y
GTS1	2007	Y
INP52	393	Y
LAS17	165	Y
LSB3	2910	Y
LSB5	787	Y
MYO3	1841	Y
MYO5	2219	Y
PAL1	1230	Y
PAN1	3357	Y
PFY1	29465	Y
PRK1	177	Y
RVS161	13654	Y
RVS167	6020	Y
SAC6	30402	Y
SCD5	46	Y
SCP1	2456	Y
SLA1	2964	Y
SLA2	3904	Y
SYP1	2467	Y
TWF1	4975	Y
VRP1	473	Y
YAP1801	357	Y
YAP1802	264	Y
YSC84	1833	Y
