Pro1	Interface1	Pro2	Interface2
ABP1	Cofilin_ADF	ACT1	Subunit1_2_outsideFilament
ABP1	PRD_441to455	RVS167	SH3_domain
ABP1	SH3	AIM21	PRD_383to400
ABP1	SH3	APP1	PRD_502to518
ABP1	SH3	ARK1	PRD_607to621
ABP1	SH3	BSP1	PRD_334to348
ABP1	SH3	INP52	PRD_1113to1126
ABP1	SH3	PRK1	PRD_748to761
ABP1	SH3	SCP1	PRD_156to169
ABP1	Acidic_Domain	ARP2	side_front_to_acidic_domain
ABP1	Acidic_Domain	ARP3	side_front_to_acidic_domain
ABP1	PRD_504to518	LSB3	SH3_domain
ABP1	PRD_470to486	YSC84	SH3_domain
ABP1	PRD_513to528	SLA1	SH3_domains1-2
ABP1	PRD_513to528	SLA1	SH3_domain_3
ACT1	BarbedEnd_back	ACT1	PointedEnd_back
ACT1	BarbedEnd_back	CAP1	interface_to_actin
ACT1	BarbedEnd_back	CAP2	interface_to_actin
ACT1	BarbedEnd_back	PFY1	interface_to_actin
ACT1	PointedEnd_back	ARP2	back_barbed_end_to_actin
ACT1	PointedEnd_back	ARP3	back_barbed_end_to_actin
ACT1	Subunit1_2_outsideFilament	ARC18	Interface_to_actin_filament
ACT1	Subunit1_2_outsideFilament	ARC35	Interface_to_actin_filament
ACT1	Subunit1_2_outsideFilament	ARC40	interface_to_actin_filament
ACT1	Subunit1_2_outsideFilament	COF1	cofilin_domain
ACT1	Subunit1_2_outsideFilament	LAS17	WH2_domain
ACT1	Subunit1_2_outsideFilament	MYO3	head_domain
ACT1	Subunit1_2_outsideFilament	MYO5	head_domain
ACT1	Subunit1_2_outsideFilament	PAN1	coiled_coil_domain
ACT1	Subunit1_2_outsideFilament	SAC6	Four_CH_domains
ACT1	Subunit1_2_outsideFilament	SCP1	actin_bundling_CalponinLR
ACT1	Subunit1_2_outsideFilament	SLA2	Talin_like_domain
ACT1	Subunit1_2_outsideFilament	TWF1	two_cofilin_domain
ACT1	Subunit1_2_outsideFilament	VRP1	two_WH2_domain
ACT1	Subunit1_2_outsideFilament	YSC84	YAB_domain
ACT1	Subunit4_outsideFilament	AIP1	Interface_to_ACT1
AIM21	PRD_3to18	BBC1	SH3_domain
AIM21	PRD_3to18	YSC84	SH3_domain
AIM21	Speculated_to_CAP1_2	CAP1	speculated_interface_to_AIM21
AIM21	Speculated_to_CAP1_2	CAP2	speculated_interface_to_AIM21
AIM21	PRD_383to400	RVS167	SH3_domain
AIM3	PRD_83to97	LSB3	SH3_domain
AIM3	PRD_83to97	RVS167	SH3_domain
AIM3	PRD_83to97	YSC84	SH3_domain
AIM3	PRD_546to560	ABP1	SH3
AIM3	PhosphoSite	PRK1	kinase_domain
AIP1	Interface_to_COF1	COF1	interface_to_AIP1
AKL1	Homodimer_interface	AKL1	Homodimer_interface
AKL1	Kinase_Domain	EDE1	phospho_site
AKL1	Kinase_Domain	ENT2	Two_phospho_site
AKL1	Kinase_Domain	LSB3	phospho_site
AKL1	Kinase_Domain	SCD5	phospho_site
AKL1	Kinase_Domain	SLA1	phospho_site
APL1	Interface_beta_to_mu	APM4	Interface_mu_to_beta
APL1	Interface_beta_to_sigma	APS2	Interface_sigma_to_beta
APL1	Interface_beta_to_alpha	APL3	Interface_alpha_to_beta
APL3	Interface_alpha_to_sigma	APS2	Interface_sigma_to_alpha
APL3	Interface_alpha_to_mu	APM4	Interface_mu_to_alpha
APM4	Interface_mu_to_sigma	APS2	Interface_sigma_to_mu
