Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Real	517.616	495.117	172.759
Random1	1237.37	1199.26	516.666	907.292
Random2	708.162	680.023	254.064	746.106
Random3	1164.33	1121.85	448.611	804.26
Random4	1006.32	963.35	379.031	808.313
Random5	1035.97	981.364	387.845	774.286
Random6	1127.44	1079.41	513.225	933.992
Random7	778.722	756.205	263.948	696.818
Random8	1277.42	1225.71	518.04	953.329
Random9	808.936	790.262	229.844	827.874
Random10	1122.94	1077.19	458.041	840.766
Random11	1298.11	1269.7	411.363	929.236
Random12	1100.85	1083.82	322.7	818.708
Random13	1831.94	1782.58	768.469	1114.45
Random14	661.381	629.79	239.079	675.49
Random15	1054.66	1012.78	397.819	1003.5
Random16	1255.15	1231.49	427.493	926.128
Random17	868.174	832.535	332.12	746.997
Random18	677.877	634.581	271.668	592.365
Random19	578.419	539.289	255.994	668.079
Random20	1478.31	1418.18	554.027	1106.54
Random21	1230.73	1201.03	440.987	858.038
Random22	844.05	807.285	313.681	711.131
Random23	1192.79	1168	333.219	1122.06
Random24	933.316	901.173	337.271	895.237
Random25	928.23	887.633	424.73	711.507
Random26	578.159	534.949	259.811	688.189
Random27	707.884	671.796	274.726	691.663
Random28	941.243	857.691	473.533	781.423
Random29	1034.22	1008.72	364.816	898.263
Random30	1332.06	1256.6	596.175	972.381
Random31	764.138	721.924	303.262	763.122
Random32	825.589	757.672	427.525	754.407
Random33	897.126	878.626	255.544	656.906
Random34	738.395	698.301	291.878	709.903
Random35	1190.16	1151.68	413.013	847.157
Random36	1177.32	1133.8	432.184	838.557
Random37	723.159	670.445	367.873	741.314
Random38	874.835	844.886	345.527	731.037
Random39	1283.78	1252.31	413.907	887.101
Random40	966.473	934.022	343.321	745.242
Random41	991.643	944.474	405.582	721.726
Random42	740.769	696.696	351.182	708.161
Random43	1705.85	1628.41	721.903	1103.3
Random44	571.896	533.493	220.251	585.796
Random45	759.789	728.406	285.207	661.429
Random46	1267.49	1231.2	532.931	832.631
Random47	852.156	817.346	323.545	704.508
Random48	563.582	530.997	244.07	614.297
Random49	1252.89	1222.44	481.899	995.888
Random50	736.176	711.514	229.807	625.796
Random51	1086.04	1052.44	443.024	794.06
Random52	975.459	925.626	424.55	929.203
Random53	1161.65	1119.95	445.296	931.752
Random54	828.491	794.884	301.249	773.371
Random55	1204.36	1142.09	607.165	942.318
Random56	593.426	571.926	201.639	650.304
Random57	785.711	743.549	315.837	672.329
Random58	1312.48	1256.74	493.46	986.5
Random59	706.379	670.081	279.114	613.131
Random60	1124.95	1063.78	449.972	943.35
Random61	997.178	966.488	328.053	737.273
Random62	676.05	637.829	269.811	655.715
Random63	924.765	864.969	374.89	776.867
Random64	982.904	933.845	380.281	874.865
Random65	1726.95	1674.81	695.124	1112
Random66	786.503	751.215	274.828	678.833
Random67	1153.15	1112.79	444.733	915.031
Random68	809.944	747.665	391.419	730.298
Random69	672.618	644.085	273.317	627.56
Random70	1148.29	1106.39	431.898	846.352
Random71	963.673	938.799	382.747	840.934
Random72	595.567	566.675	220.483	607.855
Random73	1088.49	1051.48	378.987	805.986
Random74	983.039	938.423	350.375	761.777
Random75	1530.56	1483.77	583.908	897.756
Random76	647.536	616.511	265.387	564.886
Random77	827.255	787.228	321.815	690.33
Random78	782.983	733.434	326.382	754.462
Random79	817.767	773.162	348.065	804.837
Random80	545.694	511.191	211.427	619.378
Random81	916.976	879.048	342.075	763.079
Random82	936.83	901.893	362.559	800.962
Random83	809.901	748.308	357.167	731.866
Random84	631.211	604.526	221.121	709.073
Random85	871.267	845.285	319.444	837.72
Random86	928.672	894.081	349.663	662.742
Random87	638.896	610.069	228.824	601.246
Random88	638.137	601.122	252.374	705.002
Random89	1157.77	1086.09	467.547	937.83
Random90	1576.42	1536.54	540.246	975.889
Random91	1140.44	1111.23	398.119	773.933
Random92	946.547	919.736	325.678	730.192
Random93	717.588	686.257	257.339	694.225
Random94	1162.57	1130.37	399.183	924.39
Random95	845.057	826.103	272.886	721.128
Random96	708.896	659.128	331.992	701.719
Random97	1191.67	1151.34	445.978	865.551
Random98	2009.74	1964.92	781.78	1175.06
Random99	567.587	522.634	247.069	616.366
Random100	911.275	852.427	394.318	696.532
P-value for R to R': 0
