Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Real	0.226074	0.215113	0.0744059
Random1	0.402284	0.386762	0.168162	0.66438
Random2	0.34047	0.323852	0.123557	0.612608
Random3	0.44632	0.426066	0.183526	0.628186
Random4	0.406977	0.382661	0.165473	0.678105
Random5	0.408798	0.377983	0.172624	0.613676
Random6	0.398383	0.377272	0.180516	0.658975
Random7	0.395942	0.38257	0.135599	0.641783
Random8	0.441386	0.417537	0.189989	0.676291
Random9	0.415015	0.401644	0.122104	0.631679
Random10	0.444601	0.423652	0.180447	0.666651
Random11	0.441082	0.430166	0.140696	0.650814
Random12	0.474342	0.465322	0.137456	0.642493
Random13	0.497167	0.48162	0.192316	0.719068
Random14	0.36432	0.341665	0.13678	0.629245
Random15	0.373317	0.355926	0.145268	0.597733
Random16	0.4431	0.432451	0.142036	0.684281
Random17	0.376435	0.355686	0.157925	0.631951
Random18	0.397259	0.361238	0.186459	0.542342
Random19	0.318484	0.290935	0.151491	0.582422
Random20	0.421302	0.397701	0.170756	0.679524
Random21	0.412417	0.399271	0.143114	0.552459
Random22	0.427941	0.402641	0.175709	0.628823
Random23	0.402266	0.392709	0.111711	0.613295
Random24	0.333197	0.319031	0.122195	0.653806
Random25	0.394069	0.374537	0.183815	0.605528
Random26	0.320949	0.290688	0.153114	0.633367
Random27	0.383871	0.358261	0.165545	0.633714
Random28	0.347705	0.310549	0.184253	0.583844
Random29	0.436822	0.420791	0.159578	0.670237
Random30	0.428465	0.396645	0.216608	0.707664
Random31	0.369413	0.346046	0.150876	0.655435
Random32	0.363621	0.327643	0.191719	0.658831
Random33	0.387398	0.377041	0.111165	0.561234
Random34	0.349124	0.324913	0.146679	0.604215
Random35	0.464014	0.437948	0.186853	0.618276
Random36	0.400927	0.382002	0.15172	0.617555
Random37	0.300338	0.275933	0.150037	0.604917
Random38	0.376233	0.360746	0.14689	0.634708
Random39	0.401861	0.389072	0.131173	0.601876
Random40	0.44177	0.422706	0.162725	0.650093
Random41	0.377256	0.353651	0.170546	0.619241
Random42	0.357375	0.329504	0.195196	0.582517
Random43	0.484964	0.459593	0.198682	0.728263
Random44	0.32696	0.293482	0.145386	0.545588
Random45	0.388895	0.36811	0.151925	0.627519
Random46	0.441986	0.426286	0.183525	0.675752
Random47	0.413917	0.395379	0.153635	0.61511
Random48	0.31935	0.295427	0.152217	0.585952
Random49	0.381893	0.370443	0.143238	0.633868
Random50	0.327936	0.313159	0.10603	0.51806
Random51	0.450772	0.431031	0.185928	0.680034
Random52	0.377528	0.352412	0.164234	0.67087
Random53	0.469315	0.446864	0.194808	0.70068
Random54	0.424481	0.400704	0.173013	0.654117
Random55	0.37123	0.346341	0.200574	0.677274
Random56	0.343968	0.328135	0.121986	0.598898
Random57	0.399033	0.371331	0.175892	0.59645
Random58	0.434199	0.412675	0.170084	0.620053
Random59	0.410297	0.382981	0.179664	0.559571
Random60	0.371754	0.348737	0.15457	0.671221
Random61	0.373361	0.360655	0.122983	0.569438
Random62	0.393003	0.36364	0.175682	0.614813
Random63	0.36516	0.330885	0.170286	0.632333
Random64	0.3845	0.359497	0.162477	0.615203
Random65	0.448041	0.429935	0.190082	0.711676
Random66	0.380364	0.358623	0.138885	0.581933
Random67	0.43355	0.413998	0.178326	0.65489
Random68	0.303186	0.273075	0.16233	0.589085
Random69	0.378935	0.357489	0.169463	0.583036
Random70	0.431351	0.40885	0.177104	0.662531
Random71	0.489183	0.474928	0.177371	0.679643
Random72	0.333442	0.310609	0.140032	0.533766
Random73	0.373731	0.355105	0.144	0.596537
Random74	0.445219	0.417923	0.17412	0.63476
Random75	0.469886	0.449962	0.183193	0.592933
Random76	0.348823	0.324293	0.154143	0.512173
Random77	0.363123	0.338127	0.160293	0.568754
Random78	0.387943	0.355975	0.17771	0.637266
Random79	0.367998	0.339665	0.170099	0.640576
Random80	0.356901	0.31957	0.160948	0.584334
Random81	0.394831	0.376255	0.149121	0.638944
Random82	0.42201	0.402518	0.176149	0.668428
Random83	0.369976	0.33306	0.176694	0.643403
Random84	0.365517	0.346649	0.130851	0.622414
Random85	0.437885	0.421451	0.160045	0.667325
Random86	0.386994	0.363393	0.167305	0.574138
Random87	0.343533	0.322875	0.133217	0.54217
Random88	0.290469	0.268956	0.124181	0.594625
Random89	0.432263	0.391743	0.202282	0.650083
Random90	0.451501	0.436422	0.160009	0.601149
Random91	0.42321	0.41023	0.148983	0.585876
Random92	0.327001	0.316752	0.106969	0.511069
Random93	0.367279	0.347224	0.134511	0.616347
Random94	0.410888	0.396197	0.136557	0.682758
Random95	0.419286	0.407436	0.143611	0.643093
Random96	0.345921	0.314473	0.183552	0.620805
Random97	0.449479	0.427094	0.184912	0.645127
Random98	0.498178	0.484483	0.196848	0.695611
Random99	0.332746	0.298619	0.16297	0.583266
Random100	0.432094	0.394461	0.204839	0.637965
P-value for R to R': 0
