	ABP1	ACT1	AIM21	AIM3	AIP1	AKL1	APL1	APL3	APM4	APP1	APS2	ARC15	ARC18	ARC19	ARC35	ARC40	ARK1	ARP2	ARP3	BBC1	BSP1	BZZ1	CAP1	CAP2	CHC1	CLC1	CRN1	EDE1	END3	ENT1	ENT2	GTS1	INP52	LAS17	LSB3	LSB5	MYO3	MYO5	PAL1	PAN1	PFY1	PRK1	RVS161	RVS167	SAC6	SCD5	SCP1	SLA1	SLA2	SYP1	TWF1	VRP1	YAP1801	YAP1802	YSC84	
Real	14937.1	103009	4099.42	203.957	66511.7	4710	284.556	296.444	282.222	333.903	257.778	8032.3	11564.8	7592.78	8196.46	8232.77	4156.8	9463.52	9639.93	6204	252.763	2198.6	4144.62	2954.11	15074.4	10933.9	19156	2771.06	3921.63	1689.84	1581.5	761.45	291.677	346.61	9260.19	2150.95	1121.95	1286.14	3007.05	2128.61	20148.7	6773.5	12129.8	13658.3	30402	100	2863.81	4539.15	5352.48	785.203	4560.26	205.198	896.401	907.526	10118.8	nan	
Random1	1334.96	20010.9	5567.44	121.656	7857.91	127316	4831.56	4535.11	4258.33	1137.94	4030	6665.31	4367.27	10964.6	19890.4	9252.3	10439.9	6749.87	11316.8	9397.22	243.143	3589.24	2920.96	3139.99	13082.1	4955.11	5175.52	140869	10906.1	22261.9	18847.9	13516.9	257.524	3408.99	9523.51	3821	25938.8	1096.7	144303	5774.87	7089.95	7622.89	14678	17552	50	3002.6	50	4633.25	1480.58	34821	2227.13	1172.96	1224.54	21545.2	1574.68	nan	
Random2	1142.49	14200.3	672.216	83.3333	7997.18	7445.13	29053.9	32365.9	25588	18301.2	25903.2	6252.23	4786.26	6979.35	5033.39	4564.36	2536.81	8244.73	9233.17	2456	299.786	66219.6	1588.37	1652.14	8597.16	4286.27	5405.98	6231.65	1623	948.421	3889.42	481.914	333.048	5849.39	5250.56	3373.26	1875.96	8760.28	12594	2116.56	6662.64	4250.74	9387.49	8044.15	50	375.126	3448.96	948.899	671.728	2586.28	925.432	4101.78	659.359	453.737	2176.16	nan	
Random3	813	36391.2	31357.6	83.3333	30624.4	10717.3	10591.6	14601.9	10829.8	904.909	11209.8	3280.17	7177.51	3531.25	2568.68	3202.81	6288.02	6291.35	6496.88	5405.65	328.331	3898.36	54762.5	17142.7	24536.5	8171.44	2687.51	2327.18	4075.56	1001.78	83.3333	31140.2	572.531	1069.21	15975	1097.89	3324.36	1671.74	2894.84	16502.9	50	16186.3	6165.39	9916.99	50	3676.13	50	821.846	944.779	962.54	32733.5	351.289	38033.4	97.599	6004.5	nan	
Random4	422.415	36363.8	959.714	83.3333	15731.7	11190.8	745.222	911.111	834.778	250	760.889	10538.5	4151.2	8868.31	4645.72	17965.6	4168.51	14478.3	10792.1	2425	259.393	15090.9	2790.09	2028.47	2586.93	1573.51	7849.04	6392.79	6895.67	2617.94	2481.09	1138.95	279.19	8505.74	7809.04	16256.5	1801.32	77412.9	5531.71	8810.19	10182.8	8047.97	5339.93	6513.22	50	2100.31	50	8032.14	1638.44	14161.9	1169.06	1452.89	913.846	790.595	5420.6	nan	
Random5	750.7	19914.5	5449.8	83.3333	8012.47	7546.24	26626.6	20735.7	20849.1	1170.98	24530.7	17290.1	2823.21	11186.1	7271.25	14570.3	3431.02	8480.13	6701.75	13913	793.643	29301.1	8671.13	4239.97	18114.1	9710.59	6563.19	2315.14	5708.58	67.3825	12496.5	1738.5	991.524	3776.38	2194.17	5005.38	9658.2	5206.77	2345.96	2252.02	834.011	4467.56	12933.2	20228.4	50	100	664.645	6561.2	2468.75	1082.97	4348.11	29677.1	2190.4	628.389	2157.83	nan	
Random6	2450.42	25840.2	34107.9	83.3333	15741.4	70854.1	19221.7	19892.2	23134.2	250	20214.9	4479.17	1920.87	4118.85	2742.75	4908.06	14092.3	7183	4829.92	17631.5	311.286	2425.61	14033.6	10594.6	13264.7	12113.9	4908.89	3565.06	60756	66.6667	83.3333	75917.6	348.381	580.353	13507.2	1429.07	3640.22	2705.11	3960.47	22049.1	50	20242.7	14778.6	23435.3	50	141109	50	2068.05	13025.3	2776.49	6862.24	166.328	12569.3	18635.2	21815.1	nan	
Random7	965.271	13533.1	1941.45	332.064	50	15693.6	16816.2	11567	11983.9	2558.94	11550.9	9722.86	9564.49	14745.2	12312	9159.26	3726.26	7095.65	15547.4	8858	465.623	4113.69	2384.68	2625.66	10839.8	3467.43	13554.2	3910.57	10268	66.6667	20867.7	722.086	214.02	930.793	5857.46	1355.21	1839.78	2198.29	3117.69	5981.21	3913.63	5132.66	2363.73	2195.56	50	4311.46	50	1000.43	512.477	1333.75	1513.59	209.109	50	841.027	4241.87	nan	
Random8	1610.08	18254.2	2824.52	83.3333	4411.06	17559.3	6008	5402.33	6693.56	1465.22	5474.11	23360	4364.25	31709.5	16168.2	25600.8	9053.17	13482.1	12254.7	3152	4643.26	30650.1	6938.97	2595.23	20288.6	8228.68	12852.6	8653.15	11237.8	20641	83.3333	119415	2736.42	1510.19	30669.6	1183.43	1662.58	13768.5	7720.68	6522.58	3184.98	12085.2	17806.6	28899	50	15749	50	1259.27	1613.29	1678.97	2814.13	6008.85	18675.4	13660.9	21781.1	nan	
Random9	7264.13	8725.86	1341.34	83.3333	4876.38	7541.71	3159.44	2898	3628	39487.1	3177.56	4011.19	1586.75	4905.25	6570.71	5010.02	1641.85	3982.86	3702.58	3074.71	291.607	10224.9	1305.13	1470.57	5178.49	4352.13	2528.7	1086.04	1315.62	66.6667	4751.9	4663.9	322.143	503.365	9122.84	1572.11	1051.33	2128.49	816.17	803.352	4065.29	4086.96	126356	86557.4	50	500.223	1313.76	2190	1441.27	581.637	978.657	170.753	646.891	590.296	3127.87	nan	
Random10	4660.51	12000.5	5702.51	83.3333	4230.32	14638.5	9231.67	10336.3	9423.56	250	8497.44	5006.09	3997.44	4737.66	2656.09	6268.05	9640.88	8840.74	5462.5	5515	143.571	5034.64	8035.35	3308.85	61138.6	19431.1	5139.99	27404.4	8034.75	105850	83.3333	1985.67	124.762	593.612	2278.54	1177.7	7631.8	3483.19	20476	25612.9	50	45809.5	3983.04	5076.73	50	4245.17	50	1896.3	3144.39	4721.78	3458.33	545.621	242.366	596.274	2272.63	nan	
Random11	1183.99	75027.6	2850.48	83.3333	6635.9	5712.82	6792.78	6957.56	9201.89	323.563	6789.78	22653	20900.4	47227.1	105016	22773.9	2472.42	20297.4	52608.4	9267	351.341	8341.75	6795.09	6158.15	5829.94	5353.4	54795	1710.38	5772.04	311.55	217.439	5688.89	772.402	3783.29	5042.72	9474.84	4557.43	3166.6	2515.13	4449.61	29056.9	8809.35	2184.8	2902.33	50	1266.17	50	4341.05	2985.84	1533.83	3171.43	1277.29	6339.63	351.844	1509.8	nan	
Random12	2408.51	10811.8	1489.73	83.3333	2122.57	3665.96	48748.4	32642.7	32760.6	250	32636.3	37640.3	1618.09	16987.8	4747.2	26525.8	4216.3	13814.1	4233.84	46392	2083.55	4129.71	3258.97	2637.45	16681.3	23088	8533.05	768.836	2149	888.323	886.323	1234.93	1126.83	895.553	5650.9	1483.69	2104.45	7799.8	1078.74	2636.87	2907.57	5964.3	4001.05	4792.08	50	267.52	50	2017.62	9371.94	388.982	3808.66	1333.77	2460.16	351.124	1421.23	nan	
Random13	1703.56	162510	17078.4	83.3333	87037	8892.11	1964.11	2103.11	2244.56	11428.6	1950.22	34077.1	12768.2	28604.4	15060.1	86509.3	9741.39	38576.1	35705.9	106832	397.964	28312.6	8600.83	20956	15707.2	7094.93	17617.5	8332.44	16470.9	66.6667	83.3333	12459.8	463.952	16739	7632.42	2574.36	337602	18180.5	6474.6	16455.5	16042.5	22313.5	11621.7	14989.9	50	6050.94	50	5147.45	2075.23	13627.4	8037.11	19814.2	50	26016	6242.08	nan	
Random14	1840.65	10803.1	2800.97	947.476	3283.12	5759.85	14234.9	16368.7	13867.4	6630.54	17835	11876.2	1539.04	7782.54	4835.72	9221.42	2624.68	9213.87	3846.98	993.301	1734.51	5694.2	2331.59	2337.86	2560.79	1777.61	5447.35	342.514	2960.44	707.442	804.775	3201.59	752.399	981.192	13434.7	451.023	2166.35	1833.24	425.51	9041.03	3669.06	7750.57	2218.46	2922.09	50	2169.51	50	811.46	519.467	827.403	2286.94	331.964	2477.42	295.785	17722.8	nan	
Random15	3611.43	33149.1	8931.36	928.344	14970.2	16645.9	11917.2	15836.2	11433.3	13582.8	11554.2	14920.8	4383.55	12705.8	5770.07	8854.02	6708.67	24618.6	10087	8124	1406.48	33793.5	4006.16	4422.25	58149.5	74203.3	14326.3	2552.88	6660.42	4777.55	7027.15	7194.42	1384.01	3233.45	2016.13	4250.92	5204.4	5089.24	2922.77	17967.3	13737.1	17973.3	5610.48	6509.47	50	10368.5	50	6161.65	25557.2	2283.47	1837.79	1284.91	3451.19	3289.87	48351.5	nan	
Random16	786.066	54337.8	6470.48	83.3333	50	21959.3	24604.9	19678.7	19623.9	490.211	23093.6	15421.8	13648.7	15551.7	14118.7	23014.9	6372.59	25545.5	26242.8	4561.17	202.964	1262.47	7319.24	8665	9700.03	4296.14	101967	3193.2	16511.5	10237.7	83.3333	73596.7	203.952	384.716	17196.3	1153.57	1118.44	648.612	2613.29	3484.91	16104.6	13004.7	10108.4	16460.3	3167.82	32136.6	50	1176.55	942.109	1670.66	8498.02	197.435	9957.56	9499.73	20595.4	nan	
Random17	1772.77	21176.5	14298.9	17328.6	5900.31	9587.68	18700.7	18102.7	15624.6	250	17664.1	11201.5	1941.7	8167.29	2996.04	8962.5	3406.52	17709.5	5203.56	9791.77	304.893	4152.56	6402.1	5737.97	6810.08	3691.45	10640.4	3308.82	3404.55	66.6667	6213.17	880.172	339.857	1012.97	9700.03	916.187	684.284	34512.6	2765.73	971.159	8475.32	12337.7	7149.86	10369.8	50	7224.32	50	1030.19	873.095	5172.95	3890.44	207.126	289.338	367.51	4841.19	nan	
