Protein	Interface	R	R'	R''	var for R'
ABP1	Cofilin_ADF	30791	16918.8614783	14937.1274038	1926357.09606
ABP1	PRD_441to455	30791	14245.0309705	14937.1274038	1926357.09606
ABP1	SH3	30791	16816.9099844	14937.1274038	1926357.09606
ABP1	Acidic_Domain	30791	15635.695285	14937.1274038	1926357.09606
ABP1	PRD_504to518	30791	13686.7894423	14937.1274038	1926357.09606
ABP1	PRD_470to486	30791	13811.6891827	14937.1274038	1926357.09606
ABP1	PRD_513to528	30791	13444.9154835	14937.1274038	1926357.09606
ACT1	Subunit1_2_outsideFilament	117202	105847.454139	103008.817674	25909448.7374
ACT1	BarbedEnd_back	117202	107710.718904	103008.817674	25909448.7374
ACT1	PointedEnd_back	117202	103984.189374	103008.817674	25909448.7374
ACT1	Subunit4_outsideFilament	117202	94492.9082781	103008.817674	25909448.7374
AIM21	PRD_383to400	1978	3772.96526741	4099.41637261	1190383.98441
AIM21	PRD_3to18	1978	2956.63724162	4099.41637261	1190383.98441
AIM21	Speculated_to_CAP1_2	1978	5568.6466088	4099.41637261	1190383.98441
AIM3	PRD_83to97	220	150	203.956883535	23280.7339352
AIM3	PRD_546to560	220	411.870650604	203.956883535	23280.7339352
AIM3	PhosphoSite	220	50	203.956883535	23280.7339352
AIP1	Interface_to_ACT1	9739	66511.7293047	66511.7293047	0
AKL1	Homodimer_interface	1307	3575.66493578	4709.99740367	1286710.14771
AKL1	Kinase_Domain	1307	5844.32987156	4709.99740367	1286710.14771
APL1	Interface_beta_to_mu	319	289.666666667	284.555555556	573.728395062
APL1	Interface_beta_to_sigma	319	253	284.555555556	573.728395062
APL1	Interface_beta_to_alpha	319	311	284.555555556	573.728395062
APL3	Interface_alpha_to_beta	426	311	296.444444444	330.006172839
APL3	Interface_alpha_to_sigma	426	270.833333333	296.444444444	330.006172839
APL3	Interface_alpha_to_mu	426	307.5	296.444444444	330.006172839
APM4	Interface_mu_to_beta	298	289.666666667	282.222222222	588.37654321
APM4	Interface_mu_to_alpha	298	307.5	282.222222222	588.37654321
APM4	Interface_mu_to_sigma	298	249.5	282.222222222	588.37654321
APP1	PRD_502to518	70	517.805975907	333.902987953	33820.3089781
APP1	PRD_465to480	70	150	333.902987953	33820.3089781
APS2	Interface_sigma_to_beta	78	253	257.777777778	87.2654320988
APS2	Interface_sigma_to_alpha	78	270.833333333	257.777777778	87.2654320988
APS2	Interface_sigma_to_mu	78	249.5	257.777777778	87.2654320988
ARC15	Interface_to_arc19	8217	7186.07922722	8032.30024604	680650.629781
ARC15	Interface_to_arc40	8217	7759.77548094	8032.30024604	680650.629781
ARC15	Interface_to_arp2	8217	9151.04602997	8032.30024604	680650.629781
ARC18	Interface_to_actin_filament	15195	12774.8678918	11564.8018376	1464259.85534
ARC18	Interface_to_arp3	15195	10354.7357835	11564.8018376	1464259.85534
ARC19	Interface_to_arc15	1583	7186.07922722	7592.77830681	339699.466612
ARC19	Interface_to_arc35	1583	7263.12679729	7592.77830681	339699.466612
ARC19	Interface_to_arc40	1583	6931.11946435	7592.77830681	339699.466612
ARC19	Interface_to_arp2	1583	8360.39593968	7592.77830681	339699.466612
ARC19	Interface_to_arp3	1583	8223.17010552	7592.77830681	339699.466612
ARC35	Interface_to_actin_filament	8495	8271.09410971	8196.45881295	538013.044671
ARC35	Interface_to_arc19	8495	7263.12679729	8196.45881295	538013.044671
ARC35	Interface_to_arp3	8495	9055.15553184	8196.45881295	538013.044671
ARC40	interface_to_actin_filament	5066	10007.4081641	8232.76770313	1689119.51518
ARC40	interface_to_arc15	5066	7759.77548094	8232.76770313	1689119.51518
ARC40	interface_to_arc19	5066	6931.11946435	8232.76770313	1689119.51518
ARK1	PRD_607to621	346	3158.40623699	4156.80337958	996796.854328
ARK1	kinase_domain	346	5155.20052216	4156.80337958	996796.854328
ARP2	side_front_to_acidic_domain	11254	10970.4976461	9463.52166021	1041201.07148
ARP2	back_barbed_end_to_actin	11254	10851.8719307	9463.52166021	1041201.07148
ARP2	interface_to_arc15	11254	9151.04602997	9463.52166021	1041201.07148
ARP2	interface_to_arc19	11254	8360.39593968	9463.52166021	1041201.07148
ARP2	barbed_end_groove_to_Chelix	11254	9177.23572712	9463.52166021	1041201.07148
ARP2	interface_to_arp3	11254	9567.2588478	9463.52166021	1041201.07148
ARP2	speculated_to_PRK1	11254	8166.34550011	9463.52166021	1041201.07148
ARP3	side_front_to_acidic_domain	8098	10730.3524363	9639.92713475	784684.496638
ARP3	back_barbed_end_to_actin	8098	10611.726721	9639.92713475	784684.496638
ARP3	interface_to_arc18	8098	10354.7357835	9639.92713475	784684.496638
ARP3	interface_to_arc19	8098	8223.17010552	9639.92713475	784684.496638
ARP3	interface_to_arc35	8098	9055.15553184	9639.92713475	784684.496638
ARP3	interface_to_arp2	8098	9567.2588478	9639.92713475	784684.496638
ARP3	barbed_end_groove_to_Chelix	8098	8937.09051734	9639.92713475	784684.496638
BBC1	SH3_domain	6204	7020.56671711	6204	666781.203499
BBC1	PRD_700to730	6204	5387.43328289	6204	666781.203499
BSP1	PRD_334to348	458	456.933129715	252.763424191	22054.9524746
BSP1	PRD_183to197	458	200	252.763424191	22054.9524746
BSP1	interface_to_INP52_notPRD	458	304.120567048	252.763424191	22054.9524746
BSP1	PRD_231to245	458	50	252.763424191	22054.9524746
BZZ1	SH3_domain	2631	2198.59887006	2198.59887006	0
CAP1	interface_to_actin	10000	3452.43054843	4144.61914166	374248.709536
CAP1	speculated_interface_to_AIM21	10000	3716.02784985	4144.61914166	374248.709536
CAP1	dimer_interface_to_CAP2	10000	4383.99076787	4144.61914166	374248.709536
CAP1	speculated_interface_to_TWF1	10000	5026.02740047	4144.61914166	374248.709536
CAP2	interface_to_actin	5445	1589.02145752	2954.10777802	1549008.77855
CAP2	speculated_interface_to_AIM21	5445	1852.61875894	2954.10777802	1549008.77855
CAP2	dimer_interface_to_CAP1	5445	4383.99076787	2954.10777802	1549008.77855
CAP2	speculated_interface_to_TWF1	5445	3990.80012775	2954.10777802	1549008.77855
CHC1	self_binding_to_trimers	19278	16125.335328	15074.4471039	564100.63344
CHC1	N_terminal_domain	19278	14682.7056682	15074.4471039	564100.63344
CHC1	interface_to_light_chain	19278	14415.3003157	15074.4471039	564100.63344
CLC1	interface_to_heavy_chain	14538	14415.3003157	10933.8804491	12120284.2879
CLC1	interface_to_SLA2	14538	7452.46058241	10933.8804491	12120284.2879
CRN1	acidic_domain	6509	14573.567203	19156.0413905	27053818.0923
CRN1	C_helix	6509	17442.7862733	19156.0413905	27053818.0923
CRN1	coiled_coil_domain	6509	16626.6331124	19156.0413905	27053818.0923
CRN1	beta_propeller_domain	6509	27981.1789734	19156.0413905	27053818.0923
EDE1	phospho_site	5964	2168.88706874	2771.06344396	244547.29911
EDE1	EH_domain	5964	3191.80426447	2771.06344396	244547.29911
EDE1	speculated_to_PAL1	5964	3007.04531711	2771.06344396	244547.29911
EDE1	coiled_coil_domain	5964	3303.21953663	2771.06344396	244547.29911
EDE1	C_terminal_domain	5964	2184.36103284	2771.06344396	244547.29911
END3	C_terminal_region	4196	3490.07303073	3921.63421658	186245.057133
END3	N_terminal_domain	4196	4353.19540243	3921.63421658	186245.057133
ENT1	Clathrin_Box	1750	3147.50594381	1689.83504536	1615682.4002
ENT1	Two_NPF_motifs	1750	1871.99919227	1689.83504536	1615682.4002
ENT1	phospho_site	1750	50	1689.83504536	1615682.4002
ENT2	Two_phospho_site	1325	100	1581.50171202	1368576.57357
ENT2	Clathrin_Box	1325	2960.00594381	1581.50171202	1368576.57357
ENT2	Two_NPF_motifs	1325	1684.49919227	1581.50171202	1368576.57357
GTS1	PRD_245to266	2007	150	761.449840073	373870.906926
GTS1	speculated_interface_to_YAP1801	2007	1372.89968015	761.449840073	373870.906926
INP52	PRD_1113to1126	393	520.91083962	291.677135556	37036.922639
INP52	N_terminal_region	393	304.120567048	291.677135556	37036.922639
INP52	PRD_983to997	393	50	291.677135556	37036.922639
LAS17	WH2_domain	165	331.476154081	346.610349907	42512.2033365
LAS17	acidic_domain	165	150	346.610349907	42512.2033365
LAS17	C_helix	165	671.539971124	346.610349907	42512.2033365
LAS17	PRD_347to359	165	450	346.610349907	42512.2033365
LAS17	PRD_383to400	165	634.440592472	346.610349907	42512.2033365
LAS17	PRD_180to195	165	367.509581576	346.610349907	42512.2033365
LAS17	PRD_310to330	165	150	346.610349907	42512.2033365
LAS17	PRD_211to225	165	127.334474802	346.610349907	42512.2033365
LAS17	phospho_site	165	50	346.610349907	42512.2033365
