Run	ABP1	ACT1	AIM21	AIM3	AIP1	AKL1	APL1	APL3	APM4	APP1	APS2	ARC15	ARC18	ARC19	ARC35	ARC40	ARK1	ARP2	ARP3	BBC1	BSP1	BZZ1	CAP1	CAP2	CHC1	CLC1	CRN1	EDE1	END3	ENT1	ENT2	GTS1	INP52	LAS17	LSB3	LSB5	MYO3	MYO5	PAL1	PAN1	PFY1	PRK1	RVS161	RVS167	SAC6	SCD5	SCP1	SLA1	SLA2	SYP1	TWF1	VRP1	YAP1801	YAP1802	YSC84	
Real	1.92636e+06	2.59094e+07	1.19038e+06	23280.7	0	1.28671e+06	573.728	330.006	588.377	33820.3	87.2654	680651	1.46426e+06	339699	538013	1.68912e+06	996797	1.0412e+06	784684	666781	22055	0	374249	1.54901e+06	564101	1.21203e+07	2.70538e+07	244547	186245	1.61568e+06	1.36858e+06	373871	37036.9	42512.2	1.23731e+07	2.77725e+06	534854	464461	0	559111	0	1.34381e+06	0	5.93443e+06	0	-1.81899e-12	18478.4	1.81742e+06	1.29549e+06	632192	183991	12115.6	465640	289652	8.5818e+06	nan	
Random1	1.97293e+06	5.92044e+07	1.07299e+06	10269.2	0	4.23158e+08	95969.8	255803	246377	976024	123267	560227	1.86388e+07	2.764e+07	1.75579e+06	8.17589e+06	7.36228e+07	2.5077e+06	1.58105e+07	5.21358e+06	65219.6	0	103555	158908	3.84322e+07	6.61055e+06	8.83197e+06	5.17155e+08	3.43155e+07	4.49534e+08	4.49534e+08	1.94186e+07	86132.3	9.39722e+06	7.50367e+07	276940	6.79552e+07	1.93311e+06	0	3.92354e+06	0	2.86831e+07	0	4.5304e+06	0	8.4251e+06	0	9.40163e+06	1.70287e+06	1.06743e+09	2.376e+06	1.39241e+06	4.13865e+06	1.3206e+08	1.56276e+06	nan	
Random2	1.27859e+06	3.37535e+06	442931	2222.22	0	541268	2.19513e+07	5.50961e+06	1.56655e+07	5.77761e+07	1.72304e+07	2.14464e+06	1.90658e+07	2.02243e+06	1.03338e+07	571417	6.18424e+06	1.10242e+06	654653	99437.6	123493	0	455566	459834	1.34304e+06	7.31479e+06	2.61067e+06	1.03444e+07	157214	415876	533434	110167	160232	2.11825e+06	2.35235e+06	2.80423e+06	1.71805e+06	1.31e+07	0	44807.2	0	9.49712e+06	0	1.99304e+06	0	75694.5	35589.9	201895	324414	2.10994e+06	383703	8.63156e+06	180272	79046.4	3.35103e+06	nan	
Random3	3.00598e+06	1.57942e+08	3.29614e+08	2222.22	0	6.16089e+06	6.46991e+06	145837	6.99285e+06	569887	7.59209e+06	825871	5756.06	789690	3.8614e+06	677932	3.89129e+07	5.42469e+06	5.37441e+06	2.76218e+07	160155	0	1.16378e+07	3.99069e+08	1.31245e+08	3.09794e+07	2.71728e+06	923222	7.21814e+06	1.81175e+06	555.556	1.63669e+08	158006	497803	7.30844e+06	42677.7	1.10088e+07	4.9366e+06	0	3.78988e+07	0	2.25564e+08	0	1.95137e+07	0	1.27887e+07	-4.54747e-13	149353	860701	505696	2.8444e+08	228231	2.16866e+07	5302.76	1.02994e+07	nan	
Random4	718669	1.81563e+08	1.10327e+06	2222.22	0	4.16406e+06	8463.27	3431.3	12582.8	10000	10341.5	4.31576e+06	1.68198e+07	3.92125e+06	1.13316e+07	1.14041e+08	1.69622e+07	1.8186e+07	1.62123e+07	824583	79968.2	0	1.56582e+06	1.35197e+06	1.02736e+06	31898.3	2.08863e+07	1.02774e+07	2008.24	4.31096e+06	3.34812e+06	978029	105057	1.82476e+07	2.38922e+07	288154	5.79067e+06	1.60293e+08	0	1.22915e+07	0	1.81934e+07	0	1.09515e+06	0	4.00123e+06	0	9.54621e+06	3.63945e+06	8.3297e+06	699248	7.09735e+06	982887	614990	1.48285e+07	nan	
Random5	1.18027e+06	3.89632e+07	1.11244e+07	2222.22	0	5.38432e+06	6.99219e+06	1.28314e+07	1.33743e+07	1.04239e+06	1.70236e+07	5.49889e+06	7.69071e+06	1.09662e+07	2.73335e+07	1.7236e+07	1.14313e+07	6.78826e+06	1.89404e+06	5.93029e+06	1.44717e+06	0	1.31593e+06	4.56528e+06	5.06592e+06	2.7422e+07	684743	3.35829e+06	1.26562e+06	532.721	3.94667e+06	2.52334e+06	1.77293e+06	1.76116e+07	3.60533e+06	1.9027e+06	6.68707e+07	3.51056e+07	0	3.76253e+06	0	9.80789e+06	0	6.70231e+07	0	0	377789	1.4261e+06	4.65051e+06	1.04489e+06	1.17114e+07	5.06905e+07	2.19658e+06	488085	3.63404e+06	nan	
Random6	1.72337e+07	7.57162e+06	1.2612e+07	2222.22	0	5.53396e+08	4.7843e+06	6.20427e+06	385062	10000	6.56707e+06	1.22058e+06	3.50016e+06	565755	3.73222e+06	2.83476e+06	1.97187e+08	2.8961e+06	1.40579e+06	2.46558e+08	137675	0	2.19368e+07	1.55963e+07	1.02512e+07	3.28198e+06	5.12531e+06	3.1597e+06	1.29612e+09	555.556	555.556	4.83122e+07	178062	394820	1.48108e+08	479611	2.5068e+07	1.23525e+07	0	6.79777e+07	0	4.81613e+08	0	9.57001e+07	0	1.13508e+07	0	2.08456e+06	8.82797e+06	2.88461e+06	1.31215e+07	33863.2	1.65848e+08	1.02452e+08	1.0201e+08	nan	
Random7	374505	6.33352e+06	740458	159120	0	6.88638e+06	90386.2	1.28157e+07	1.38196e+07	48199.2	1.27699e+07	1.11422e+07	3.2533e+07	4.56125e+06	1.57109e+07	1.2931e+07	1.35149e+07	1.16549e+07	3.26644e+06	110598	91539	0	512359	487671	3.07986e+07	5.34618e+06	3.49482e+06	9.24025e+06	46389.7	555.556	7.99571e+06	13573.2	53805.4	487487	2.31527e+06	11095.8	1.63297e+06	1.71273e+06	0	3.54928e+06	0	6.79622e+06	0	65961.6	0	1.77364e+07	0	214913	179116	287823	1.07836e+06	57317.6	0	1.42695e+06	1.51256e+06	nan	
Random8	5.2474e+06	9.97175e+06	6.80958e+06	2222.22	0	3.00609e+07	789863	560517	164255	1.72979e+06	626018	8.18735e+07	1.86128e+07	1.90866e+07	1.58567e+08	5.89884e+07	8.10571e+07	3.15515e+07	3.38847e+07	542330	8.58622e+06	0	2.33203e+06	4.10976e+06	5.83194e+07	2.08487e+07	2.318e+06	2.52264e+07	391240	782503	555.556	2.88128e+08	1.44337e+07	1.62445e+06	1.93486e+08	5491.26	1.309e+06	1.22947e+07	0	8.94515e+06	0	9.67469e+07	0	1.61749e+08	0	1.18604e+07	0	1.67649e+06	1.89256e+06	3.59879e+06	6.45483e+06	1.62552e+07	4.93592e+08	2.58059e+08	2.07691e+08	nan	
Random9	1.36699e+06	4.28703e+06	869412	2222.22	0	369545	203488	105693	36708.1	4.76837e-07	205199	44100.6	2.36161e+06	1.81752e+06	419892	378792	2.53399e+06	238935	1.27862e+06	5.29037e+06	113890	0	4014.22	9447.72	181857	1.42524e+06	598880	454154	368156	555.556	345962	33752.2	148123	168565	1.46666e+06	433876	999439	2.42238e+06	0	385999	0	1.42055e+06	0	7.92618e+08	0	160179	1.5971e+06	487159	1.14042e+06	196222	434651	37174.6	1.06884e+06	577330	7.74467e+06	nan	
Random10	2.33676e+07	1.574e+06	6.25377e+06	2222.22	0	2.14631e+07	1.26809e+06	358396	1.28522e+06	10000	522568	1.12967e+06	3.33314e+06	893033	3.50369e+06	6.66861e+06	9.19849e+07	1.79515e+07	1.83931e+06	5.06148e+06	9445.41	0	1.10294e+06	5.13959e+06	1.01171e+09	1.57543e+08	6.20109e+06	2.74653e+08	2.43112e+07	1.08095e+07	555.556	2.29571e+06	11178.7	394639	4.08854e+06	307757	1.76299e+07	8.46757e+06	0	1.05006e+08	0	1.61649e+09	0	1.87049e+06	0	1.71824e+07	0	700130	5.42148e+06	2.14272e+07	8.62369e+06	273450	111014	1.08741e+06	3.53219e+06	nan	
Random11	1.48701e+06	6.42681e+08	5.86683e+06	2222.22	0	1.79365e+06	2.72087e+06	2.90553e+06	13827.5	30124	2.717e+06	3.20261e+07	4.3474e+08	7.26575e+08	8.11696e+07	4.3294e+07	5.8681e+06	5.40461e+07	3.63244e+08	659317	102383	0	1.08637e+07	1.03868e+07	582268	335707	4.33623e+06	391860	279833	136816	40994.2	2.70898e+06	332988	4.69272e+06	2.15487e+06	214726	1.18155e+07	4.4801e+06	0	1.22966e+06	0	2.3297e+07	0	672547	0	1.31852e+06	0	3.5718e+06	3.26611e+06	622635	4.92278e+06	959199	417715	128366	1.48063e+06	nan	
Random12	1.38933e+06	3.14752e+06	1.50099e+06	2222.22	0	683904	7342.27	1.28807e+08	1.29749e+08	10000	1.28756e+08	2.98964e+07	2.45892e+06	1.01792e+08	1.77368e+07	1.6896e+08	8.3244e+06	5.53196e+07	6.99334e+06	471001	533863	0	1.07366e+06	1.31284e+06	4.464e+07	9.06545e+06	1.89146e+06	133584	23827.1	748827	706586	832679	1.08238e+06	327323	653786	226438	2.54957e+06	4.17519e+06	0	475488	0	1.18078e+07	0	690158	0	28063.1	0	130009	2.96849e+07	84372.1	1.21738e+06	478280	581011	184023	1.09902e+06	nan	
Random13	7.96908e+06	4.20529e+09	6.53096e+07	2222.22	0	6.14231e+06	32503.4	41368.5	10722.2	1.27206e+08	29494.2	7.64724e+07	1.61753e+08	4.72396e+07	1.18158e+08	3.76508e+09	9.39229e+07	4.1448e+08	4.20271e+08	2.29984e+09	270098	0	3.32356e+07	2.59596e+07	4.02721e+07	1.03122e+07	1.34376e+08	8.40378e+06	9.0258e+07	555.556	555.556	1.51531e+08	342713	1.22428e+08	2.12716e+07	6.37242e+06	2.41835e+09	7.40876e+08	0	1.67074e+08	0	1.0936e+08	0	1.475e+07	0	3.54137e+07	0	3.59483e+06	3.34633e+06	8.31696e+06	5.11346e+07	3.80557e+08	0	2.33046e+06	2.82486e+07	nan	
