ProteinName	CopyNumbers	IsConstrained?
ABI1	67031	Y
AKT1	26277	Y
APPL1	99337	Y
ARAF	50606	Y
ARHGAP3	-1	N
ARHGEF7	100897	Y
BAD	22271	Y
BCAR1	29286	Y
BRAF	785	Y
CAMK2A	-1	N
CASP9	63095	Y
CAV1	28070	Y
CAV2	5593	Y
CBL	30423	Y
CBLB	1227	Y
CDC42	1010502	Y
CREB1	8461	Y
CRK	180641	Y
CSK	198129	Y
DNM1	113	Y
DUSP1	2459	Y
DUSP4	-1	N
DUSP6	-1	N
EGF	-1	N
EGFR	92675	Y
ELK1	2074	Y
EPN1	315	Y
EPS15	72354	Y
EPS8	1472	Y
ERBB2	835	Y
ERBB3	1823	Y
ERBB4	-1	N
ERRFI1	923	Y
FOS	1845	Y
FOXO1A	59816	Y
GAB1	1531	Y
GAB2	1707	Y
GJA1	69294	Y
GRB10	24164	Y
GRB2	628016	Y
GRB7	460	Y
HRAS	131924	Y
JAK2	387	Y
JUN	4110	Y
KRAS	146936	Y
KRT8	10993552	Y
KSR1	954	Y
LIMK1	4809	Y
MAP2K1	170516	Y
MAP2K2	325020	Y
MAP2K3	244496	Y
MAP2K4	72580	Y
MAP2K5	838	Y
MAP2K6	77223	Y
MAP2K7	89412	Y
MAP3K1	392	Y
MAP3K11	513	Y
MAP3K2	12568	Y
MAP3K4	96	Y
MAPK1	544669	Y
MAPK14	242167	Y
MAPK3	58855	Y
MAPK7	1060	Y
MAPK8	31107	Y
MYC	27128	Y
NCK1	49266	Y
NRAS	32806	Y
P53	4220	Y
PAK1	7259	Y
PDPK1	24665	Y
PIK3CA	5982	Y
PIK3CB	1787	Y
PIK3CD	158	Y
PIK3CG	-1	N
PIK3R1	448	Y
PIK3R2	16715	Y
PIK3R3	2060	Y
PLCG1	69601	Y
PLCG2	5957	Y
PLD1	3278	Y
PLD2	6520	Y
PRKCA	27673	Y
PRKCB1	-1	N
PRKCE	768	Y
PRKCG	121760	Y
PRKCI	72034	Y
PRKCZ	3801	Y
PTK2B	5423	Y
PTPN11	299893	Y
PTPN5	-1	N
PTPN6	4198	Y
PTPRR	10058	Y
PXN	94096	Y
RAB5A	68671	Y
RAC1	1675011	Y
RAF1	35757	Y
RALA	589879	Y
RALB	27800	Y
RALBP1	11288	Y
RALGDS	-1	N
RASA1	26455	Y
RGS16	-1	N
RHOA	358430	Y
RIN1	65438	Y
RPS6KA1	400730	Y
RPS6KA3	112170	Y
SH3GL2	4333	Y
SH3KBP1	89628	Y
SHC1	111966	Y
SMAD2	139990	Y
SMAD3	3425	Y
SOS1	7565	Y
SOS2	144	Y
SP1	248	Y
SPRY2	-1	N
SRC	1220	Y
STAT1	201741	Y
STAT3	241307	Y
STAT5A	135833	Y
STAT5B	31869	Y
TNK2	646	Y
USP6NL	1818	Y
VAV1	59	Y
VAV2	106531	Y
VAV3	167890	Y
WASL	93628	Y
YWHAB	3298759	Y
