CopyNumbers	CumulativeDistributionFunction
50 0.014363956
150 0.033688126
250 0.056422445
350 0.073989873
450 0.091453963
550 0.105714581
650 0.119871861
750 0.131135683
850 0.143432882
950 0.15200992
1050 0.159243567
1150 0.166890565
1250 0.17422755
1350 0.181357859
1450 0.187971479
1550 0.193861734
1650 0.200062003
1750 0.206262271
1850 0.211635838
1950 0.218662809
2050 0.222796321
2150 0.22661982
2250 0.231166684
2350 0.235093521
2450 0.240467087
2550 0.245427302
2650 0.248630774
2750 0.252454273
2850 0.25731115
2950 0.261134649
3050 0.264338121
3150 0.267334918
3250 0.270641728
3350 0.274051876
3450 0.278495401
3550 0.281905549
3650 0.28469567
3750 0.28800248
3850 0.291412628
3950 0.294409424
4050 0.296372843
4150 0.298956288
4250 0.301539733
4350 0.305259895
4450 0.307636664
4550 0.310633461
4650 0.312493541
4750 0.315076987
4850 0.317350419
4950 0.319417175
5050 0.321690607
5150 0.324687403
5250 0.326754159
5350 0.329027591
5450 0.331197685
5550 0.333574455
5650 0.335744549
5750 0.338224656
5850 0.33946471
5950 0.341634804
6050 0.342564844
6150 0.344218249
6250 0.345974992
6350 0.347525059
6450 0.349178464
6550 0.351451896
6650 0.352485274
6750 0.354448693
6850 0.356308773
6950 0.357445489
7050 0.358582205
7150 0.359718921
7250 0.361268988
7350 0.362405704
7450 0.363955771
7550 0.365609176
7650 0.367572595
7750 0.370466054
7850 0.371912783
7950 0.374289553
8050 0.375736282
8150 0.377389687
8250 0.379043092
8350 0.380593159
8450 0.381936551
8550 0.383796631
8650 0.385243361
8750 0.386380076
8850 0.388653508
8950 0.3899969
9050 0.391340291
9150 0.392063656
9250 0.393923737
9350 0.395267128
9450 0.396507182
9550 0.397850574
9650 0.399193965
9750 0.400227343
9850 0.401054046
9950 0.402087424
10050 0.40322414
10150 0.404774207
10250 0.406220936
10350 0.407357652
10450 0.407977679
10550 0.409011057
10650 0.410251111
10750 0.411491165
10850 0.412214529
10950 0.41314457
11050 0.414901312
11150 0.416141366
11250 0.41738142
11350 0.4192415
11450 0.420894905
11550 0.421928284
11750 0.423375013
11850 0.425028418
11950 0.426991836
12050 0.427818539
12150 0.429575282
12250 0.43060866
12350 0.4315387
12450 0.432365403
12550 0.433192105
12650 0.434225483
12750 0.435258861
12850 0.435982226
12950 0.43722228
13050 0.437945644
13150 0.438979022
13250 0.439909063
13350 0.44052909
13450 0.44145913
13550 0.442079157
13650 0.44331921
13750 0.444352589
13850 0.444662602
13950 0.445282629
14050 0.445902656
14150 0.447039372
14250 0.447969412
14350 0.449416141
14450 0.450346182
14550 0.450862871
14650 0.451689573
14750 0.452516276
14850 0.45323964
14950 0.453963005
15050 0.454789708
15150 0.45561641
15250 0.456339775
15350 0.457166477
15450 0.457476491
15550 0.458509869
15650 0.459646585
15750 0.460576625
15850 0.461610003
15950 0.462023354
16050 0.463573422
16150 0.464503462
16250 0.464916813
16350 0.465950191
16450 0.466570218
16550 0.467500258
16650 0.468533636
16750 0.469463677
16850 0.470083704
16950 0.471323757
17050 0.471530433
17150 0.472253798
17250 0.472770487
17350 0.473390514
17450 0.474217216
17550 0.475147256
17650 0.476180634
17750 0.476903999
17850 0.477524026
17950 0.478350729
18050 0.479384107
18150 0.480107471
18250 0.48062416
18350 0.481760876
18450 0.482897592
18550 0.48393097
18650 0.484344322
18750 0.485274362
18850 0.485997727
18950 0.486617753
19050 0.487031105
19150 0.488167821
19250 0.488787847
19350 0.489201199
19450 0.48961455
19550 0.489717888
19650 0.490337915
19750 0.491267955
19850 0.491784644
19950 0.493024698
20050 0.493334711
20150 0.494471427
20250 0.494884778
20350 0.495918156
20450 0.496848197
20550 0.497364886
20650 0.497778237
20750 0.498398264
20850 0.498811615
20950 0.499431642
21050 0.50046502
21150 0.501085047
21250 0.502325101
21350 0.503151803
21450 0.504081844
21550 0.504908546
21650 0.505631911
21750 0.506045262
21850 0.506768627
21950 0.507491991
22050 0.508112018
22150 0.508938721
22250 0.50945541
22350 0.509972099
22450 0.510695463
22550 0.511108815
22650 0.511522166
22750 0.512348868
22850 0.51276222
22950 0.513898936
23050 0.514312287
23150 0.514725638
23250 0.515242327
23350 0.516172367
23450 0.516792394
23550 0.517515759
23650 0.517722435
23750 0.518445799
23850 0.518755813
23950 0.519272502
24050 0.519582515
24150 0.519892529
24250 0.521029245
24350 0.521442596
24450 0.522062623
24550 0.522372636
24650 0.523406014
24750 0.523922703
24850 0.524439392
24950 0.524852744
25050 0.525059419
25150 0.525369433
25250 0.526092797
25350 0.526299473
25450 0.5269195
25550 0.527332851
25650 0.527642865
25750 0.528056216
25850 0.528366229
25950 0.52877958
26050 0.529192932
26150 0.529916296
26250 0.530846337
26350 0.531673039
26450 0.531879715
26550 0.532396404
26650 0.532706417
26750 0.533119769
26850 0.533739795
26950 0.534153147
27050 0.534669836
27150 0.534979849
27250 0.535496538
27350 0.536219903
27450 0.537046605
27550 0.537459957
27650 0.538183321
27750 0.538803348
27850 0.539010024
27950 0.539836726
28050 0.540250078
28150 0.540973442
28250 0.541490131
28350 0.541593469
28450 0.541903482
28550 0.542110158
28650 0.542730185
28750 0.542936861
28850 0.54345355
28950 0.544073577
29050 0.54438359
29150 0.544590266
29250 0.54531363
29350 0.545623644
29450 0.546553684
29550 0.546967035
29650 0.547277049
29850 0.547587062
29950 0.548000413
30050 0.548723778
30150 0.549447143
30250 0.549653818
30350 0.550377183
30450 0.550893872
30550 0.551513899
30650 0.552133926
30750 0.552443939
30850 0.552753953
30950 0.55337398
31050 0.553994006
31150 0.554407358
31250 0.554717371
31350 0.555027385
31450 0.555337398
31550 0.5561641
31650 0.556370776
31750 0.556990803
31850 0.557300816
31950 0.557920843
32050 0.558230857
32150 0.55854087
32250 0.559057559
32350 0.559574248
32450 0.559780924
32550 0.560297613
32650 0.560607626
32750 0.560814302
32850 0.561434329
32950 0.561641004
33050 0.562054356
33150 0.562571045
33250 0.562984396
33350 0.563191072
33450 0.563501085
33550 0.563811098
33650 0.56422445
33750 0.564431125
33850 0.564844477
33950 0.56515449
34050 0.565361166
34150 0.565981193
34250 0.566187868
34350 0.566394544
34450 0.566807895
34550 0.567427922
34650 0.567737935
34750 0.568151287
34850 0.568874651
35050 0.56939134
35150 0.569701354
35250 0.570321381
35350 0.57083807
35450 0.571044745
35550 0.571354759
35650 0.571561434
35750 0.572078123
35850 0.572491475
35950 0.573008164
36050 0.573318177
36150 0.573524853
36250 0.573628191
36350 0.573938204
36450 0.574558231
36550 0.574868244
36650 0.575488271
36750 0.575591609
36850 0.575694947
36950 0.576521649
37050 0.577038338
37150 0.577245014
37250 0.57745169
37350 0.577555027
37450 0.577761703
37550 0.57838173
37650 0.578795081
37750 0.579001757
37950 0.579518446
38050 0.58024181
38150 0.5807585
38250 0.581171851
38350 0.581378526
38450 0.581481864
38550 0.581791878
38650 0.581998553
38750 0.582205229
38850 0.582515242
38950 0.582721918
39050 0.582825256
39150 0.583445283
39250 0.583755296
39350 0.584168647
39450 0.584581999
39550 0.584788674
39650 0.58499535
39750 0.585408701
39850 0.586028728
39950 0.586235404
40050 0.586442079
40150 0.58685543
40250 0.587165444
40350 0.587578795
40450 0.587785471
40550 0.588198822
40650 0.588612173
40750 0.588818849
40850 0.589025524
40950 0.5892322
41050 0.589542213
41150 0.589748889
41250 0.59016224
41350 0.590472254
41450 0.590678929
41550 0.590885605
41650 0.591195618
41750 0.591402294
41850 0.591712308
42150 0.592125659
42250 0.592745686
42350 0.593159037
42450 0.593262375
42550 0.593675726
42650 0.593985739
42750 0.594399091
42850 0.595019117
42950 0.595535807
43050 0.596155833
43250 0.596362509
43350 0.596569185
43450 0.596879198
43550 0.597085874
43650 0.597292549
43750 0.597705901
43850 0.59822259
43950 0.598325927
44050 0.598635941
44150 0.599049292
44250 0.599255968
44450 0.599772657
44550 0.599979332
44650 0.600289346
44750 0.600702697
44850 0.600909373
44950 0.6015294
45050 0.601839413
45150 0.601942751
45250 0.602149426
45350 0.60245944
45550 0.602666116
45650 0.602872791
45750 0.603079467
45850 0.603286142
45950 0.60338948
46050 0.603492818
46150 0.603596156
46250 0.603906169
46350 0.604422858
46450 0.604629534
46550 0.605352899
46650 0.60576625
46850 0.606179601
46950 0.606592952
47050 0.607006304
47150 0.607316317
47250 0.607936344
47450 0.60814302
47550 0.608453033
47650 0.608866384
47750 0.609383073
47850 0.609899762
47950 0.610416451
48050 0.610726465
48150 0.611139816
48250 0.611243154
48350 0.611759843
48450 0.612276532
48550 0.612483208
48650 0.612689883
48750 0.612896559
48850 0.613103234
48950 0.61330991
49050 0.613826599
49150 0.614446626
49250 0.614963315
49350 0.615066653
49450 0.615273329
49750 0.615480004
49850 0.615583342
49950 0.615996693
50050 0.616100031
50150 0.616513382
50250 0.617030071
50350 0.617443423
50450 0.617753436
50550 0.617856774
50650 0.618270125
50750 0.618476801
50850 0.618786814
50950 0.619303503
51050 0.619406841
51150 0.619613517
51250 0.619820192
51350 0.620336881
51450 0.620646895
51550 0.620750233
51650 0.620956908
51850 0.621266922
51950 0.621680273
52050 0.621886948
52150 0.622093624
52250 0.6223003
52550 0.622403637
