Protein	A	A'	A''	var for A'
0	30791	5847.16	10501.3	4.4917e+06
0	30791	11275	10501.3	4.4917e+06
0	30791	12982	10501.3	4.4917e+06
0	30791	12141.8	10501.3	4.4917e+06
0	30791	10702.8	10501.3	4.4917e+06
0	30791	9964.74	10501.3	4.4917e+06
1	117202	120487	118873	6.07218e+07
1	117202	116590	118873	6.07218e+07
1	117202	130043	118873	6.07218e+07
1	117202	108371	118873	6.07218e+07
2	1978	2661.09	3691.59	993095
2	1978	5039.42	3691.59	993095
2	1978	3374.26	3691.59	993095
3	220	60	109.363	9889.1
3	220	248.089	109.363	9889.1
3	220	20	109.363	9889.1
4	9739	104289	93361.1	1.19411e+08
4	9739	82433.6	93361.1	1.19411e+08
5	1307	3128.14	4038.71	829139
5	1307	4949.28	4038.71	829139
6	319	289.667	284.556	573.728
6	319	253	284.556	573.728
6	319	311	284.556	573.728
7	426	270.833	296.444	330.006
7	426	307.5	296.444	330.006
7	426	311	296.444	330.006
8	298	307.5	282.222	588.377
8	298	289.667	282.222	588.377
8	298	249.5	282.222	588.377
9	70	60	229.042	28575.1
9	70	398.083	229.042	28575.1
10	78	270.833	257.778	87.2654
10	78	253	257.778	87.2654
10	78	249.5	257.778	87.2654
11	8217	6545.44	7465.12	773373
11	8217	7199.9	7465.12	773373
11	8217	8650.01	7465.12	773373
12	15195	8102.29	4061.14	1.63308e+07
12	15195	20	4061.14	1.63308e+07
13	1583	5625	6651.8	541558
13	1583	6182.89	6651.8	541558
13	1583	6545.44	6651.8	541558
13	1583	7716.41	6651.8	541558
13	1583	7189.28	6651.8	541558
14	8495	5625	4304.33	9.62764e+06
14	8495	7267.99	4304.33	9.62764e+06
14	8495	20	4304.33	9.62764e+06
48	2964	3092.77	3665.48	944347
15	5066	6182.89	7306.96	930224
15	5066	7199.9	7306.96	930224
15	5066	8538.09	7306.96	930224
16	346	4136.37	3299.85	699776
16	346	2463.32	3299.85	699776
17	11254	8820.12	8847.68	931214
17	11254	8650.01	8847.68	931214
17	11254	8687.23	8847.68	931214
17	11254	7716.41	8847.68	931214
17	11254	10366.3	8847.68	931214
17	11254	7649.56	8847.68	931214
17	11254	10044.2	8847.68	931214
18	8098	8687.23	8244.27	658760
18	8098	7189.28	8244.27	658760
18	8098	8102.29	8244.27	658760
18	8098	7267.99	8244.27	658760
18	8098	9443.78	8244.27	658760
18	8098	9121.67	8244.27	658760
18	8098	7897.64	8244.27	658760
19	6204	7006.81	6204	644497
19	6204	5401.19	6204	644497
20	458	80	161.05	13473.8
20	458	234.907	161.05	13473.8
20	458	309.293	161.05	13473.8
20	458	20	161.05	13473.8
49	3904	6078.37	3229.14	4.03189e+06
21	2631	1964.83	1964.83	0
22	10000	2923.92	3590.5	198441
22	10000	3940.69	3590.5	198441
22	10000	4045.97	3590.5	198441
22	10000	3451.42	3590.5	198441
23	5445	3940.69	2399.99	1.30008e+06
23	5445	1060.51	2399.99	1.30008e+06
23	5445	3010.74	2399.99	1.30008e+06
23	5445	1588.01	2399.99	1.30008e+06
24	19278	15904.8	14780.4	653489
24	19278	14397.1	14780.4	653489
24	19278	14039.2	14780.4	653489
25	14538	14039.2	10058.8	1.58439e+07
25	14538	6078.37	10058.8	1.58439e+07
26	201066	123916	114102	9.63081e+07
26	201066	104289	114102	9.63081e+07
27	6509	15769.2	18084.2	2.10696e+07
27	6509	25937.1	18084.2	2.10696e+07
27	6509	14336.1	18084.2	2.10696e+07
27	6509	16294.5	18084.2	2.10696e+07
28	5964	2261.45	2973.47	231471
28	5964	3421.07	2973.47	231471
28	5964	3151.62	2973.47	231471
28	5964	3471.89	2973.47	231471
28	5964	2561.32	2973.47	231471
29	4196	3644.97	3386.59	66757.5
29	4196	3128.22	3386.59	66757.5
30	1750	3475.78	2040.77	1.37623e+06
30	1750	2044.31	2040.77	1.37623e+06
30	1750	602.224	2040.77	1.37623e+06
31	1325	177.224	1615.77	1.37623e+06
31	1325	3050.78	1615.77	1.37623e+06
31	1325	1619.31	1615.77	1.37623e+06
32	2007	60	689.749	396584
32	2007	1319.5	689.749	396584
33	393	234.907	206.322	20137.9
33	393	364.058	206.322	20137.9
33	393	20	206.322	20137.9
34	165	423.234	207.913	30713.6
34	165	60	207.913	30713.6
34	165	259.851	207.913	30713.6
34	165	193.385	207.913	30713.6
34	165	20	207.913	30713.6
34	165	486.558	207.913	30713.6
34	165	464.162	207.913	30713.6
34	165	259.851	207.913	30713.6
34	165	60	207.913	30713.6
34	165	40	207.913	30713.6
48	2964	3601.71	3665.48	944347
34	165	20	207.913	30713.6
35	2910	6213.48	7314.64	6.67687e+06
35	2910	10882.8	7314.64	6.67687e+06
35	2910	4847.63	7314.64	6.67687e+06
55	1833	3999.25	4721.33	1.73458e+07
