Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Real	4930.76	4643.44	2184
Random1	10441.1	10215.7	3327.11	7865.48
Random2	17035.5	16924.5	5735.24	7584.29
Random3	5840.99	5721.64	1693.13	5807.29
Random4	8081.98	7885.85	2432.47	6218.91
Random5	7127.15	6895.89	2504.35	7615.62
Random6	10129.9	9985.11	3008.15	7491.04
Random7	7208.91	7027.2	2265.2	6058.49
Random8	6186.06	5972.06	2398.06	6032.82
Random9	7943.7	7760.44	2653.17	7571.38
Random10	9513.65	9152.94	3524.09	6439.62
Random11	6783.94	6596.25	2420.23	6720.58
Random12	6928.4	6656.9	2480.9	6484.04
Random13	6939.91	6670.22	2474.97	7393.24
Random14	5124.17	4981.58	1694.51	5759.96
Random15	7750.4	7557.86	2599.99	7389.32
Random16	9008.88	8667.77	3759.03	7482.81
Random17	7100.59	6887.69	2304.81	6951.8
Random18	9256.77	8991.28	3598.25	6793.17
Random19	6347.14	6132.7	2794.02	6433.31
Random20	4640.31	4432.46	1829.94	6049.8
Random21	7212.12	6979.61	2325.03	6151.06
Random22	6620.19	6438.54	2319.33	6842.24
Random23	7758.71	7546.25	2811.66	6922.28
Random24	8249.85	8022.72	2859.21	7009.67
Random25	7544	7293.79	2647.44	6283.06
Random26	11000.8	10720.5	3504.72	6972.4
Random27	6972.1	6797.69	2040.57	6574.36
Random28	10290.2	10062.4	3925.06	7571.79
Random29	8910.74	8703.13	2913.06	7368.83
Random30	8453.42	8313.84	2312.76	6369.52
Random31	7216.55	6979.43	2485.15	7069.6
Random32	7891.54	7643.45	2617.86	7599.2
Random33	6158	5991.37	2055.85	6463.02
Random34	7925.3	7682.49	2903.64	6769.38
Random35	8678.55	8412.57	3097	8015.13
Random36	5537.61	5377.09	1729.44	5293.8
Random37	8328.9	8136.23	2840.2	6480.84
Random38	8758.95	8503.77	3237.66	7769.94
Random39	6927.99	6812.24	1938.79	6562.29
Random40	10417.3	10282.3	3227.56	6695.57
Random41	5740.53	5582.41	2016.72	6593.56
Random42	7452.22	7212.88	2965.15	6590.37
Random43	6497.61	6181.71	2517.08	6450.32
Random44	5646.05	5442.07	2149.4	6647.16
Random45	7340.84	7173.33	2537.19	6988.9
Random46	9268.76	9143.41	2686.88	6734.67
Random47	7114.08	6830.16	2618.36	6755.35
Random48	4882.11	4450.87	2451.66	5912.45
Random49	7939.53	7741.78	2495.7	7195.19
Random50	16488.2	16115.4	6056.48	9768.32
Random51	6418.6	6148.46	2562.65	7909.49
Random52	8073.68	7810.38	2881.96	6464.29
Random53	5071.99	4915.45	1758.01	5604.58
Random54	10206.7	9988.89	3596.61	7101.26
Random55	8827.15	8617.65	2672.6	7302.97
Random56	5714.23	5507.23	2111.02	6287.59
Random57	7874.04	7654.79	3150.97	7161.83
Random58	7155.09	6932.66	2379.24	7589.61
Random59	6026.11	5822.99	2168.74	5861.96
Random60	6567.7	6410.39	2456.11	6160.48
Random61	7009.88	6763.03	2804.06	7161.25
Random62	7385.85	7122.11	2661	6813.89
Random63	10618.7	10398.8	3266.23	8113.11
Random64	4809.55	4692.78	1424.24	6676.87
Random65	6511.9	6367.52	1976.43	7046.86
Random66	11113.8	10894.4	3585.52	8330.88
Random67	7843.46	7677.69	2835.97	8198.09
Random68	5256.03	5149	1658.22	5657.94
Random69	6094.16	5802.87	2453.18	6388.91
Random70	7583.66	7422.5	2119.89	6604.5
Random71	6616.06	6432.88	2202.2	6864.44
Random72	6192.99	5995.86	2259.95	6195.52
Random73	7699.71	7407.32	2750.87	6977.13
Random74	8648.6	8397.89	2860.36	7085.31
Random75	7456.87	7334.94	2578.32	7307.48
Random76	8522.32	8284	3379.63	7235.98
Random77	9323.88	9069.6	3476.63	7439.66
