Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Real	0.437104	0.401308	0.217303
Random1	0.456011	0.438161	0.190887	0.740429
Random2	0.531169	0.525023	0.215263	0.744609
Random3	0.506617	0.486961	0.194262	0.72577
Random4	0.48944	0.462466	0.201951	0.703071
Random5	0.398452	0.375979	0.152347	0.753972
Random6	0.504016	0.484843	0.187682	0.748993
Random7	0.506889	0.48595	0.18939	0.722299
Random8	0.427559	0.408287	0.184568	0.725009
Random9	0.38551	0.368403	0.140418	0.673673
Random10	0.405935	0.380432	0.195451	0.606536
Random11	0.458121	0.437716	0.182353	0.740988
Random12	0.373806	0.352216	0.15851	0.705254
Random13	0.370453	0.343317	0.158994	0.690737
Random14	0.468372	0.44564	0.188628	0.746066
Random15	0.452583	0.434284	0.162537	0.745267
Random16	0.448381	0.427083	0.203988	0.729074
Random17	0.433123	0.413269	0.166499	0.720933
Random18	0.496083	0.468849	0.218772	0.698109
Random19	0.388972	0.370689	0.197605	0.658992
Random20	0.428493	0.395902	0.202349	0.742075
Random21	0.459938	0.422798	0.210423	0.733664
Random22	0.413189	0.397602	0.161713	0.748623
Random23	0.478616	0.457392	0.207924	0.75739
Random24	0.492125	0.461092	0.222618	0.728953
Random25	0.405403	0.379088	0.184829	0.740568
Random26	0.484612	0.455985	0.208941	0.747805
Random27	0.453656	0.429689	0.162078	0.757919
Random28	0.426016	0.412717	0.182121	0.760893
Random29	0.492285	0.469038	0.196255	0.75059
Random30	0.530383	0.506717	0.21227	0.745136
Random31	0.376049	0.355314	0.156048	0.77237
Random32	0.438685	0.413933	0.175043	0.744413
Random33	0.406349	0.387913	0.152742	0.743532
Random34	0.447379	0.426573	0.183127	0.725899
Random35	0.487445	0.461533	0.196359	0.768149
Random36	0.449571	0.426121	0.17173	0.617865
Random37	0.472603	0.453548	0.205491	0.709656
Random38	0.458609	0.43645	0.196307	0.748943
Random39	0.441375	0.426566	0.160319	0.727125
Random40	0.467136	0.455926	0.194461	0.751423
Random41	0.451068	0.43228	0.173546	0.745373
Random42	0.436038	0.409369	0.220638	0.75137
Random43	0.440254	0.407337	0.197286	0.736419
Random44	0.453903	0.423915	0.207089	0.740403
Random45	0.460445	0.439925	0.194203	0.762565
Random46	0.543237	0.5246	0.234091	0.736617
Random47	0.458591	0.426165	0.207506	0.73861
Random48	0.365145	0.319382	0.219289	0.719589
Random49	0.458251	0.442618	0.138372	0.768269
Random50	0.500056	0.481306	0.203637	0.757479
Random51	0.392625	0.372914	0.169347	0.760742
Random52	0.482451	0.452333	0.225795	0.739683
Random53	0.441874	0.417923	0.177494	0.647862
Random54	0.470083	0.453719	0.190838	0.67122
Random55	0.4593	0.436097	0.191425	0.726838
Random56	0.415929	0.391287	0.181745	0.750469
Random57	0.439444	0.420403	0.204432	0.713254
Random58	0.405226	0.386147	0.147923	0.744491
Random59	0.447325	0.4177	0.199118	0.69748
Random60	0.437324	0.42064	0.204612	0.75634
Random61	0.41572	0.393664	0.189349	0.719148
Random62	0.474497	0.452076	0.182362	0.705914
Random63	0.512095	0.48799	0.217428	0.750182
Random64	0.35614	0.344383	0.109718	0.759183
Random65	0.473489	0.458921	0.158923	0.76104
Random66	0.533781	0.518332	0.180164	0.77381
Random67	0.451568	0.434307	0.188886	0.753501
Random68	0.456295	0.438218	0.175874	0.703847
Random69	0.432785	0.39708	0.206581	0.689471
Random70	0.46932	0.450718	0.161521	0.730445
Random71	0.414209	0.391982	0.165701	0.745791
Random72	0.442905	0.420961	0.189808	0.698248
Random73	0.467173	0.434161	0.211046	0.751176
Random74	0.453828	0.431367	0.189151	0.716118
Random75	0.450548	0.43819	0.166978	0.747581
Random76	0.419188	0.399021	0.200704	0.733358
Random77	0.477622	0.455777	0.227934	0.761615
Random78	0.428046	0.40376	0.164127	0.748743
Random79	0.426004	0.406028	0.189024	0.746358
Random80	0.457096	0.435175	0.196117	0.745018
Random81	0.459895	0.434355	0.186968	0.73951
Random82	0.539083	0.528399	0.214957	0.746979
Random83	0.506536	0.489473	0.174599	0.698955
Random84	0.456729	0.430624	0.223399	0.76153
Random85	0.482155	0.459447	0.203005	0.710116
Random86	0.421653	0.403821	0.164217	0.730508
Random87	0.441637	0.413319	0.194573	0.731654
Random88	0.433281	0.421527	0.147757	0.71363
Random89	0.410479	0.377675	0.210988	0.73389
Random90	0.454722	0.434445	0.181274	0.729068
Random91	0.412102	0.378039	0.186744	0.721171
Random92	0.47473	0.459736	0.170945	0.739723
Random93	0.45047	0.434322	0.165907	0.716162
Random94	0.467225	0.435747	0.229769	0.751244
Random95	0.45724	0.443349	0.17334	0.779993
Random96	0.435887	0.418359	0.163416	0.742037
