	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Real	9545.24	85437.9	68915.7	37137.8	50	420020	50	50	21630.9	45402.5	1.0105e+06	25455.5	31844.9	78543.8	21961.4	50461.8	64361.5	28820	100	41937.3	45672.6	13399.7	146.343	4731.18	14586.8	8536.97	312244	305882	59007.5	222.361	320894	2.83028e+06	32197.4	106912	104156	13201.2	389377	1.43686e+06	53011	70778.8	23704.2	44700.1	11611.3	7416.32	5787.32	4566.65	17284.1	75	20084.8	136982	52950.4	99092.3	687625	40521.5	150	98267.1	173398	48605.5	7351.72	72620.8	65761.6	86340.1	167890	1.42166e+06	28984.3	358430	19812.3	194635	75	46393.2	50	9972.43	215303	142768	77897.2	619.11	12815.4	54233.5	11331.5	172278	16479.5	9410.21	852357	50	50	50	693.638	139990	45452.5	75	51465.2	646	100	50	5115.15	14729.6	15602.6	50	125188	50	50	26939.1	74046.5	131549	27681.7	85803.8	100	19699.5	100	155002	35629.2	50	50	50	1.39869e+06	65727.4	79766.1	24245.3	44066.8	502900	50	75	100	1.81526e+06	30861	100	24320.5	
Random1	32454.6	43471.7	2.13769e+06	75	50	423778	50	50	339256	286593	1.6015e+06	368607	430545	493096	7940	35928.5	1.90057e+06	799407	159924	449.25	199.75	32143.7	26318.8	77459.7	70	18103.5	686362	530820	141590	275659	400815	50	123705	447903	9326.36	1986.67	777479	47240	82881.2	335576	373710	786549	32443	273563	22614	166351	57226.7	75	123235	92414	772390	2.13779e+06	458617	10023	150	201212	1.00328e+06	383216	23547.8	557675	75	576192	100	15574.3	29504	318971	313454	12718	75	355927	981633	240239	3.50239e+06	13884.8	441708	1944.42	914629	497427	29587.1	10157.4	29222.4	66053.3	2911.67	50	36578.6	50	62.5	26648	432145	75	51462.4	869676	100	50	55355.2	715032	683854	50	446514	50	50	62544.9	45926.3	100	100	150	100	1018.33	100	189428	42331.4	50	388064	50	210709	66294.3	654094	209496	50	2.34078e+06	50	75	311946	100	2.33123e+06	100	1.82431e+06	
Random2	3.69398e+06	26693.9	71975	29449.3	50	11627	50	50	172920	75	4.11726e+06	1.30756e+06	43065.3	1.15279e+06	31535.3	199145	180809	95412.8	100	67247	89639.3	3.69621e+06	5861.99	26453.2	23757.8	6486.02	2.46621e+06	3.39774e+06	88691.7	17369.3	3.33447e+06	50	93156.6	302615	720559	799.333	3.85312e+06	529923	3.28337e+06	244386	108296	50212.5	150	2.04158e+06	100	105435	1.26574e+06	30711.5	325668	63506.9	749012	72075	661469	7386.44	150	47128.5	31502.3	122067	4.29461e+06	1.37307e+06	288572	41157.8	17342.7	6578.81	603857	194012	226648	166077	75	393303	35314.3	4064.44	370409	879422	3.65848e+06	150	18925.3	40180.8	1.79588e+06	691913	155047	113768	42861.8	50	50	50	7122.38	3859	78553	29294.2	1023.01	50	125841	50	300692	40936.6	78007.3	50	83056.6	50	1809.98	20479.1	22044.2	482775	100	81068.6	100	424.667	100	1.45337e+06	323240	50	50	50	2.57442e+06	489411	263232	583247	50	141386	50	75	100	100	50351.9	100	100	
Random3	6632.23	126051	50	694073	4259.38	2.04912e+06	50	50	11369	6226.91	553204	29233.3	22436	65807.2	5762.1	16989.5	82119.8	42429.5	100	4148.25	1432.75	51420.4	1113.27	57895.7	70	7336.02	100442	832718	2743.06	8064.31	20137.5	50	113778	8254.85	23195.1	5697.67	92702.6	144865	18251.6	10598.1	77028.6	175300	15475.4	95100.4	18437.4	55065.3	16214.7	19805.3	19858.3	38651.1	83490	79235.3	147730	8667.32	86945.3	66456.7	6987.03	31033.2	9167.63	68426.5	75	843115	100	7145.08	40371.9	327194	4789.28	18006.9	75	179281	324547	12446.3	54242.6	13670.5	22306.5	1334.04	92819.7	60566.7	20764.2	19165.5	32370.3	33670.7	200	50	165888	50	62.5	683023	11429.1	75	100	50	22748.4	50	11919.1	78636.1	15522.8	50	5092.62	50	78779.7	37657.4	6208.77	100	100	5879.62	100	2873.83	100	18614.5	5426.67	50	50	53695.4	195679	11726	272251	108023	50	150	50	75	100	100	294644	100	97340.3	
Random4	2681.51	22014.4	92085	451946	50	61189	50	50	77216.9	360427	125191	60729	7265.61	397048	43636.1	63659.2	27784.7	12554.2	100	22495	7548.33	10951.9	142822	3280.42	2491.28	1.28901e+06	116020	495647	166647	88206	125570	36340.8	97477.7	44651.9	16741.5	23327	351136	49782	607314	85564.7	43902	30905.7	71767.5	94250.5	270279	68504.9	7134.67	75	257814	58630.9	232840	195823	111973	20872.6	419509	114149	143560	34774.9	1055.19	497671	75	11419.9	865309	41689.3	8661.66	642014	31161.5	28728.8	75	101654	50	17700.5	74339	236536	85706.8	7797.74	13688.7	6167.61	1353.19	24883.8	41801.2	60667.2	200	50	50	50	51016	1086	419625	25333.7	100	50	174244	50	268557	6750.66	23205.2	50	200	50	35149.7	3.04155e+06	1.89024e+06	100	31921.6	438253	100	11688.5	100	209226	47422.4	50	50	50	209326	47947.6	167836	69747.5	50	150	50	2862.85	100	100	37142.3	100	17804.4	
Random5	544818	22189.8	13734.1	15232	50	1.56031e+07	487189	50	64795.6	1.39702e+06	597119	235307	75	171066	38346.1	15939.7	103608	51212.6	100	84189.5	28113.2	1.32257e+06	126.833	11287	122062	37142.3	136585	273594	42223.2	163.833	272548	50	10781.2	22599.8	33635.2	286539	213336	45860	239345	79618.4	203120	7210.5	495150	1.12233e+06	127045	19680.4	11375.4	5143.25	30714	85383.3	216335	898724	196563	1186.4	150	33401	17706.7	27655.3	100513	187151	75	23594.1	926903	12651.9	147675	638080	256836	55302.2	75	388241	50	50	27248.9	1.22376e+06	504374	41338.5	760189	3752	198685	44988.5	261677	147188	5035.27	50	50	50	7173	5.20102e+06	1.52021e+06	8773.19	100	50	104192	50	101881	125	551569	50	76161.1	50	876694	141564	81139.3	100	255620	82969.1	100	143294	511709	111371	26241.7	50	50	50	111471	26706.6	135949	1.82149e+06	50	86271	50	154.5	100	100	1.98317e+06	1.04905e+06	1689	
Random6	2570.47	23410.6	252825	207009	50	948480	50	50	984591	75	95651.8	392616	72884.5	202981	541180	12871.6	321013	169417	100	106952	35700.5	4671.96	110.657	27620.6	70	65832.1	559573	426973	17252.6	115.306	509967	50	36304.9	46704.6	20759.3	638552	236909	160402	210430	2.51139e+06	394836	8113.1	151127	159238	141476	34235	18149.2	75	42926.6	53931.5	182549	286875	51157.7	5263.66	1.82295e+06	216500	855544	100207	1344.63	253426	75	111340	7680.28	4331.72	12293.3	109584	135259	37068.6	75	87427.3	22607.7	3.5977e+06	4.07456e+06	35029.1	128639	8422.44	444724	196807	1045.09	27751	33414.8	52524.5	866.25	50	42588.6	50	62.5	185777	709448	1.47088e+06	155611	92456.2	676807	50	336481	73586	184434	50	68860.4	50	11311.1	232101	963076	100	8035.55	150	100	522015	100	119463	26717.3	50	50	50	2.43778e+06	29672	974115	48387.9	143587	246187	50	25338.4	100	100	1.14882e+06	100	100	
Random7	127382	27982.7	126278	4679.14	5260.95	2591	50	50	29693.7	105281	1.83229e+06	24458.8	75	102091	2877.5	15856.6	249688	131697	417790	19362.5	6504.17	115425	224.685	8857.29	228.981	55973	473830	572215	12927.4	457.389	534165	50	5758.8	16984.5	11779.8	199162	160474	187836	223775	25040.9	480382	1.33837e+06	20974.1	12999.1	56638.1	31838	15557.3	75	45580	34155	172925	126378	677339	25674.3	150	140081	86536.7	66650.7	32516.2	130289	1809.11	97637.3	100	305826	23248.2	140012	49824.6	47433.1	75	221560	787833	17887	48371.2	32635.9	592241	1139.18	12740.4	67558.8	31016.7	13813	61446.3	51034.1	116103	50	50	50	150183	847	109306	75	44696.8	544718	11210	50	29874.8	125	1.31204e+06	50	51559.6	50	50	231898	103791	100	100	150	45753.9	163444	100	93769.1	22558.2	50	50	50	408461	20095	321377	41074.1	50	399441	50	77767.6	105683	100	24946.8	100	100	
Random8	1631.58	14214	77335.5	1666	50	379222	50616.2	50	32405.9	38244.5	448709	64260	10395.9	109899	1002.2	48479.3	41737	21819.9	100	5167.22	3694.04	2938.93	589.824	1722.6	592.747	834.766	64540.7	329051	40606.9	1552.81	302874	50	31224.1	29770	9169.81	112589	108826	76009.8	79502.7	1.79824e+06	125809	6251.6	341619	342024	652977	420447	110382	204813	26218.3	12355.5	96243.4	77435.5	102577	11088.8	150	75094.2	49287.5	239462	4214.66	151603	5807.62	429348	582234	10220.4	52801.2	589327	346712	11646.7	75	56432.3	50	248211	183265	83322.9	366360	28435.1	26547.8	192349	2107.31	22461.2	813649	56736.9	681450	42242.1	50	50	3532.22	105630	38294.5	3252.5	76786.4	434454	3708.8	50	131538	586493	514468	50	57064.7	50	281.407	1985.02	2873.57	9056.47	100	53105.7	217303	128954	100	53568.6	11974	50	50	50	3.11394e+06	13643.4	111829	1.17529e+06	50	222707	50	75	100	100	46516.4	100	100	
Random9	27426.2	15647.6	50	8802	50	2.48369e+06	50	50	764306	75	413244	19297	52143.1	170268	1022.9	26905.2	229859	120641	100	7632.5	2594.17	125506	2567.79	5954.73	32004.3	2491.81	973199	121527	1.65513e+06	7486.69	4732	1.63961e+06	11416	22259.8	36322.5	3380.31	87171.2	776090	47968.5	42026.1	13396.1	3102.78	150	36988.9	890645	209366	25464.9	5887.25	34556.3	847164	203989	104936	53552	8572.06	78740	100537	881	68360.9	7827.92	198372	75	432152	100	30856	41642.6	272258	3726.4	96551.5	75	291832	2542.46	9021.58	49305.4	64679	281757	53321.9	126771	7.59927e+06	3946.74	31546	63519.4	73379.8	112652	50	5478.63	50	216.243	822817	477672	1.14201e+06	161137	324069	3791.6	50	201445	52889.6	69597.1	50	1.74617e+06	50	133004	11053.3	2.75422e+06	100	11617.5	1.75087e+06	107294	3063.61	100	39483.7	14485.4	50	50	50	638200	11907.5	9157.41	87253.7	50	21997	50	175686	100	100	360042	4.73503e+06	22140	
