Protein	A	A'	A''	var for A'
0	67031	19040.5	9545.24	9.01596e+07
1	26277	359097	85437.9	1.55614e+10
1	26277	50	85437.9	1.55614e+10
1	26277	50	85437.9	1.55614e+10
1	26277	66828.1	85437.9	1.55614e+10
1	26277	43301.5	85437.9	1.55614e+10
1	26277	43301.5	85437.9	1.55614e+10
2	99337	68915.7	68915.7	0
3	50606	50	37137.8	1.37551e+09
3	50606	74225.6	37137.8	1.37551e+09
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
4	29286	50	50	0
5	1000	420020	420020	0
6	28070	50	50	0
7	5593	50	50	0
8	30423	29380.5	21630.9	3.1898e+08
8	30423	43287.8	21630.9	3.1898e+08
8	30423	1501.52	21630.9	3.1898e+08
8	30423	1501.52	21630.9	3.1898e+08
8	30423	1501.52	21630.9	3.1898e+08
8	30423	39155.6	21630.9	3.1898e+08
8	30423	35087.9	21630.9	3.1898e+08
9	1227	45377.5	45402.5	625
9	1227	45427.5	45402.5	625
10	1.0105e+06	1.0105e+06	1.0105e+06	0
11	8461	25455.5	25455.5	0
12	180641	24834.5	31844.9	4.9145e+07
12	180641	38855.2	31844.9	4.9145e+07
13	198129	78543.8	78543.8	0
14	113	43872.7	21961.4	4.80108e+08
14	113	43872.7	21961.4	4.80108e+08
14	113	50	21961.4	4.80108e+08
14	113	50	21961.4	4.80108e+08
15	2459	50	50461.8	1.26916e+10
15	2459	50	50461.8	1.26916e+10
15	2459	50	50461.8	1.26916e+10
15	2459	200	50461.8	1.26916e+10
15	2459	302371	50461.8	1.26916e+10
15	2459	50	50461.8	1.26916e+10
16	1000	64361.5	64361.5	0
17	92675	41119	28820	1.46187e+08
17	92675	20888.7	28820	1.46187e+08
17	92675	26958	28820	1.46187e+08
17	92675	34105.8	28820	1.46187e+08
17	92675	34105.8	28820	1.46187e+08
17	92675	51608.3	28820	1.46187e+08
17	92675	29409.1	28820	1.46187e+08
17	92675	32896.6	28820	1.46187e+08
17	92675	26698.7	28820	1.46187e+08
17	92675	38905.2	28820	1.46187e+08
17	92675	26958	28820	1.46187e+08
17	92675	26958	28820	1.46187e+08
17	92675	50	28820	1.46187e+08
17	92675	50	28820	1.46187e+08
17	92675	34306.1	28820	1.46187e+08
18	2074	100	100	0
18	2074	100	100	0
19	315	41937.3	41937.3	0
20	72354	85194.2	45672.6	9.52194e+08
21	1472	7708.92	13399.7	3.2385e+07
21	1472	19090.5	13399.7	3.2385e+07
22	1845	567.083	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	100	146.343	22370.9
22	1845	50	146.343	22370.9
23	1531	14593.1	4731.18	5.06179e+07
23	1531	14593.1	4731.18	5.06179e+07
23	1531	1708.66	4731.18	5.06179e+07
23	1531	1708.66	4731.18	5.06179e+07
23	1531	1708.66	4731.18	5.06179e+07
23	1531	636.616	4731.18	5.06179e+07
23	1531	636.616	4731.18	5.06179e+07
24	1707	34341.1	14586.8	2.62316e+08
24	1707	34341.1	14586.8	2.62316e+08
24	1707	100	14586.8	2.62316e+08
24	1707	4101.99	14586.8	2.62316e+08
25	69294	13519.5	8536.97	8.43096e+07
25	69294	50	8536.97	8.43096e+07
25	69294	13519.5	8536.97	8.43096e+07
25	69294	24032.8	8536.97	8.43096e+07
25	69294	50	8536.97	8.43096e+07
25	69294	50	8536.97	8.43096e+07
26	628016	349118	312244	5.65746e+09
26	628016	349118	312244	5.65746e+09
26	628016	368084	312244	5.65746e+09
26	628016	182658	312244	5.65746e+09
27	131924	305882	305882	0
28	387	37277.6	59007.5	1.77455e+08
28	387	62594	59007.5	1.77455e+08
28	387	62594	59007.5	1.77455e+08
29	4110	50	222.361	59416.7
29	4110	50	222.361	59416.7
30	146936	320894	320894	0
31	1.09936e+07	2.83028e+06	2.83028e+06	0
32	170516	37262.8	32197.4	6.58258e+08
32	170516	37262.8	32197.4	6.58258e+08
32	170516	88212.8	32197.4	6.58258e+08
32	170516	20864.4	32197.4	6.58258e+08
32	170516	50	32197.4	6.58258e+08
32	170516	20864.4	32197.4	6.58258e+08
32	170516	20864.4	32197.4	6.58258e+08
33	325020	212494	106912	5.64198e+09
33	325020	50	106912	5.64198e+09
33	325020	107551	106912	5.64198e+09
33	325020	107551	106912	5.64198e+09
34	244496	289538	104156	1.21269e+10
34	244496	50	104156	1.21269e+10
35	838	13201.2	13201.2	0
36	544669	577750	389377	1.33534e+10
36	544669	358475	389377	1.33534e+10
36	544669	358475	389377	1.33534e+10
36	544669	262810	389377	1.33534e+10
37	242167	2.83058e+06	1.43686e+06	6.54484e+11
37	242167	1.04061e+06	1.43686e+06	6.54484e+11
37	242167	1.04061e+06	1.43686e+06	6.54484e+11
38	58855	211494	53011	8.3723e+09
38	58855	250	53011	8.3723e+09
38	58855	250	53011	8.3723e+09
39	31107	220159	70778.8	8.09556e+09
39	31107	50	70778.8	8.09556e+09
39	31107	50	70778.8	8.09556e+09
40	49266	31588.9	23704.2	1.86507e+08
40	49266	31588.9	23704.2	1.86507e+08
40	49266	31588.9	23704.2	1.86507e+08
41	7259	37211.9	44700.1	1.1997e+08
41	7259	40883.7	44700.1	1.1997e+08
42	5982	11611.3	11611.3	0
43	1787	7416.32	7416.32	0
44	158	5787.32	5787.32	0
45	448	50	4566.65	2.00472e+07
45	448	50	4566.65	2.00472e+07
46	69601	12899.8	17284.1	1.77189e+08
46	69601	29982.9	17284.1	1.77189e+08
47	3801	50	75	625
48	5423	7146.63	20084.8	2.85462e+08
48	5423	45794.5	20084.8	2.85462e+08
48	5423	2930.8	20084.8	2.85462e+08
49	299893	179570	136982	1.70186e+09
50	4198	84126.8	52950.4	4.85985e+08
51	68671	99092.3	99092.3	0
52	1.67501e+06	1.01675e+06	687625	1.08326e+11
53	35757	227755	40521.5	4.86435e+09
53	35757	62943.3	40521.5	4.86435e+09
54	27800	150	150	0
55	11288	98267.1	98267.1	0
56	1000	202391	173398	1.68119e+09
