Run	ABI1	AKT1	APPL1	ARAF	BCAR1	CAMK2A	CAV1	CAV2	CBL	CBLB	CDC42	CREB1	CRK	CSK	DNM1	DUSP1	EGF	EGFR	ELK1	EPN1	EPS15	EPS8	FOS	GAB1	GAB2	GJA1	GRB2	HRAS	JAK2	JUN	KRAS	KRT8	MAP2K1	MAP2K2	MAP2K3	MAP2K5	MAPK1	MAPK14	MAPK3	MAPK8	NCK1	PAK1	PIK3CA	PIK3CB	PIK3CD	PIK3R1	PLCG1	PRKCZ	PTK2B	PTPN11	PTPN6	RAB5A	RAC1	RAF1	RALB	RALBP1	RALGDS	SHC1	SOS1	SRC	VAV1	VAV2	VAV3	YWHAB	PDPK1	RHOA	MAP2K4	MAP2K6	P53	ERBB2	LIMK1	MAP2K7	MAP3K1	MAP3K4	NRAS	PIK3CG	PLD1	PLD2	RPS6KA3	MAP3K11	ERBB3	ERBB4	BRAF	CASP9	FOXO1A	GRB10	BAD	SMAD2	SH3KBP1	SPRY2	ARHGEF7	TNK2	SH3GL2	ERRFI1	PIK3R2	PLCG2	RASA1	RGS16	STAT1	STAT5B	USP6NL	MAPK7	PRKCG	SOS2	RIN1	STAT5A	KSR1	MAP3K2	MYC	PTPN5	PTPRR	RPS6KA1	SMAD3	SP1	DUSP4	DUSP6	WASL	PIK3R3	PXN	RALA	STAT3	PRKCE	GRB7	ARHGAP3	PRKCA	PRKCB1	PRKCI
Real	9.01596e+07	1.55614e+10	0	1.37551e+09	0	0	0	0	3.1898e+08	625	0	0	4.9145e+07	0	4.80108e+08	1.26916e+10	0	1.46187e+08	0	0	9.52194e+08	3.2385e+07	22370.9	5.06179e+07	2.62316e+08	8.43096e+07	5.65746e+09	0	1.77455e+08	59416.7	0	0	6.58258e+08	5.64198e+09	1.21269e+10	0	1.33534e+10	6.54484e+11	8.3723e+09	8.09556e+09	1.86507e+08	1.1997e+08	0	0	0	2.00472e+07	1.77189e+08	625	2.85462e+08	1.70186e+09	4.85985e+08	0	1.08326e+11	4.86435e+09	0	0	1.68119e+09	9.57544e+08	2.03147e+07	2.27706e+09	4.79648e+08	4.52969e+07	0	0	1.67439e+09	0	2.01639e+08	4.09618e+10	625	4.5659e+08	0	1.96909e+08	0	0	0	660192	1.94322e+07	0	1.90669e+08	3.27814e+09	1.45563e+08	1.37942e+08	1.16857e+11	0	0	0	414270	0	625	625	2.71501e+08	0	0	0	1.35488e+07	2.14024e+08	2.04561e+08	0	0	0	0	0	0	0	5.97794e+06	0	0	4.2227e+07	0	2.39947e+10	2.52465e+09	0	0	0	1.54674e+11	1.29406e+10	0	2.41766e+07	0	0	0	625	0	0	0	0	0	
Random1	7.4509e+07	3.03155e+09	0	625	0	0	0	0	2.32242e+10	0	0	0	1.85326e+11	0	6.22521e+07	5.30087e+09	0	1.71242e+10	0	0	31541.8	6.84081e+07	5.50204e+09	2.13839e+10	600	3.49304e+08	2.60532e+11	0	6.68397e+09	7.81698e+08	0	0	1.66416e+10	7.66211e+10	9.98575e+07	0	2.0236e+11	2.66852e+09	1.89202e+10	2.41648e+10	1.96075e+07	2.16282e+10	0	0	0	5.95572e+08	3.98112e+09	625	2.09448e+10	7.61516e+09	1.12764e+10	0	1.65946e+11	6.15118e+08	0	0	8.86589e+09	3.1781e+11	2.78578e+08	1.00105e+11	625	8.8252e+10	0	0	1.73508e+09	0	5.17432e+10	1.01893e+08	625	3.93055e+09	0	6.13573e+10	0	0	0	9.65978e+06	5.67747e+10	0	9.37233e+08	1.01152e+08	1.46167e+09	1.30429e+10	7.90549e+06	0	0	0	468.75	-2.38419e-07	-3.05176e-05	625	1.32526e+08	0	0	0	2.68273e+09	3.94921e+10	1.89785e+11	0	0	0	-4.54747e-13	0	0	0	2500	0	0	937669	0	3.58451e+10	3.56698e+09	0	0	0	4.43142e+10	1.31649e+10	0	1.53786e+09	0	0	0	625	0	0	0	0	0	
Random2	1.51436e+12	3.54948e+09	0	8.64316e+08	0	0	0	0	5.00069e+10	625	0	0	1.85032e+09	0	9.91324e+08	1.98134e+11	0	7.04753e+09	0	0	7.02251e+09	1.51105e+12	2.66181e+08	7.71733e+08	2.24587e+09	4.83523e+07	1.48499e+12	0	4.59035e+09	5.99917e+08	0	0	2.17119e+10	1.02041e+11	4.46741e+09	0	6.80993e+12	1.65589e+11	7.0669e+12	1.02198e+11	6.47219e+08	3.18867e+09	0	0	0	2.30917e+10	1.68053e+12	9.4013e+08	9.98731e+10	4.4437e+09	2.72847e+11	0	2.52161e+11	3.42942e+08	0	0	4.93053e+08	9.64514e+09	4.23674e+11	1.18092e+12	1.25222e+10	1.68164e+09	0	0	7.29166e+11	0	4.16547e+10	2.89462e+10	625	3.85134e+09	0	3.22314e+07	0	0	0	0	1.39713e+07	0	4.2044e+12	4.78605e+11	1.79375e+09	1.10411e+10	1.82857e+09	0	0	0	5.00185e+07	-1.86265e-09	-9.53674e-07	8.55221e+08	762142	0	0	0	8.28628e+10	1.66763e+09	7.32933e+09	0	0	0	3.09753e+06	0	0	0	2500	0	0	140375	0	2.11198e+12	2.08839e+11	0	0	0	2.11198e+12	7.18421e+11	0	6.27286e+10	0	0	0	625	0	0	0	0	0	
Random3	4.33258e+07	2.79524e+10	0	1.9084e+10	1.11759e-08	0	0	0	2.27568e+08	0	0	0	5.01134e+08	0	3.26281e+07	5.1831e+08	0	4.47136e+08	0	0	3.68739e+06	7.31898e+08	8.31566e+06	6.93783e+08	600	7.12051e+07	3.53366e+09	0	7.11887e+06	726189	0	0	1.13525e+10	2.73596e+07	1.7954e+08	0	2.76286e+09	4.1879e+08	2.49268e+08	1.26247e+08	5.67605e+08	7.47966e+09	0	0	0	2.05635e+09	3.28447e+08	3.90273e+08	5.35007e+08	2.8588e+09	7.0075e+07	0	2.18094e+10	3.99841e+08	0	0	2.22077e+07	7.94758e+08	4.74654e+07	9.25542e+08	625	8.29923e+09	0	0	3.25171e+09	0	2.8188e+07	4.83907e+08	625	5.05882e+09	0	9.40272e+07	0	0	0	4.20582e+06	0	0	2.29958e+08	3.63492e+08	1.10333e+09	2.05261e+09	10000	0	0	0	468.75	0	2.98023e-08	625	2500	0	0	0	9.80845e+07	0	4.85032e+08	0	0	0	126489	0	0	0	2500	0	0	7.97403e+06	0	3.42787e+08	5.67468e+07	0	0	0	1.82795e+09	4.0899e+08	0	4.26002e+08	0	0	0	625	0	0	0	0	0	
Random4	12178.8	9.66674e+08	0	1.86639e+09	0	0	0	0	6.66217e+09	0	0	0	5.20651e+07	0	1.89975e+09	1.15009e+10	0	1.05087e+08	0	0	1.11702e+08	6.74131e+07	3.93364e+09	2.40189e+07	8.81843e+06	1.79522e+11	5.37755e+09	0	4.7589e+09	1.5543e+10	0	0	6.99061e+09	2.01132e+09	1.60099e+08	0	5.77732e+10	2.16729e+09	1.74966e+11	1.05411e+10	6.40998e+08	2.33941e+09	0	0	0	5.65263e+07	7.25926e+07	625	7.99898e+09	6.81009e+09	4.31657e+10	0	1.25267e+10	1.18365e+09	0	0	1.69099e+08	1.25292e+09	1.76088e+06	1.64962e+11	625	1.2701e+08	0	0	1.48321e+08	0	5.2671e+08	4.84659e+08	625	5.19858e+08	0	2.42636e+08	0	0	0	9.93155e+07	5.26365e+06	0	2.25613e+06	6.14238e+08	8.19997e+08	1.11956e+09	10000	0	0	0	3.90711e+07	0	0	6.39264e+08	2500	0	0	0	1.02022e+10	4.42313e+07	5.09345e+08	0	0	0	3.44415e+08	0	0	0	3.27905e+08	0	0	1.35455e+08	0	4.37339e+10	4.47883e+09	0	0	0	4.37339e+10	6.88255e+09	0	1.92487e+08	0	0	0	7.91211e+06	0	0	0	0	0	
Random5	1.63667e+11	2.04262e+09	0	2.30492e+08	0	0	0	0	7.23661e+09	0	0	0	625	0	1.46659e+09	1.25765e+09	0	1.56352e+09	0	0	1.57228e+09	6.31418e+11	8999.11	3.4227e+08	3.98624e+09	1.38741e+09	7.03517e+09	0	1.39337e+09	25916.1	0	0	1.57623e+08	5.82436e+08	2.10822e+08	0	2.63636e+10	1.05168e+09	2.95118e+10	3.53757e+09	1.0056e+10	1.53103e+08	0	0	0	1.9795e+08	6.27813e+08	2.59412e+07	2.19833e+09	2.24821e+09	4.41917e+08	0	3.86174e+10	5.41844e+06	0	0	1.54997e+08	2.28339e+09	1.4825e+10	1.57169e+10	625	5.49627e+08	0	0	4.35865e+10	0	1.28562e+10	4.09202e+09	625	2.15385e+09	0	0	0	0	0	5.08947e+09	2.94915e+10	0	4.54431e+09	2.01497e+09	6.2489e+07	1.23061e+10	2.43569e+07	0	0	0	5.07371e+07	0	0	7.6094e+07	2500	0	0	0	5.6732e+08	625	4.45237e+10	0	0	0	8.47497e+10	0	0	0	1.91782e+09	0	0	2.0519e+10	3.05176e-05	1.23812e+10	1.36677e+09	0	0	0	1.23812e+10	2.13172e+09	0	7.76697e+08	0	0	0	10920.2	0	0	0	0	0	
Random6	78860.9	2.20606e+09	0	2.26174e+08	0	0	0	0	4.25884e+11	625	0	0	5.30486e+09	0	5.74777e+10	8.18132e+08	0	2.32536e+10	0	0	2.53835e+09	7.1451e+06	2529.94	1.43066e+09	600	4.56796e+09	1.81561e+11	0	2.9507e+08	8529.63	0	0	1.86484e+09	3.26375e+09	9.08293e+08	0	3.17673e+10	3.59498e+10	3.30637e+10	7.19573e+11	6.1582e+09	7.70707e+07	0	0	0	1.38592e+09	3.1943e+08	625	3.90838e+09	5.97079e+09	6.37061e+09	0	2.61199e+09	1.7594e+08	0	0	1.00186e+10	7.51634e+09	5.02527e+06	2.32411e+10	625	1.42274e+09	0	0	2.99798e+08	0	3.65496e+10	9.27303e+08	625	8.78945e+08	0	1.13533e+11	0	0	0	2.053e+08	1.14574e+10	0	1.61873e+06	1.24179e+08	1.73977e+09	3.47353e+09	587139	0	-2.38419e-07	0	468.75	-7.62939e-06	0	4.64746e+08	2.46516e+09	0	0	0	1.76685e+10	5.4002e+09	1.73784e+10	0	0	0	4.64767e+07	0	0	0	6.2182e+07	0	0	1.35808e+10	0	1.42476e+10	1.41696e+09	0	0	0	7.8986e+11	2.63239e+09	0	6.73492e+08	0	0	0	650323	0	0	0	0	0	
Random7	1.21704e+09	3.13046e+09	0	2.14289e+07	-7.45058e-09	0	0	0	1.38587e+09	0	0	0	625	0	7.99476e+06	1.24451e+09	0	7.30854e+09	0	0	8.26688e+07	2.19904e+09	137395	4.42923e+08	95341	3.14422e+09	5.27195e+10	0	1.65184e+08	331931	0	0	1.0592e+08	4.52847e+08	4.12766e+08	0	1.60498e+10	2.08537e+09	1.94691e+10	6.62393e+08	5.56274e+10	1.19151e+10	0	0	0	7.86649e+07	3.23626e+08	625	8.30759e+08	1.45014e+08	2.27506e+08	0	2.75871e+11	1.54215e+09	0	0	3.73565e+09	4.82575e+09	6.72792e+08	4.89658e+09	3.09445e+06	4.34192e+08	0	0	1.07631e+09	0	3.12227e+09	2.36576e+09	625	8.82335e+08	0	1.91958e+08	0	0	0	2.9354e+06	5.91789e+07	0	2.31898e+09	1.88045e+08	4.38519e+07	4.35512e+09	1.34567e+10	0	0	0	2.25398e+10	-2.32831e-10	0	625	2.29417e+08	0	0	0	1.2517e+08	625	2.53168e+11	0	0	0	0	0	0	0	2500	0	0	1.2758e+09	0	8.7739e+09	1.00875e+09	0	0	0	8.7739e+09	1.2054e+09	0	6.81291e+07	0	0	0	2.37341e+08	0	0	0	0	0	
Random8	50168.2	1.0031e+09	0	2.61146e+06	0	0	0	0	1.27584e+09	625	0	0	1.07038e+08	0	906685	1.17125e+10	0	5.53033e+08	0	0	6.72064e+06	1.03738e+06	1.96896e+06	1.43768e+07	415475	948811	2.70096e+09	0	2.65302e+08	4.51685e+06	0	0	2.0898e+09	8.40032e+08	2.49513e+08	0	6.60883e+09	7.90212e+09	7.72836e+09	3.21253e+10	3.12861e+09	5.94993e+07	0	0	0	5.60209e+10	1.63735e+10	2.19118e+09	2.05435e+09	4.50595e+08	4.93121e+09	0	1.05117e+10	6.80333e+08	0	0	1.20971e+09	1.96204e+10	8.77811e+07	5.87774e+09	3.25769e+07	7.78267e+10	0	0	5.56537e+09	0	6.70466e+10	2.6561e+08	625	1.18723e+09	0	6.61769e+10	0	0	0	2.40014e+09	3.66907e+08	0	9.88202e+06	5.00024e+08	1.35506e+10	1.00716e+08	2.54766e+09	0	0	0	1.21258e+07	0	625	1.0256e+07	1.9838e+06	0	0	0	7.002e+09	6.10352e-05	1.86116e+11	0	0	0	53549.3	0	0	0	2500	0	0	2.67832e+08	0	2.85889e+09	2.81985e+08	0	0	0	1.64653e+11	5.54342e+08	0	7.16898e+10	0	0	0	625	0	0	0	0	0	
Random9	3.09544e+08	1.21643e+09	0	609961	0	0	0	0	2.55505e+11	625	0	0	2.71369e+09	0	946534	3.59795e+09	0	1.41874e+10	0	0	1.26928e+07	6.5102e+09	4.89671e+07	3.79404e+08	1.53401e+09	6.37592e+06	1.32983e+11	0	9.36312e+09	1.10609e+08	0	0	4.04338e+08	2.59409e+08	3.23483e+09	0	2.94187e+09	2.49995e+11	3.18346e+09	3.24709e+09	8.83298e+07	2.76544e+07	0	0	0	1.14217e+10	8.61887e+08	3.40735e+07	3.57206e+09	1.6814e+11	1.37852e+09	0	2.86247e+09	2.17541e+08	0	0	1.21992e+06	7.39974e+09	1.36276e+08	9.40061e+09	625	1.88056e+08	0	0	3.45989e+09	0	1.12312e+07	1.05187e+10	625	1.53946e+10	0	8.04212e+07	0	0	0	5.00986e+07	1.37661e+08	0	3.45591e+07	9.88849e+08	4.46761e+09	6.27849e+09	609961	0	-3.72529e-09	0	27636.9	-0.00012207	0	4.76158e+08	1.2519e+10	0	0	0	4.21459e+10	2.78674e+09	4.1709e+09	0	0	0	7.93417e+08	0	0	0	1.33807e+08	0	0	100295	0	1.55108e+09	4.13878e+08	0	0	0	6.85094e+10	4.21803e+08	0	4.37337e+07	0	0	0	2.6172e+09	0	0	0	0	0	
