Pro1	Interface1	Pro2	Interface2	Stoichiometry
ABP1	Cofilin_ADF	ACT1	Subunit1_2_outsideFilament	1:1
ABP1	PRD_441to455	RVS167	SH3_domain	1:1
ABP1	SH3	AIM21	PRD_383to400	1:1
ABP1	SH3	APP1	PRD_502to518	1:1
ABP1	SH3	ARK1	PRD_607to621	1:1
ABP1	SH3	BSP1	PRD_334to348	1:1
ABP1	SH3	INP52	PRD_1113to1126	1:1
ABP1	SH3	PRK1	PRD_748to761	1:1
ABP1	SH3	SCP1	PRD_156to169	1:1
ABP1	Acidic_Domain	ARP2	side_front_to_acidic_domain	1:1
ABP1	Acidic_Domain	ARP3	side_front_to_acidic_domain	1:1
ABP1	PRD_504to518	LSB3	SH3_domain	1:1
ABP1	PRD_470to486	YSC84	SH3_domain	1:1
ABP1	PRD_513to528	SLA1	SH3_domains1-2	1:1
ABP1	PRD_513to528	SLA1	SH3_domain_3	1:1
ACT1	BarbedEnd_back	ACT1	PointedEnd_back	1:1
ACT1	BarbedEnd_back	CAP1	interface_to_actin	1:1
ACT1	BarbedEnd_back	CAP2	interface_to_actin	1:1
ACT1	BarbedEnd_back	PFY1	interface_to_actin	1:1
ACT1	PointedEnd_back	ARP2	back_barbed_end_to_actin	1:1
ACT1	PointedEnd_back	ARP3	back_barbed_end_to_actin	1:1
ACT1	Subunit1_2_outsideFilament	ARC18	Interface_to_actin_filament	1:1
ACT1	Subunit1_2_outsideFilament	ARC35	Interface_to_actin_filament	1:1
ACT1	Subunit1_2_outsideFilament	ARC40	interface_to_actin_filament	1:1
ACT1	Subunit1_2_outsideFilament	COF1	cofilin_domain	1:1
ACT1	Subunit1_2_outsideFilament	LAS17	WH2_domain	1:1
ACT1	Subunit1_2_outsideFilament	MYO3	head_domain	1:1
ACT1	Subunit1_2_outsideFilament	MYO5	head_domain	1:1
ACT1	Subunit1_2_outsideFilament	PAN1	coiled_coil_domain	1:1
ACT1	Subunit1_2_outsideFilament	SAC6	Four_CH_domains	1:1
ACT1	Subunit1_2_outsideFilament	SCP1	actin_bundling_CalponinLR	1:1
ACT1	Subunit1_2_outsideFilament	SLA2	Talin_like_domain	1:1
ACT1	Subunit1_2_outsideFilament	TWF1	two_cofilin_domain	1:1
ACT1	Subunit1_2_outsideFilament	VRP1	two_WH2_domain	1:1
ACT1	Subunit1_2_outsideFilament	YSC84	YAB_domain	1:1
ACT1	Subunit4_outsideFilament	AIP1	Interface_to_ACT1	1:1
AIM21	PRD_3to18	BBC1	SH3_domain	1:1
AIM21	PRD_3to18	YSC84	SH3_domain	1:1
AIM21	Speculated_to_CAP1_2	CAP1	speculated_interface_to_AIM21	1:1
AIM21	Speculated_to_CAP1_2	CAP2	speculated_interface_to_AIM21	1:1
AIM21	PRD_383to400	RVS167	SH3_domain	1:1
AIM3	PRD_83to97	LSB3	SH3_domain	1:1
AIM3	PRD_83to97	RVS167	SH3_domain	1:1
AIM3	PRD_83to97	YSC84	SH3_domain	1:1
AIM3	PRD_546to560	ABP1	SH3	1:1
AIM3	PhosphoSite	PRK1	kinase_domain	1:1
AIP1	Interface_to_COF1	COF1	interface_to_AIP1	1:1
AKL1	Homodimer_interface	AKL1	Homodimer_interface	1:1
AKL1	Kinase_Domain	EDE1	phospho_site	1:1
AKL1	Kinase_Domain	ENT2	Two_phospho_site	1:1
AKL1	Kinase_Domain	LSB3	phospho_site	1:1
AKL1	Kinase_Domain	SCD5	phospho_site	1:1
AKL1	Kinase_Domain	SLA1	phospho_site	1:1
APL1	Interface_beta_to_mu	APM4	Interface_mu_to_beta	1:1
APL1	Interface_beta_to_sigma	APS2	Interface_sigma_to_beta	1:1
APL1	Interface_beta_to_alpha	APL3	Interface_alpha_to_beta	1:1
APL3	Interface_alpha_to_sigma	APS2	Interface_sigma_to_alpha	1:1
APL3	Interface_alpha_to_mu	APM4	Interface_mu_to_alpha	1:1
APM4	Interface_mu_to_sigma	APS2	Interface_sigma_to_mu	1:1
APP1	PRD_465to480	LSB3	SH3_domain	1:1
APP1	PRD_465to480	RVS167	SH3_domain	1:1
APP1	PRD_465to480	YSC84	SH3_domain	1:1
APP1	PRD_502to518	BBC1	SH3_domain	1:1
APP1	PRD_502to518	BZZ1	SH3_domain	1:1
APP1	PRD_502to518	MYO5	SH3_domain	1:1
APP1	PRD_502to518	RVS167	SH3_domain	1:1
ARC15	Interface_to_arc19	ARC19	Interface_to_arc15	1:1
ARC15	Interface_to_arc40	ARC40	interface_to_arc15	1:1
ARC15	Interface_to_arp2	ARP2	interface_to_arc15	1:1
ARC18	Interface_to_arp3	ARP3	interface_to_arc18	1:1
ARC19	Interface_to_arc35	ARC35	Interface_to_arc19	1:1
ARC19	Interface_to_arc40	ARC40	interface_to_arc19	1:1
ARC19	Interface_to_arp2	ARP2	interface_to_arc19	1:1
ARC19	Interface_to_arp3	ARP3	interface_to_arc19	1:1
ARC35	Interface_to_arp3	ARP3	interface_to_arc35	1:1
ARC40	interface_to_actin_filament	CRN1	acidic_domain	1:1
ARC40	interface_to_actin_filament	LAS17	acidic_domain	1:1
ARC40	interface_to_actin_filament	MYO3	acidic_domain	1:1
ARC40	interface_to_actin_filament	MYO5	acidic_domain	1:1
ARC40	interface_to_actin_filament	PAN1	acidic_domain	1:1
ARK1	kinase_domain	LSB3	phospho_site	1:1
ARK1	kinase_domain	PAN1	phospho_site_LR2	1:1
ARK1	kinase_domain	SLA1	phospho_site	1:1
ARP2	barbed_end_groove_to_Chelix	LAS17	C_helix	1:1
ARP2	interface_to_arp3	ARP3	interface_to_arp2	1:1
ARP2	speculated_to_PRK1	PRK1	interface_to_arp2	1:1
ARP2	side_front_to_acidic_domain	LAS17	acidic_domain	1:1
ARP2	side_front_to_acidic_domain	MYO3	acidic_domain	1:1
ARP2	side_front_to_acidic_domain	MYO5	acidic_domain	1:1
